Canonical Pathways	All	B	CH	YA	OA
Granzyme B Signaling	4.710450434	0	1.412288654	1.3689407	0
Tumoricidal Function of Hepatic Natural Killer Cells	4.160787761	0	1.240373121	1.197477192	0
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	3.700444358	0	1.09430733	1.051972172	0
Death Receptor Signaling	3.607004974	0	0.696017495	0.656788123	0
Induction of Apoptosis by HIV1	2.949367845	0	0.854402694	0.813557929	0
Phagosome Maturation	2.781184625	3.279868362	0.506197676	1.194012262	0
Retinoic acid Mediated Apoptosis Signaling	2.970230224	0	0	0.820167977	0
TNFR1 Signaling	1.914463	0	0.93509813	0.893650343	0
Apoptosis Signaling	2.349463706	0	0.663480527	0.624674705	0
TWEAK Signaling	2.214068067	0	0	1.039957962	0
ATM Signaling	0.556258865	0.671330972	1.62174872	0.632419547	0
Myc Mediated Apoptosis Signaling	1.914463	0	0	0.893650343	0
Coronavirus Pathogenesis Pathway	1.856104635	0	0.508587313	1.199060295	0
eNOS Signaling	1.788923185	0.48773873	1.23249124	0.452012624	0
Chemokine Signaling	0.628308947	0	0.746369983	0.706553265	1.382745894
CD27 Signaling in Lymphocytes	1.866146419	0	0	0.87005672	0
Role of PKR in Interferon Induction and Antiviral Response	2.148344421	0	0	0.562147234	0
Cleavage and Polyadenylation of Pre-mRNA	3.147452382	0	0	3.323823014	0
Regulation of eIF4 and p70S6K Signaling	2.719360792	0	0.492247091	0.456421079	0
mTOR Signaling	2.267436611	0	1.024170522	0.358626751	0
EIF2 Signaling	2.169708802	0.977256752	0.370599413	0.904315519	0
Spliceosomal Cycle	0.827967589	0	0	0	1.601243198
Ketogenesis	3.225692252	0	0	1.528767703	0
Protein Kinase A Signaling	1.349641971	0.588716498	2.526468747	0.527404093	0.717961907
Melatonin Signaling	0.668555044	0	0.78804044	0.747792951	1.427666047
Leucine Degradation I	1.5274018	0	0	1.61475605	0
NAD Phosphorylation and Dephosphorylation	1.370554341	0	1.500896132	0	0
Ubiquinol-10 Biosynthesis (Eukaryotic)	0	0	1.386482372	1.343191087	0
Acetate Conversion to Acetyl-CoA	0	2.00806139	0	0	2.675807123
Clathrin-mediated Endocytosis Signaling	1.569755313	0.420271322	0	2.718548353	0
Docosahexaenoic Acid (DHA) Signaling	2.144436681	0	0	1.005965693	0
Ephrin B Signaling	1.615497395	0.78804044	1.865233635	0	0
Ephrin Receptor Signaling	0.914714908	0.444200833	2.002315979	0	0
G Protein Signaling Mediated by Tubby	1.005902011	1.132866062	1.132866062	0	1.78934002
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0.663254923	0.78256165	0.78256165	0	1.421780369
ILK Signaling	0.325982117	0.425611418	0	0	2.362624118
PDGF Signaling	1.47313101	0	0.718018454	0.678522819	0
RAN Signaling	2.838160883	1.386482372	0	3.013643265	0
Signaling by Rho Family GTPases	0.706994995	0.343045366	1.651794617	0	0
UVA-Induced MAPK Signaling	1.370122195	0	0	0	1.296492535
