Gene	RNA	Protein
ANXA2	10.57825844	36.11617993
ACTG1	9.788048704	36.083082
ANXA1	10.21456756	35.58880854
HSP90AA1	11.18805424	35.5355197
PKM	9.710415402	35.48516844
SERPINB3	11.25265535	35.2865544
TUBB4B	10.42359171	35.15223481
HSPA8	10.60207894	34.9693166
GAPDH	9.4234448	34.95805565
HSPB1	8.8144124	34.88036107
AHNAK	10.67504977	34.78485836
MYH9	8.849578753	34.70136886
HSPA1B	7.152813989	34.56956138
GSTP1	9.550076979	34.54195101
EEF1A1	10.4166073	34.42873524
PRDX1	8.678820224	34.27662965
ATP5F1B	8.825240579	34.21891246
PIGR	9.565997011	34.18001628
ACTN4	8.934487689	34.17056808
ENO1	8.687937579	34.16066181
EZR	10.11140582	34.11008242
ALDH3A1	7.866014499	34.09625254
SFN	7.107553453	34.09253112
YWHAZ	8.723980787	34.09066031
BPIFB1	9.723875299	34.05699374
HNRNPA2B1	9.255867602	34.02191135
PPIA	7.727133287	33.93156612
PGK1	7.821017254	33.90676193
S100A11	9.587085888	33.90465795
HSP90AB1	9.170120039	33.86585897
GSN	9.637154129	33.81865928
ALDOA	8.173204201	33.77127526
ALDH1A1	9.691362919	33.76541127
CAPS	9.957143646	33.70272484
PRDX5	9.171715619	33.57883459
SOD1	7.639071796	33.57821412
TPPP3	9.052847926	33.56582902
HSPD1	7.432108475	33.56363622
CLTC	8.585634197	33.5600626
ALOX15	8.461056943	33.54331511
EEF2	10.06909411	33.45713139
LMNA	7.222787833	33.42277454
MUC5AC	7.334936426	33.41293568
YWHAE	8.880483568	33.3452718
ATP5F1A	8.450128492	33.32084065
VCP	8.229825337	33.27461262
AGR2	8.721517829	33.23532804
LCN2	9.189456617	33.23349024
CALR	8.093466372	33.23055324
SPTAN1	8.018830288	33.19962291
CTSB	9.514628427	33.143015
CFL1	7.579441618	33.13225372
PLEC	8.535789059	33.12066885
FABP5	6.071492404	33.10668116
CTSD	9.189988782	33.0959566
HNRNPA1	7.481775687	33.09478664
SERPINB5	8.073025855	33.03251327
HSPA5	8.112933602	33.02794237
MDH2	6.654404181	33.01794104
PDIA3	7.112594065	32.98199636
CKB	7.59969673	32.9483823
SPTBN1	8.822612062	32.91625647
UBA1	7.990318349	32.91517976
TXN	7.636600938	32.90725567
PGAM1	6.045026985	32.8907849
MYH14	8.480178601	32.88741118
DYNC1H1	8.705637476	32.86551894
P4HB	8.362930168	32.82690877
TUFM	7.117238787	32.81557387
NPM1	7.407956683	32.81364161
IQGAP1	8.407072764	32.7727825
CTNNA1	9.08380504	32.7316054
HNRNPU	8.234815617	32.72846539
FASN	7.144645123	32.7201428
HNRNPK	8.607285488	32.71685488
HNRNPA3	6.278871901	32.69980166
MVP	7.668244418	32.69130279
ACO2	6.806484378	32.68583692
HSP90B1	8.65338638	32.67853206
AKR1C2	7.622768854	32.67758128
S100A10	7.139938926	32.65003672
ATP1A1	9.621743981	32.62068547
PGD	7.468966775	32.51405462
WDR1	7.587049712	32.51231664
ANXA5	7.776847198	32.50052752
EPHX1	7.58222324	32.49943691
