© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Cardiac Hypertrophy Signaling (Enhanced)	-0E00		2.05E-03	GNAQ	
Estrogen Receptor Signaling	-0E00		3.05E-03	GNAQ	
Glucocorticoid Receptor Signaling	-0E00		2.98E-03	HSPA2	
Hepatic Fibrosis Signaling Pathway	-0E00		2.72E-03	CASP3	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	-0E00		3.21E-03	GNAQ	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00		2.99E-03	CASP3	
Neuroinflammation Signaling Pathway	1.97E-01		3.34E-03	CASP3	
Sirtuin Signaling Pathway	2.04E-01		3.44E-03	TUBA4A	
Senescence Pathway	2.19E-01		3.64E-03	PML	
G-Protein Coupled Receptor Signaling	2.22E-01		3.68E-03	GNAQ	
Breast Cancer Regulation by Stathmin1	2.28E-01		3.38E-03	GNAQ,TUBA4A	
Phospholipase C Signaling	2.37E-01		3.89E-03	GNAQ	
Colorectal Cancer Metastasis Signaling	2.42E-01		3.95E-03	CASP3	
Insulin Secretion Signaling Pathway	2.53E-01		4.12E-03	GNAQ	
Cardiac Hypertrophy Signaling	2.56E-01		4.17E-03	GNAQ	
Systemic Lupus Erythematosus Signaling	2.7E-01		4.37E-03	SNRPD1	
cAMP-mediated signaling	2.71E-01		4.39E-03	AKAP9	
Role of NFAT in Cardiac Hypertrophy	2.9E-01		4.67E-03	GNAQ	
Osteoarthritis Pathway	2.94E-01		4.74E-03	CASP3	
Thrombin Signaling	2.98E-01		4.81E-03	GNAQ	
CREB Signaling in Neurons	3E-01		4.83E-03	GNAQ	
HIF1α Signaling	3.03E-01		4.88E-03	HSPA2	
Superpathway of Inositol Phosphate Compounds	3.12E-01		5.03E-03	ACP1	
Natural Killer Cell Signaling	3.15E-01		5.08E-03	HSPA2	
Axonal Guidance Signaling	3.16E-01		4.13E-03	GNAQ,TUBA4A	
ILK Signaling	3.26E-01		5.26E-03	CASP3	
Synaptic Long Term Depression	3.28E-01		5.29E-03	GNAQ	
Role of NFAT in Regulation of the Immune Response	3.41E-01		5.52E-03	GNAQ	
RhoGDI Signaling	3.43E-01		5.56E-03	GNAQ	
NF-κB Signaling	3.45E-01		5.59E-03	CSNK2B	
GNRH Signaling	3.56E-01		5.78E-03	GNAQ	
CXCR4 Signaling	3.67E-01		5.99E-03	GNAQ	
3-phosphoinositide Biosynthesis	3.69E-01		6.02E-03	ACP1	
Tec Kinase Signaling	3.73E-01		6.10E-03	GNAQ	
Dopamine-DARPP32 Feedback in cAMP Signaling	3.75E-01		6.13E-03	GNAQ	
Aldosterone Signaling in Epithelial Cells	3.85E-01		6.33E-03	HSPA2	
Gαq Signaling	3.85E-01		6.33E-03	GNAQ	
D-myo-inositol-5-phosphate Metabolism	3.87E-01		6.37E-03	ACP1	
3-phosphoinositide Degradation	3.89E-01		6.41E-03	ACP1	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	3.94E-01		6.49E-03	OAS2	
Epithelial Adherens Junction Signaling	3.98E-01		6.58E-03	TUBA4A	
Relaxin Signaling	4.03E-01		6.67E-03	GNAQ	
Corticotropin Releasing Hormone Signaling	4.14E-01		6.90E-03	GNAQ	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	4.21E-01		7.04E-03	ACP1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	4.21E-01		7.04E-03	ACP1	
Cardiac β-adrenergic Signaling	4.23E-01		7.09E-03	AKAP9	
Iron homeostasis signaling pathway	4.33E-01		7.30E-03	ATP6V1F	
Androgen Signaling	4.36E-01		7.35E-03	GNAQ	
Cellular Effects of Sildenafil (Viagra)	4.49E-01		7.63E-03	PABPC4	
Synaptic Long Term Potentiation	4.54E-01		7.75E-03	GNAQ	
p70S6K Signaling	4.54E-01		7.75E-03	GNAQ	
Endocannabinoid Neuronal Synapse Pathway	4.57E-01		7.81E-03	GNAQ	
14-3-3-mediated Signaling	4.59E-01		7.87E-03	TUBA4A	
P2Y Purigenic Receptor Signaling Pathway	4.59E-01		7.87E-03	GNAQ	
IL-6 Signaling	4.65E-01		8.00E-03	CSNK2B	
RhoA Signaling	4.71E-01		8.13E-03	SEPTIN2	
G Beta Gamma Signaling	4.74E-01		8.20E-03	GNAQ	
Cholecystokinin/Gastrin-mediated Signaling	4.82E-01		8.40E-03	GNAQ	
Renin-Angiotensin Signaling	4.85E-01		8.47E-03	GNAQ	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	5.04E-01		8.93E-03	GNAQ	
Oxidative Phosphorylation	5.14E-01		9.17E-03	COX5B	
Gαs Signaling	5.2E-01		9.35E-03	ADD3	
PD-1, PD-L1 cancer immunotherapy pathway	5.24E-01		9.43E-03	CSNK2B	
IGF-1 Signaling	5.31E-01		9.62E-03	CSNK2B	
p53 Signaling	5.52E-01		1.02E-02	PML	
ATM Signaling	5.56E-01		1.03E-02	BID	
PAK Signaling	5.56E-01		1.03E-02	CASP3	
α-Adrenergic Signaling	5.6E-01		1.04E-02	GNAQ	
IL-1 Signaling	5.8E-01		1.10E-02	GNAQ	
Acute Myeloid Leukemia Signaling	5.88E-01		1.12E-02	PML	
Chemokine Signaling	6.28E-01		1.25E-02	GNAQ	
JAK/Stat Signaling	6.28E-01		1.25E-02	GNAQ	
Role of MAPK Signaling in the Pathogenesis of Influenza	6.28E-01		1.25E-02	CASP3	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	6.63E-01		1.37E-02	GNAQ	
ERK5 Signaling	6.69E-01		1.39E-02	GNAQ	
Melatonin Signaling	6.69E-01		1.39E-02	GNAQ	
Small Cell Lung Cancer Signaling	6.74E-01		1.41E-02	BID	
Nur77 Signaling in T Lymphocytes	6.91E-01		1.47E-02	CASP3	
Remodeling of Epithelial Adherens Junctions	6.91E-01		1.47E-02	TUBA4A	
Signaling by Rho Family GTPases	7.07E-01		8.20E-03	GNAQ,SEPTIN2	
Netrin Signaling	7.08E-01		1.54E-02	ENAH	
IL-2 Signaling	7.33E-01		1.64E-02	CSNK2B	
Unfolded protein response	7.67E-01		1.79E-02	HSPA2	
EGF Signaling	7.74E-01		1.82E-02	CSNK2B	
Lymphotoxin β Receptor Signaling	7.88E-01		1.89E-02	CASP3	
Amyloid Processing	8.12E-01		2.00E-02	CSNK2B	
Spliceosomal Cycle	8.28E-01		2.08E-02	RBM8A	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	8.45E-01		2.17E-02	SH3GLB1	
Molecular Mechanisms of Cancer	8.45E-01		7.67E-03	BID,CASP3,GNAQ	
Gap Junction Signaling	8.48E-01		1.01E-02	GNAQ,TUBA4A	
Adrenomedullin signaling pathway	8.51E-01		1.02E-02	CASP3,GNAQ	
RAR Activation	8.62E-01		1.03E-02	CSNK2B,PML	
PPARα/RXRα Activation	8.77E-01		1.05E-02	CKAP5,GNAQ	
Endothelin-1 Signaling	8.84E-01		1.06E-02	CASP3,GNAQ	
Mechanisms of Viral Exit from Host Cells	8.92E-01		2.44E-02	SH3GLB1	
Sertoli Cell-Sertoli Cell Junction Signaling	8.95E-01		1.08E-02	PLS1,TUBA4A	
Antiproliferative Role of TOB in T Cell Signaling	9.12E-01		2.56E-02	PABPC4	
tRNA Charging	9.12E-01		2.56E-02	LARS1	
Ephrin Receptor Signaling	9.15E-01		1.11E-02	ACP1,GNAQ	
Wnt/β-catenin Signaling	9.43E-01		1.16E-02	CSNK2B,GNAQ	
Germ Cell-Sertoli Cell Junction Signaling	9.51E-01		1.17E-02	PLS1,TUBA4A	
Mitochondrial Dysfunction	9.51E-01		1.17E-02	CASP3,COX5B	
DNA Methylation and Transcriptional Repression Signaling	9.56E-01		2.86E-02	MECP2	
Tight Junction Signaling	9.64E-01		1.19E-02	CSTF3,NUDT21	
Inhibition of Angiogenesis by TSP1	9.68E-01		2.94E-02	CASP3	
Fatty Acid β-oxidation I	9.93E-01		3.12E-02	HADHB	
G Protein Signaling Mediated by Tubby	1.01E00		3.23E-02	GNAQ	
Superpathway of Cholesterol Biosynthesis	1.03E00		3.45E-02	HADHB	
NAD Salvage Pathway II	1.08E00		3.85E-02	ACP1	
Endocannabinoid Cancer Inhibition Pathway	1.08E00		1.40E-02	CASP3,GNAQ	
Tryptophan Degradation III (Eukaryotic)	1.13E00		4.35E-02	HADHB	
Endoplasmic Reticulum Stress Pathway	1.17E00		4.76E-02	CASP3	
PTEN Signaling	1.18E00		1.59E-02	CASP3,CSNK2B	
Protein Ubiquitination Pathway	1.2E00		1.10E-02	HSPA2,PSMC2,UBA1	
Valine Degradation I	1.21E00		5.26E-02	HADHB	
FAT10 Signaling Pathway	1.23E00		5.56E-02	UBA1	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	1.23E00		5.56E-02	HADHB	
Role of Tissue Factor in Cancer	1.23E00		1.71E-02	CASP3,GNAQ	
Sphingosine-1-phosphate Signaling	1.23E00		1.71E-02	CASP3,GNAQ	
Type I Diabetes Mellitus Signaling	1.27E00		1.80E-02	BID,CASP3	
Glutaryl-CoA Degradation	1.28E00		6.25E-02	HADHB	
Isoleucine Degradation I	1.28E00		6.25E-02	HADHB	
Parkinson's Signaling	1.28E00		6.25E-02	CASP3	
Sumoylation Pathway	1.33E00		1.94E-02	PML,RANBP2	
Mevalonate Pathway I	1.34E00		7.14E-02	HADHB	
Huntington's Disease Signaling	1.35E00		1.27E-02	CASP3,GNAQ,HSPA2	
Protein Kinase A Signaling	1.35E00		1.00E-02	ACP1,ADD3,AKAP9,GNAQ	
UVA-Induced MAPK Signaling	1.37E00		2.04E-02	CASP3,PARP4	
NAD Phosphorylation and Dephosphorylation	1.37E00		7.69E-02	ACP1	
Amyotrophic Lateral Sclerosis Signaling	1.38E00		2.06E-02	BID,CASP3	
PDGF Signaling	1.47E00		2.33E-02	ACP1,CSNK2B	
Ketolysis	1.48E00		1.00E-01	HADHB	
Leucine Degradation I	1.53E00		1.11E-01	HMGCL	
Clathrin-mediated Endocytosis Signaling	1.57E00		1.55E-02	CSNK2B,EPS15,SH3GLB1	
Ephrin B Signaling	1.62E00		2.78E-02	ACP1,GNAQ	
eNOS Signaling	1.79E00		1.89E-02	CASP3,GNAQ,HSPA2	
Coronavirus Pathogenesis Pathway	1.86E00		2.00E-02	CASP3,RPS12,TNPO2	
CD27 Signaling in Lymphocytes	1.87E00		3.77E-02	BID,CASP3	
Myc Mediated Apoptosis Signaling	1.91E00		4.00E-02	BID,CASP3	
TNFR1 Signaling	1.91E00		4.00E-02	BID,CASP3	
BAG2 Signaling Pathway	2.04E00		4.65E-02	CASP3,HSPA2	
Docosahexaenoic Acid (DHA) Signaling	2.14E00		5.26E-02	BID,CASP3	
