Gene	RNA	Protein
ANXA2	10.16488171	36.40630968
ACTG1	10.32978249	36.36623318
ANXA1	9.845041145	35.82892986
HSP90AA1	10.67364314	35.79664271
PKM	9.80434605	35.62998434
SERPINB3	11.05469859	35.58776164
TUBB4B	9.961997369	35.24794564
GAPDH	9.426996344	35.14589154
HSPB1	9.083910958	34.93152125
MYH9	9.17546815	34.92536957
HSPA8	10.31474065	34.90231061
GSTP1	9.317941757	34.79775359
PIGR	9.436088856	34.7785787
AHNAK	10.58228877	34.67664673
EEF1A1	9.981765383	34.60290023
ATP5F1B	8.778471499	34.50757785
HSPA1B	7.485536068	34.50701229
BPIFB1	9.60905482	34.33515078
ENO1	8.603318627	34.31007332
S100A11	9.543124739	34.29810464
EZR	9.774282211	34.20407388
GSN	9.475714207	34.1617563
PRDX1	8.354732971	34.15958632
CAPS	9.096552129	34.13563242
YWHAZ	8.754420172	34.12072955
PGK1	7.495350071	34.11557293
ALDOA	8.484901908	34.09211831
PPIA	7.596282392	34.0485864
SFN	7.504019373	34.02400642
ACTN4	8.994207657	34.01332161
HSP90AB1	9.180408525	34.00564137
ALDH3A1	7.742918254	34.00150063
LCN2	8.993664484	33.85634374
HSPD1	7.245347823	33.83607332
TPPP3	8.380961181	33.79580282
HNRNPA2B1	9.113968899	33.79396952
MUC5AC	7.598339969	33.78270458
CTSB	9.62505728	33.78050073
ALDH1A1	9.230170764	33.7322181
ALOX15	8.18948831	33.7213003
CLTC	8.529519657	33.69602061
SOD1	7.136692736	33.6931755
PRDX5	8.536340607	33.6258532
AGR2	8.731043904	33.58288218
EEF2	10.42279696	33.57302689
LMNA	7.361401178	33.51927351
VCP	8.201869337	33.4568764
YWHAE	8.628265482	33.42278091
FABP5	6.074439893	33.38516995
ATP5F1A	8.24809066	33.23269904
HSPA5	8.489495792	33.21104048
CTSD	9.385438097	33.20674459
PDIA3	7.336207859	33.20009724
CALR	8.467072155	33.19040285
UBA1	8.095741802	33.16226737
S100A2	8.486297885	33.15608346
MDH2	6.736381657	33.15387965
SPTAN1	8.154189276	33.13720287
TUFM	7.176085299	33.11754023
SERPINB5	7.842674354	33.10683564
CKB	7.323414687	33.0951934
CFL1	7.907536742	33.06732505
P4HB	8.58962102	33.00980773
HSP90B1	8.636337571	32.98644308
PGAM1	6.148147877	32.97887042
MYH14	8.588229617	32.96116912
TXN	7.456634874	32.903449
ACO2	6.876012261	32.86448252
HNRNPA1	7.36362828	32.86091396
PLEC	8.860941039	32.83657152
SPTBN1	8.763842658	32.81062234
SCGB1A1	9.898632916	32.77036436
PARK7	6.474962526	32.76798147
HNRNPA3	6.52408633	32.76217686
DYNC1H1	8.796198696	32.75888383
PDLIM1	8.013590891	32.75119618
FASN	7.66781475	32.74585377
AKR1C2	7.256676567	32.73934278
HNRNPU	8.327701107	32.71573596
HNRNPK	8.391238872	32.71085731
MVP	7.755713754	32.703623
CTNNA1	8.96317699	32.69998733
IQGAP1	8.292977409	32.69144026
ATP1A1	9.554779524	32.6771668
S100A10	7.247220365	32.67290287
NPM1	7.225970779	32.67062129
WDR1	7.640649645	32.62448651
C3	9.259022241	32.61765071
DBI	6.906775724	32.60212346
LGALS7	2.390416093	32.59541785
PGD	7.518826784	32.59530291
ANXA5	7.499400619	32.58786051
GDI2	7.352497668	32.5732513
HINT1	7.079748676	32.55610348
PRDX6	6.867570066	32.49595041
CLIC1	8.072230754	32.46553232
CAST	8.49230417	32.43528948
