genes	cluster
A1BG	AgeUp
A2M-AS1	AgeUp
ABLIM2	AgeUp
ABTB1	AgeUp
AC003090.1	AgeUp
AC003973.3	AgeUp
AC004623.3	AgeUp
AC005618.6	AgeUp
AC005754.8	AgeUp
AC006946.16	AgeUp
AC006946.17	AgeUp
AC021188.4	AgeUp
AC025165.8	AgeUp
AC067945.4	AgeUp
AC068831.6	AgeUp
AC074289.1	AgeUp
AC090587.4	AgeUp
AC093390.1	AgeUp
AC093609.1	AgeUp
AC112229.1	AgeDown
AC114730.11	AgeUp
AC139100.4	AgeUp
ACER2	AgeUp
ACKR2	AgeUp
ACTN2	AgeUp
ACTRT3	AgeDown
ACY1	AgeDown
ADAM33	AgeUp
ADAMTSL2	AgeUp
ADCY1	AgeUp
ADCY5	AgeUp
ADD1	AgeUp
ADK	AgeDown
ADRA2C	AgeUp
ADSL	AgeDown
ADSS1	AgeUp
AEBP1	AgeUp
AF186192.6	AgeDown
AFF1	AgeUp
AGAP7P	AgeUp
AGT	AgeUp
AHCY	AgeDown
AHCYL2	AgeDown
AHDC1	AgeUp
AIFM1	AgeDown
AIMP2	AgeDown
AK2	AgeDown
AKR1A1	AgeDown
AKR1C1	AgeDown
AKT3	AgeUp
ALYREF	AgeDown
ANKRD2	AgeDown
ANKRD34B	AgeDown
ANKRD37	AgeUp
ANKRD62	AgeUp
ANLN	AgeDown
ANTXR2	AgeUp
APOBEC2	AgeUp
APOBEC3H	AgeUp
APOD	AgeUp
ARG2	AgeDown
ARHGAP10	AgeUp
ARHGAP11A	AgeDown
ARHGDIG	AgeUp
ARHGEF17	AgeUp
ARHGEF25	AgeUp
ARMT1	AgeDown
ART3	AgeUp
ASF1B	AgeDown
ASIP	AgeUp
ASNS	AgeDown
ASPM	AgeDown
ASTN2	AgeUp
ATP10D	AgeUp
ATP1B1	AgeDown
ATP5C1	AgeDown
ATP5MC3	AgeDown
ATP5PB	AgeDown
ATP8B2	AgeUp
AUNIP	AgeDown
AURKA	AgeDown
AURKB	AgeDown
