Protein	Celltype
KRT15	Basal
BCAM	Basal
DST	Basal
CYR61	Basal
KRT5	Basal
KRT17	Basal
NPPC	Basal
IL33	Basal
PTRF	Basal
ZFP36L2	Basal
THSD4	Basal
S100A2	Basal
SPINK5	Basal
FHL2	Basal
MYC	Basal
FLRT3	Basal
NFKBIA	Basal
EGR3	Basal
CTGF	Basal
ADIRF	Basal
TP63	Basal
SERPINF1	Basal
JUNB	Basal
GPR155	Basal
LAMB3	Basal
ERRFI1	Basal
LGALS1	Basal
SOCS3	Basal
G0S2	Basal
TSC22D1	Basal
SERTAD1	Basal
PRNP	Basal
F3	Basal
SPRY1	Basal
SDPR	Basal
ETS2	Basal
EGR1	Basal
CTD-3252C9.4	Basal
PHLDA1	Basal
FOSB	Basal
MMP10	Basal
ATP1B3	Basal
TSLP	Basal
HSPA2	Basal
SLC38A2	Basal
BTG2	Basal
EGR2	Basal
FMO2	Basal
ARL4D	Basal
RASSF6	Basal
SULT1E1	Basal
SERPINB3	Basal
SERPINB4	Basal
IGFBP3	Basal
MT1X	Basal
CLCA2	Basal
S100A2	Basal
EPAS1	Basal
MGST1	Basal
CCND1	Basal
NTS	Basal
HPGD	Basal
CSTA	Basal
KRT5	Basal
KLK11	Basal
SFN	Basal
SPARCL1	Basal
KRT19	Basal
HSPB1	Basal
CLDN1	Basal
SERPINB13	Basal
RPS18	Basal
CYP26A1	Basal
DAPL1	Basal
GABRP	Basal
AQP3	Basal
SERPINB5	Basal
ARL4D	Basal
ID1	Basal
CD44	Basal
AQP5	Basal
SLC25A6	Basal
FMO2	Basal
EGFR	Basal
RPS2	Basal
ATP1B3	Basal
RPS28	Basal
RPLP0	Basal
FOXN3	Basal
KRT17	Basal
MYC	Basal
HBEGF	Basal
LAYN	Basal
RPS12	Basal
PRSS23	Basal
RPL12	Basal
C19orf33	Basal
S100A16	Basal
SEMA5A	Basal
RPS3	Basal
CALML3	Basal
RPS17	Basal
CEACAM5	Goblet
S100P	Goblet
CST1	Goblet
SLC6A14	Goblet
TSPAN8	Goblet
GSN	Goblet
VSIG2	Goblet
CTSC	Goblet
SLC31A1	Goblet
ST6GAL1	Goblet
MUC5AC	Goblet
CREB3L1	Goblet
SPDEF	Goblet
TFF3	Goblet
UPK1B	Goblet
TSPAN1	Goblet
XBP1	Goblet
CXCL17	Goblet
CDH26	Goblet
NOS2	Goblet
MUC1	Goblet
GALNT6	Goblet
HS3ST1	Goblet
RAB11FIP1	Goblet
PIGR	Goblet
SORL1	Goblet
WFDC2	Goblet
ALOX15	Goblet
RDH10	Goblet
SERPINB2	Goblet
LCN2	Goblet
ALPL	Goblet
TGM2	Goblet
FAM83D	Goblet
SYTL2	Goblet
SLC12A2	Goblet
AGR2	Goblet
GALNT7	Goblet
BPIFB1	Goblet
SYNGR2	Goblet
SLC5A8	Goblet
CLDN7	Goblet
CD55	Goblet
KCNE3	Goblet
S100A13	Goblet
SERPINB3	Goblet
SLC16A9	Goblet
KRT7	Goblet
ERN2	Goblet
CD36	Goblet
OBFC1	Goblet
SNTN	Ciliated
LRRIQ1	Ciliated
TSPAN19	Ciliated
DYNLRB2	Ciliated
CCDC170	Ciliated
DNAH12	Ciliated
CAPSL	Ciliated
FAM183A	Ciliated
C20orf85	Ciliated
CFAP53	Ciliated
DNAAF1	Ciliated
C1orf194	Ciliated
C5orf49	Ciliated
CFAP43	Ciliated
MORN5	Ciliated
ERICH3	Ciliated
NME5	Ciliated
PIFO	Ciliated
ARMC3	Ciliated
C11orf88	Ciliated
LDLRAD1	Ciliated
AC013264.2	Ciliated
RSPH1	Ciliated
SPAG17	Ciliated
C9orf116	Ciliated
ROPN1L	Ciliated
CCDC78	Ciliated
FAM216B	Ciliated
DTHD1	Ciliated
FAM81B	Ciliated
CFAP126	Ciliated
ENKUR	Ciliated
DNAH5	Ciliated
TCTEX1D4	Ciliated
FAM92B	Ciliated
C11orf97	Ciliated
C9orf135	Ciliated
CDHR3	Ciliated
C9orf24	Ciliated
TEKT1	Ciliated
RP11-356K23.1	Ciliated
SAXO2	Ciliated
SPA17	Ciliated
WDR78	Ciliated
OMG	Ciliated
SPEF2	Ciliated
ZMYND10	Ciliated
DRC3	Ciliated
CCDC39	Ciliated
EFCAB1	Ciliated
RSPH4A	Ciliated
