Protein	CoV2	Type
AP3B1	E	Structural
BRD4	E	Structural
BRD2	E	Structural
CWC27	E	Structural
ZC3H18	E	Structural
SLC44A2	E	Structural
PMPCB	M	Structural
YIF1A	M	Structural
ATP1B1	M	Structural
ACADM	M	Structural
ETFA	M	Structural
STOM	M	Structural
GGCX	M	Structural
ATP6V1A	M	Structural
PSMD8	M	Structural
REEP5	M	Structural
PMPCA	M	Structural
ANO6	M	Structural
PITRM1	M	Structural
SLC30A9	M	Structural
FASTKD5	M	Structural
SLC30A7	M	Structural
TUBGCP3	M	Structural
COQ8B	M	Structural
SAAL1	M	Structural
REEP6	M	Structural
INTS4	M	Structural
SLC25A21	M	Structural
TUBGCP2	M	Structural
TARS2	M	Structural
RTN4	M	Structural
FAM8A1	M	Structural
AASS	M	Structural
AKAP8L	M	Structural
AAR2	M	Structural
BZW2	M	Structural
RRP9	N	Structural
PABPC1	N	Structural
CSNK2A2	N	Structural
CSNK2B	N	Structural
G3BP1	N	Structural
PABPC4	N	Structural
LARP1	N	Structural
FAM98A	N	Structural
SNIP1	N	Structural
UPF1	N	Structural
MOV10	N	Structural
G3BP2	N	Structural
DDX21	N	Structural
RBM28	N	Structural
RPL36	N	Structural
GOLGA7	Spike	Structural
ZDHHC5	Spike	Structural
POLA1	nsp1	Non-structural
PRIM1	nsp1	Non-structural
PRIM2	nsp1	Non-structural
POLA2	nsp1	Non-structural
COLGALT1	nsp1	Non-structural
PKP2	nsp1	Non-structural
AP2A2	nsp10	Non-structural
GFER	nsp10	Non-structural
ERGIC1	nsp10	Non-structural
AP2M1	nsp10	Non-structural
GRPEL1	nsp10	Non-structural
TBCA	nsp11	Non-structural
SBNO1	nsp12	Replication complex
BCKDK	nsp12	Replication complex
AKAP8	nsp12	Replication complex
MYCBP2	nsp12	Replication complex
SLU7	nsp12	Replication complex
RIPK1	nsp12	Replication complex
UBAP2L	nsp12	Replication complex
TYSND1	nsp12	Replication complex
PDZD11	nsp12	Replication complex
PRRC2B	nsp12	Replication complex
UBAP2	nsp12	Replication complex
ZNF318	nsp12	Replication complex
CRTC3	nsp12	Replication complex
USP54	nsp12	Replication complex
ZC3H7A	nsp12	Replication complex
LARP4B	nsp12	Replication complex
RBM41	nsp12	Replication complex
TCF12	nsp12	Replication complex
PPIL3	nsp12	Replication complex
PLEKHA5	nsp12	Replication complex
TBKBP1	nsp13	Capping enzymes
CIT	nsp13	Capping enzymes
HSBP1	nsp13	Capping enzymes
PCNT	nsp13	Capping enzymes
CEP43	nsp13	Capping enzymes
PRKAR2A	nsp13	Capping enzymes
PRKACA	nsp13	Capping enzymes
PRKAR2B	nsp13	Capping enzymes
RDX	nsp13	Capping enzymes
CENPF	nsp13	Capping enzymes
TLE1	nsp13	Capping enzymes
TLE3	nsp13	Capping enzymes
TLE5	nsp13	Capping enzymes
GOLGA3	nsp13	Capping enzymes
GOLGA2	nsp13	Capping enzymes
GOLGB1	nsp13	Capping enzymes
GRIPAP1	nsp13	Capping enzymes
CEP350	nsp13	Capping enzymes
PDE4DIP	nsp13	Capping enzymes
CEP135	nsp13	Capping enzymes
CEP68	nsp13	Capping enzymes
CNTRL	nsp13	Capping enzymes
ERC1	nsp13	Capping enzymes
GCC2	nsp13	Capping enzymes
CLIP4	nsp13	Capping enzymes
NIN	nsp13	Capping enzymes
CEP112	nsp13	Capping enzymes
MIPOL1	nsp13	Capping enzymes
USP13	nsp13	Capping enzymes
GCC1	nsp13	Capping enzymes
JAKMIP1	nsp13	Capping enzymes
CDK5RAP2	nsp13	Capping enzymes
AKAP9	nsp13	Capping enzymes
GORASP1	nsp13	Capping enzymes
FYCO1	nsp13	Capping enzymes
C1orf50	nsp13	Capping enzymes
CEP250	nsp13	Capping enzymes
TBK1	nsp13	Capping enzymes
HOOK1	nsp13	Capping enzymes
NINL	nsp13	Capping enzymes
