"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"chromatin assembly (GO:0031497)",NA,21271,74,67,20,3,0.15,4.19273192129198e-07,0.00217686641353479,"CENPV","HIST1H1C","HIST1H1D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of extrinsic apoptotic signaling pathway (GO:2001236)",NA,21271,74,67,160,6,0.0375,7.11267193195997e-07,0.00369289926707361,"AGT","HMOX1","SIGLEC1","MCL1","TCF7L2","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of lipid metabolic process (GO:0045834)",NA,21271,74,67,102,5,0.0490196078431373,8.25395432657432e-07,0.00428545308635739,"AGT","CD81","TCF7L2","PPARG","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to mechanical stimulus (GO:0009612)",NA,21271,74,67,175,6,0.0342857142857143,1.29828487919922e-06,0.00674069509280237,"AGT","SERPINE2","SLC1A3","AQP1","DCN","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of fatty acid metabolic process (GO:0045923)",NA,21271,74,67,27,3,0.111111111111111,1.49374212589736e-06,0.00775550911765908,"AGT","PPARG","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of sodium ion transport (GO:0010766)",NA,21271,74,67,8,2,0.25,1.65391202927385e-06,0.00858711125598983,"SERPINE2","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transcytosis (GO:0045056)",NA,21271,74,67,8,2,0.25,1.65391202927385e-06,0.00858711125598983,"FCGRT","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of sequence-specific DNA binding transcription factor activity (GO:0043433)",NA,21271,74,67,125,5,0.04,2.71713898556263e-06,0.0141073856130412,"CHP1","HMOX1","ID1","TAX1BP1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"peptide hormone processing (GO:0016486)",NA,21271,74,67,32,3,0.09375,3.02464073991837e-06,0.0157039347216562,"ATP6AP2","AGT","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"generation of neurons (GO:0048699)",NA,21271,74,67,10,2,0.2,3.52812778724426e-06,0.0183180394713722,"TCF7L2","TCF7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
