"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"extracellular matrix organization (GO:0030198)",NA,20829,52,52,141,10,0.0709219858156028,1.81633468071015e-12,5.75051559912834e-09,"BSG","HSPG2","FN1","VCAN","NID1","LAMC1","NID2","DCN","COL4A2","LAMA4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"extracellular matrix disassembly (GO:0022617)",NA,20829,52,52,75,6,0.08,3.17361246917862e-08,0.000100476570774195,"FN1","NID1","LAMC1","BSG","DCN","HSPG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular protein metabolic process (GO:0044267)",NA,20829,52,52,185,6,0.0324324324324324,6.56380353647829e-06,0.0207810019964903,"TGFBI","HSPG2","APOE","FN1","VCAN","LAMC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"platelet degranulation (GO:0002576)",NA,20829,52,52,121,5,0.0413223140495868,1.27197956125061e-05,0.0402708729091943,"TUBA4A","ISLR","FN1","CD109","TMSB4X","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"canonical glycolysis (GO:0061621)",NA,20829,52,52,26,3,0.115384615384615,3.66393464406831e-05,0.116000170831203,"PKM","PFKL","PFKP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glycosaminoglycan metabolic process (GO:0030203)",NA,20829,52,52,27,3,0.111111111111111,4.1146662499526e-05,0.130270333473499,"DCN","VCAN","HSPG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of fatty acid biosynthetic process (GO:0042304)",NA,20829,52,52,7,2,0.285714285714286,0.000127350241877271,0.40319086578344,"ADIPOQ","ADIPOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fatty acid oxidation (GO:0019395)",NA,20829,52,52,7,2,0.285714285714286,0.000127350241877271,0.40319086578344,"ADIPOQ","ADIPOR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"generation of precursor metabolites and energy (GO:0006091)",NA,20829,52,52,47,3,0.0638297872340425,0.000220204551940946,0.697167611445034,"ADIPOQ","GBE1","COX7A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of blood coagulation (GO:0030195)",NA,20829,52,52,10,2,0.2,0.000271586475138391,0.859842780288144,"SERPINE2","APOE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monocyte activation (GO:0042117)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cobalamin metabolic process (GO:0009235)",NA,20829,52,52,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prostaglandin biosynthetic process (GO:0001516)",NA,20829,52,52,11,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prostaglandin metabolic process (GO:0006693)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cyclooxygenase pathway (GO:0019371)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
