"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8"
"mitochondrial respiratory chain complex IV assembly (GO:0033617)",NA,9330,22,8,19,2,0.105263157894737,3.98439323070414e-07,0.00203323586562832,"PET100","COX14","","","","","",""
"mitochondrial respiratory chain complex IV biogenesis (GO:0097034)",NA,9330,22,8,20,2,0.1,4.68563501176388e-07,0.00239107954650311,"PET100","COX14","","","","","",""
"respiratory chain complex IV assembly (GO:0008535)",NA,9330,22,8,24,2,0.0833333333333333,8.30567174584544e-07,0.00423838429190493,"PET100","COX14","","","","","",""
"regulation of alpha-beta T cell differentiation (GO:0046637)",NA,9330,22,8,6,1,0.166666666666667,9.6342392938822e-06,0.0491635231166809,"PNP","","","","","","",""
"aminoglycoside antibiotic metabolic process (GO:0030647)",NA,9330,22,8,7,1,0.142857142857143,1.34821505438813e-05,0.0687994142254263,"AKR1C2","","","","","","",""
"late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)",NA,9330,22,8,7,1,0.142857142857143,1.34821505438813e-05,0.0687994142254263,"VPS25","","","","","","",""
"doxorubicin metabolic process (GO:0044598)",NA,9330,22,8,7,1,0.142857142857143,1.34821505438813e-05,0.0687994142254263,"AKR1C2","","","","","","",""
"positive regulation of alpha-beta T cell differentiation (GO:0046638)",NA,9330,22,8,7,1,0.142857142857143,1.34821505438813e-05,0.0687994142254263,"PNP","","","","","","",""
"daunorubicin metabolic process (GO:0044597)",NA,9330,22,8,7,1,0.142857142857143,1.34821505438813e-05,0.0687994142254263,"AKR1C2","","","","","","",""
"quinone metabolic process (GO:1901661)",NA,9330,22,8,9,1,0.111111111111111,2.30924375772077e-05,0.117840708956491,"AKR1C2","","","","","","",""
"progesterone metabolic process (GO:0042448)",NA,9330,22,8,10,1,0.1,2.88531666331817e-05,0.147237709329126,"AKR1C2","","","","","","",""
"urate metabolic process (GO:0046415)",NA,9330,22,8,10,1,0.1,2.88531666331817e-05,0.147237709329126,"PNP","","","","","","",""
"cellular response to prostaglandin stimulus (GO:0071379)",NA,9330,22,8,10,1,0.1,2.88531666331817e-05,0.147237709329126,"AKR1C2","","","","","","",""
"prostanoid metabolic process (GO:0006692)",NA,9330,22,8,11,1,0.0909090909090909,3.52498560022018e-05,0.179880015179236,"AKR1C2","","","","","","",""
"mitochondrial translational elongation (GO:0070125)",NA,9330,22,8,86,2,0.0232558139534884,4.09589348315479e-05,0.209013444445389,"MRPL27","MRPL36","","","","","",""
"negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)",NA,9330,22,8,12,1,0.0833333333333333,4.2281683977634e-05,0.215763433337867,"VPS25","","","","","","",""
"mitochondrial translational termination (GO:0070126)",NA,9330,22,8,88,2,0.0227272727272727,4.38835094467847e-05,0.223937548706942,"MRPL27","MRPL36","","","","","",""
"purine-containing compound salvage (GO:0043101)",NA,9330,22,8,13,1,0.0769230769230769,4.99478295149784e-05,0.254883774014935,"PNP","","","","","","",""
"glycoside metabolic process (GO:0016137)",NA,9330,22,8,13,1,0.0769230769230769,4.99478295149784e-05,0.254883774014935,"AKR1C2","","","","","","",""
"purine nucleotide catabolic process (GO:0006195)",NA,9330,22,8,13,1,0.0769230769230769,4.99478295149784e-05,0.254883774014935,"PNP","","","","","","",""
"purine-containing compound catabolic process (GO:0072523)",NA,9330,22,8,13,1,0.0769230769230769,4.99478295149784e-05,0.254883774014935,"PNP","","","","","","",""
"translational termination (GO:0006415)",NA,9330,22,8,95,2,0.0210526315789474,5.51958600056391e-05,0.281664473608776,"MRPL27","MRPL36","","","","","",""
"mitochondrial respiratory chain complex assembly (GO:0033108)",NA,9330,22,8,96,2,0.0208333333333333,5.69533394028647e-05,0.290632890972819,"COX14","PET100","","","","","",""
"NAD biosynthesis via nicotinamide riboside salvage pathway (GO:0034356)",NA,9330,22,8,14,1,0.0714285714285714,5.8247472231489e-05,0.297236850797288,"PNP","","","","","","",""
"positive regulation of alpha-beta T cell activation (GO:0046635)",NA,9330,22,8,14,1,0.0714285714285714,5.8247472231489e-05,0.297236850797288,"PNP","","","","","","",""
"translational elongation (GO:0006414)",NA,9330,22,8,104,2,0.0192307692307692,7.23539262748713e-05,0.369222085780668,"MRPL27","MRPL36","","","","","",""
"mitochondrial translation (GO:0032543)",NA,9330,22,8,106,2,0.0188679245283019,7.65893676912163e-05,0.390835543328277,"MRPL27","MRPL36","","","","","",""
"nucleotide catabolic process (GO:0009166)",NA,9330,22,8,16,1,0.0625,7.67439709775267e-05,0.391624483898319,"PNP","","","","","","",""
"nucleobase-containing compound biosynthetic process (GO:0034654)",NA,9330,22,8,16,1,0.0625,7.67439709775267e-05,0.391624483898319,"PNP","","","","","","",""
"ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)",NA,9330,22,8,17,1,0.0588235294117647,8.69391895469254e-05,0.44365068425796,"VPS25","","","","","","",""
"purine nucleotide metabolic process (GO:0006163)",NA,9330,22,8,19,1,0.0526315789473684,0.000109219476380524,0.557346987969813,"PNP","","","","","","",""
"establishment of protein localization to vacuole (GO:0072666)",NA,9330,22,8,20,1,0.05,0.000121302911144896,0.619008755572404,"VPS25","","","","","","",""
"negative regulation of protein tyrosine kinase activity (GO:0061099)",NA,9330,22,8,20,1,0.05,0.000121302911144896,0.619008755572404,"VPS25","","","","","","",""
"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",NA,9330,22,8,20,1,0.05,0.000121302911144896,0.619008755572404,"COX6B1","","","","","","",""
"NAD biosynthetic process (GO:0009435)",NA,9330,22,8,21,1,0.0476190476190476,0.000134014118906523,0.683874048779989,"PNP","","","","","","",""
"purine-containing compound biosynthetic process (GO:0072522)",NA,9330,22,8,21,1,0.0476190476190476,0.000134014118906523,0.683874048779989,"PNP","","","","","","",""
"C21-steroid hormone metabolic process (GO:0008207)",NA,9330,22,8,21,1,0.0476190476190476,0.000134014118906523,0.683874048779989,"AKR1C2","","","","","","",""
"regulation of epidermal growth factor-activated receptor activity (GO:0007176)",NA,9330,22,8,23,1,0.0434782608695652,0.000161316593670526,0.823198577500696,"VPS25","","","","","","",""
"prostaglandin metabolic process (GO:0006693)",NA,9330,22,8,24,1,0.0416666666666667,0.000175906232442884,0.897649504156039,"AKR1C2","","","","","","",""
"positive regulation of posttranscriptional gene silencing (GO:0060148)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"regulation of cell cycle process (GO:0010564)",NA,9330,22,8,89,0,0,0.0738399309224563,1,"","","","","","","",""
"angiotensin-activated signaling pathway (GO:0038166)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"DNA-templated transcription, termination (GO:0006353)",NA,9330,22,8,105,0,0,0.0865957966989486,1,"","","","","","","",""
"regulation of protein sumoylation (GO:0033233)",NA,9330,22,8,16,0,0,0.0136422105074602,1,"","","","","","","",""
"regulation of cellular response to stress (GO:0080135)",NA,9330,22,8,103,0,0,0.0850097676638163,1,"","","","","","","",""
"potassium ion import (GO:0010107)",NA,9330,22,8,37,0,0,0.0313003224650203,1,"","","","","","","",""
"protein complex disassembly (GO:0043241)",NA,9330,22,8,45,0,0,0.0379540967987592,1,"","","","","","","",""
"protein insertion into mitochondrial membrane (GO:0051204)",NA,9330,22,8,7,0,0,0.00598864700325075,1,"","","","","","","",""
"regulation of mitotic spindle assembly (GO:1901673)",NA,9330,22,8,18,0,0,0.0153359826315622,1,"","","","","","","",""
"formation of extrachromosomal circular DNA (GO:0001325)",NA,9330,22,8,10,0,0,0.00854558815509976,1,"","","","","","","",""
"adherens junction assembly (GO:0034333)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)",NA,9330,22,8,6,0,0,0.00513505202429265,1,"","","","","","","",""
"regulation of potassium ion transport (GO:0043266)",NA,9330,22,8,35,0,0,0.0296306007295059,1,"","","","","","","",""
