"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532","",13105,2,2,19,0,0,1,1,"",""
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin_Homo sapiens_hsa00534","",13105,2,2,23,0,0,1,1,"",""
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis_Homo sapiens_hsa00563","",13105,2,2,24,0,0,1,1,"",""
"Steroid biosynthesis_Homo sapiens_hsa00100","",13105,2,2,19,0,0,1,1,"",""
"SNARE interactions in vesicular transport_Homo sapiens_hsa04130","",13105,2,2,33,0,0,1,1,"",""
"Protein export_Homo sapiens_hsa03060","",13105,2,2,22,0,0,1,1,"",""
"Protein processing in endoplasmic reticulum_Homo sapiens_hsa04141","",13105,2,2,168,0,0,1,1,"",""
"N-Glycan biosynthesis_Homo sapiens_hsa00510","",13105,2,2,48,0,0,1,1,"",""
"Other types of O-glycan biosynthesis_Homo sapiens_hsa00514","",13105,2,2,30,0,0,1,1,"",""
"Glycosaminoglycan biosynthesis - keratan sulfate_Homo sapiens_hsa00533","",13105,2,2,14,0,0,1,1,"",""
"Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601","",13105,2,2,25,0,0,1,1,"",""
"Glycosphingolipid biosynthesis - globo series_Homo sapiens_hsa00603","",13105,2,2,13,0,0,1,1,"",""
"Glycosphingolipid biosynthesis - ganglio series_Homo sapiens_hsa00604","",13105,2,2,14,0,0,1,1,"",""
"Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512","",13105,2,2,30,0,0,1,1,"",""
"Sphingolipid metabolism_Homo sapiens_hsa00600","",13105,2,2,46,0,0,1,1,"",""
"Other glycan degradation_Homo sapiens_hsa00511","",13105,2,2,17,0,0,1,1,"",""
"Glycosaminoglycan degradation_Homo sapiens_hsa00531","",13105,2,2,18,0,0,1,1,"",""
"Lysosome_Homo sapiens_hsa04142","",13105,2,2,122,0,0,1,1,"",""
"Synaptic vesicle cycle_Homo sapiens_hsa04721","",13105,2,2,62,0,0,1,1,"",""
"Collecting duct acid secretion_Homo sapiens_hsa04966","",13105,2,2,26,0,0,1,1,"",""
"Vibrio cholerae infection_Homo sapiens_hsa05110","",13105,2,2,50,0,0,1,1,"",""
"Epithelial cell signaling in Helicobacter pylori infection_Homo sapiens_hsa05120","",13105,2,2,67,0,0,1,1,"",""
"Rheumatoid arthritis_Homo sapiens_hsa05323","",13105,2,2,89,0,0,1,1,"",""
"Phagosome_Homo sapiens_hsa04145","",13105,2,2,153,0,0,1,1,"",""
"Tuberculosis_Homo sapiens_hsa05152","",13105,2,2,177,0,0,1,1,"",""
"Toxoplasmosis_Homo sapiens_hsa05145","",13105,2,2,117,0,0,1,1,"",""
"Leishmaniasis_Homo sapiens_hsa05140","",13105,2,2,72,0,0,1,1,"",""
"Inflammatory bowel disease (IBD)_Homo sapiens_hsa05321","",13105,2,2,64,0,0,1,1,"",""
"Asthma_Homo sapiens_hsa05310","",13105,2,2,30,0,0,1,1,"",""
"Intestinal immune network for IgA production_Homo sapiens_hsa04672","",13105,2,2,47,0,0,1,1,"",""
"Viral myocarditis_Homo sapiens_hsa05416","",13105,2,2,58,0,0,1,1,"",""
"Autoimmune thyroid disease_Homo sapiens_hsa05320","",13105,2,2,52,0,0,1,1,"",""
"Allograft rejection_Homo sapiens_hsa05330","",13105,2,2,37,0,0,1,1,"",""
"Type I diabetes mellitus_Homo sapiens_hsa04940","",13105,2,2,42,0,0,1,1,"",""
"Graft-versus-host disease_Homo sapiens_hsa05332","",13105,2,2,40,0,0,1,1,"",""
"Antigen processing and presentation_Homo sapiens_hsa04612","",13105,2,2,76,0,0,1,1,"",""
"Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514","",13105,2,2,141,0,0,1,1,"",""
"Staphylococcus aureus infection_Homo sapiens_hsa05150","",13105,2,2,55,0,0,1,1,"",""
"Complement and coagulation cascades_Homo sapiens_hsa04610","",13105,2,2,78,0,0,1,1,"",""
"Pertussis_Homo sapiens_hsa05133","",13105,2,2,74,0,0,1,1,"",""
"Legionellosis_Homo sapiens_hsa05134","",13105,2,2,54,0,0,1,1,"",""
"Malaria_Homo sapiens_hsa05144","",13105,2,2,48,0,0,1,1,"",""
"African trypanosomiasis_Homo sapiens_hsa05143","",13105,2,2,34,0,0,1,1,"",""
"Regulation of autophagy_Homo sapiens_hsa04140","",13105,2,2,38,0,0,1,1,"",""
"Jak-STAT signaling pathway_Homo sapiens_hsa04630","",13105,2,2,157,0,0,1,1,"",""
"Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060","",13105,2,2,264,0,0,1,1,"",""
"Hematopoietic cell lineage_Homo sapiens_hsa04640","",13105,2,2,87,0,0,1,1,"",""
"Transcriptional misregulation in cancer_Homo sapiens_hsa05202","",13105,2,2,179,0,0,1,1,"",""
"Alcoholism_Homo sapiens_hsa05034","",13105,2,2,178,0,0,1,1,"",""
"Systemic lupus erythematosus_Homo sapiens_hsa05322","",13105,2,2,134,0,0,1,1,"",""
"Prion diseases_Homo sapiens_hsa05020","",13105,2,2,34,0,0,1,1,"",""
"Inositol phosphate metabolism_Homo sapiens_hsa00562","",13105,2,2,70,0,0,1,1,"",""
"Phosphatidylinositol signaling system_Homo sapiens_hsa04070","",13105,2,2,97,0,0,1,1,"",""
"Calcium signaling pathway_Homo sapiens_hsa04020","",13105,2,2,179,0,0,1,1,"",""
