"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83"
"Metabolic pathways_Homo sapiens_hsa01100",NA,21271,150,83,1238,42,0.0339256865912763,3.23686138155901e-31,9.48400384796791e-29,"UGP2","FASN","PGAM1","NUDT12","GK","ACLY","UAP1","ME1","PGK1","NDUFA3","GAPDH","PPAT","ACACB","XDH","GCLC","MVD","ENO1","TPI1","CHKB","ADI1","GPI","GPT","LDHB","LDHA","HADHB","IMPA2","AGL","ACSS2","PGP","AK4","PKM","PFKL","ALDH9A1","PFKP","ADSS","GLUL","ALDOA","CBR1","GBE1","PHOSPHO1","IDI1","GMPPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glycolysis / Gluconeogenesis_Homo sapiens_hsa00010",NA,21271,150,83,66,14,0.212121212121212,4.45779260961557e-23,1.30613323461736e-20,"TPI1","ALDOA","GPI","LDHB","LDHA","PGK1","ACSS2","PGAM1","PKM","PFKL","ALDH9A1","GAPDH","PFKP","ENO1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Carbon metabolism_Homo sapiens_hsa01200",NA,21271,150,83,112,14,0.125,2.2701693314171e-19,6.65159614105211e-17,"ACSS2","PGP","ENO1","TPI1","ALDOA","GPI","GPT","ME1","PGK1","PGAM1","PKM","PFKL","GAPDH","PFKP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biosynthesis of amino acids_Homo sapiens_hsa01230",NA,21271,150,83,73,11,0.150684931506849,8.25947566161503e-17,2.4200263688532e-14,"TPI1","ALDOA","GPT","PGK1","PGAM1","PKM","PFKL","GAPDH","PFKP","ENO1","GLUL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIF-1 signaling pathway_Homo sapiens_hsa04066",NA,21271,150,83,102,11,0.107843137254902,5.54839985724536e-15,1.62568115817289e-12,"TCEB2","TCEB1","MAP2K2","MAP2K1","ENO1","PDK1","ALDOA","LDHA","PGK1","PFKL","GAPDH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyruvate metabolism_Homo sapiens_hsa00620",NA,21271,150,83,39,7,0.179487179487179,2.12092216354269e-12,6.21430193918009e-10,"PKM","ALDH9A1","ACACB","LDHB","LDHA","ME1","ACSS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central carbon metabolism in cancer_Homo sapiens_hsa05230",NA,21271,150,83,66,8,0.121212121212121,4.14839594864283e-12,1.21548001295235e-09,"LDHA","MAP2K2","MAP2K1","PGAM1","PKM","PFKL","PFKP","PDK1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMPK signaling pathway_Homo sapiens_hsa04152",NA,21271,150,83,123,9,0.0731707317073171,4.91366838025744e-11,1.43970483541543e-08,"EEF2","FASN","PPP2R5A","ACACB","PFKL","PFKP","PPP2R2A","GYS1","PPP2CB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fructose and mannose metabolism_Homo sapiens_hsa00051",NA,21271,150,83,31,5,0.161290322580645,2.00018676801467e-09,5.860547230283e-07,"TPI1","PFKL","ALDOA","PFKP","GMPPB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Glucagon signaling pathway_Homo sapiens_hsa04922",NA,21271,150,83,100,7,0.07,5.2966022124591e-09,1.55190444825052e-06,"ACACB","LDHB","LDHA","PGAM1","PKM","PFKL","GYS1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Terpenoid backbone biosynthesis_Homo sapiens_hsa00900",NA,21271,150,83,21,4,0.19047619047619,1.55109342707131e-08,4.54470374131894e-06,"IDI1","FNTB","FNTA","MVD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
