"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr5q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q23",30010,9,9,84,0,0,1,1,"","","","","","","","",""
"chr16q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr16q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q24","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q24",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxp21","http://www.broadinstitute.org/gsea/msigdb/cards/chrxp21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr4q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr6q13","http://www.broadinstitute.org/gsea/msigdb/cards/chr6q13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr18q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr8p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr1p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr1p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr9p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr20p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr7p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr7p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p16","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p16",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr14q11","http://www.broadinstitute.org/gsea/msigdb/cards/chr14q11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chryp11","http://www.broadinstitute.org/gsea/msigdb/cards/chryp11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q25","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q25",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr11q","http://www.broadinstitute.org/gsea/msigdb/cards/chr11q",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p14","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q26","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q15","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q15",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q33","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q33",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr18p","http://www.broadinstitute.org/gsea/msigdb/cards/chr18p",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3q28","http://www.broadinstitute.org/gsea/msigdb/cards/chr3q28",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr12q14","http://www.broadinstitute.org/gsea/msigdb/cards/chr12q14",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2q36","http://www.broadinstitute.org/gsea/msigdb/cards/chr2q36",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr9q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr9q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr3p22","http://www.broadinstitute.org/gsea/msigdb/cards/chr3p22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq",12,12,12,12,12,12,12,12,"","","","","","","","",""
