"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8"
"NAKAMURA_CANCER_MICROENVIRONMENT_UP","http://www.broadinstitute.org/gsea/msigdb/cards/NAKAMURA_CANCER_MICROENVIRONMENT_UP",20554,9,8,26,0,0,1,1,"","","","","","","",""
"NAKAMURA_CANCER_MICROENVIRONMENT_DN","http://www.broadinstitute.org/gsea/msigdb/cards/NAKAMURA_CANCER_MICROENVIRONMENT_DN",12,12,12,12,12,12,12,12,"","","","","","","",""
"WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP","http://www.broadinstitute.org/gsea/msigdb/cards/WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP",12,12,12,12,12,12,12,12,"","","","","","","",""
"WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN","http://www.broadinstitute.org/gsea/msigdb/cards/WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN",12,12,12,12,12,12,12,12,"","","","","","","",""
"WINTER_HYPOXIA_UP","http://www.broadinstitute.org/gsea/msigdb/cards/WINTER_HYPOXIA_UP",12,12,12,12,12,12,12,12,"","","","","","","",""
"WINTER_HYPOXIA_DN","http://www.broadinstitute.org/gsea/msigdb/cards/WINTER_HYPOXIA_DN",12,12,12,12,12,12,12,12,"","","","","","","",""
"PARENT_MTOR_SIGNALING_UP","http://www.broadinstitute.org/gsea/msigdb/cards/PARENT_MTOR_SIGNALING_UP",12,12,12,12,12,12,12,12,"","","","","","","",""
"PARENT_MTOR_SIGNALING_DN","http://www.broadinstitute.org/gsea/msigdb/cards/PARENT_MTOR_SIGNALING_DN",12,12,12,12,12,12,12,12,"","","","","","","",""
"PYEON_HPV_POSITIVE_TUMORS_UP","http://www.broadinstitute.org/gsea/msigdb/cards/PYEON_HPV_POSITIVE_TUMORS_UP",12,12,12,12,12,12,12,12,"","","","","","","",""
"PYEON_HPV_POSITIVE_TUMORS_DN","http://www.broadinstitute.org/gsea/msigdb/cards/PYEON_HPV_POSITIVE_TUMORS_DN",12,12,12,12,12,12,12,12,"","","","","","","",""
"NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP","http://www.broadinstitute.org/gsea/msigdb/cards/NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP",12,12,12,12,12,12,12,12,"","","","","","","",""
