"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46"
"BIOCARTA_GABA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GABA_PATHWAY",1279,518,46,10,4,0.4,0.000263125942270643,0.0570983294727295,"GABRA5","GABRA3","GABRA4","GABRA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_RELA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_RELA_PATHWAY",1279,518,46,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_NO1_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_NO1_PATHWAY",1279,518,46,33,5,0.151515151515152,0.00537984847185004,1,"RYR2","CHRM1","VEGFA","PDE2A","CHRNA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CSK_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CSK_PATHWAY",1279,518,46,24,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SRCRPTP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SRCRPTP_PATHWAY",1279,518,46,11,1,0.0909090909090909,0.332706024952713,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AMI_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AMI_PATHWAY",1279,518,46,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_GRANULOCYTES_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GRANULOCYTES_PATHWAY",1279,518,46,14,2,0.142857142857143,0.0875261914530246,1,"SELL","IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_LYM_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_LYM_PATHWAY",1279,518,46,11,2,0.181818181818182,0.056622009111399,1,"SELL","IL8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ARAP_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ARAP_PATHWAY",1279,518,46,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AGR_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AGR_PATHWAY",1279,518,46,36,4,0.111111111111111,0.0371379537689136,1,"PAK3","CHRM1","NRG3","CHRNA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AKAP95_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AKAP95_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AKT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AKT_PATHWAY",1279,518,46,22,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ALK_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ALK_PATHWAY",1279,518,46,37,2,0.0540540540540541,0.387686692573071,1,"NOG","BMP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_AT1R_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_AT1R_PATHWAY",1279,518,46,36,1,0.0277777777777778,0.737459316615497,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ACE2_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ACE2_PATHWAY",1279,518,46,13,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_ASBCELL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_ASBCELL_PATHWAY",1279,518,46,12,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_DNAFRAGMENT_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_DNAFRAGMENT_PATHWAY",1279,518,46,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_CHEMICAL_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_CHEMICAL_PATHWAY",1279,518,46,22,1,0.0454545454545455,0.556314174268679,1,"PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOCARTA_SPPA_PATHWAY","http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_SPPA_PATHWAY",1279,518,46,22,2,0.0909090909090909,0.185843831331305,1,"PLCB1","PRKCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
