"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169"
"REACTOME_NEURONAL_SYSTEM","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NEURONAL_SYSTEM",6025,518,169,279,50,0.17921146953405,5.54586627320244e-28,3.73791386813844e-25,"CACNG3","CACNG2","STX1B","CHRNA1","CHRNA4","SYT2","RIMS1","PLCB1","GABBR1","GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","GAD2","GNAL","GRIA2","GRIA4","GRIN1","GRIN2A","GRIN2C","HCN1","KCNA1","KCNB1","KCNC2","KCNH1","KCNJ3","KCNJ9","KCNJ11","KCNK3","NEFL","PRKCB","CACNA2D3","PRKCG","KCNQ5","SLC17A7","RASGRF1","RASGRF2","SLC1A6","SNAP25","ABCC8","SYN2","SYT1","CACNA1B","CAMK4","CAMK2A","SYN3","GABBR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",6025,518,169,186,39,0.209677419354839,2.57675581613557e-24,1.73673342007538e-21,"CACNG3","CACNG2","CHRNA1","CHRNA4","RIMS1","PLCB1","GABBR1","GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","GAD2","GNAL","GRIA2","GRIA4","GRIN1","GRIN2A","GRIN2C","KCNJ3","KCNJ9","NEFL","PRKCB","CACNA2D3","PRKCG","SLC17A7","RASGRF1","RASGRF2","SLC1A6","SNAP25","SYN2","SYT1","CACNA1B","CAMK4","CAMK2A","SYN3","GABBR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL",6025,518,169,137,29,0.211678832116788,2.91487172197787e-18,1.96462354061309e-15,"CACNG3","CACNG2","CHRNA1","CHRNA4","PLCB1","GABBR1","GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","GNAL","GRIA2","GRIA4","GRIN1","GRIN2A","GRIN2C","KCNJ3","KCNJ9","NEFL","PRKCB","PRKCG","RASGRF1","RASGRF2","CAMK4","CAMK2A","GABBR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_GABA_A_RECEPTOR_ACTIVATION","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GABA_A_RECEPTOR_ACTIVATION",6025,518,169,12,7,0.583333333333333,8.49848125085108e-09,5.72797636307363e-06,"GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_GABA_RECEPTOR_ACTIVATION","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_GABA_RECEPTOR_ACTIVATION",6025,518,169,52,12,0.230769230769231,1.25076410515323e-08,8.43015006873278e-06,"GABBR1","GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","GNAL","KCNJ3","KCNJ9","GABBR2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS",6025,518,169,37,10,0.27027027027027,4.18469200515269e-08,2.82048241147291e-05,"GRIA2","GRIA4","GRIN1","GRIN2A","GRIN2C","NEFL","RASGRF1","RASGRF2","CAMK4","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION",6025,518,169,15,7,0.466666666666667,6.42916050918597e-08,4.33325418319135e-05,"GRIA2","GRIA4","GRIN1","GRIN2A","GRIN2C","NEFL","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR",6025,518,169,17,7,0.411764705882353,1.85276375386688e-07,0.000124876277010628,"GRIN1","GRIN2A","GRIN2C","NEFL","RASGRF1","RASGRF2","CAMK2A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT",6025,518,169,21,7,0.333333333333333,1.00730457144458e-06,0.000678923281153649,"GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REACTOME_ION_CHANNEL_TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ION_CHANNEL_TRANSPORT",6025,518,169,55,10,0.181818181818182,2.27037037807137e-06,0.0015302296348201,"ATP8A1","GABRA1","GABRA3","GABRA4","GABRA5","GABRB2","GABRB3","GABRG2","ATP2B3","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
