"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136"
"GNF2_DNM1","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_DNM1",4880,518,136,73,23,0.315068493150685,4.64447131593681e-19,1.98318925190502e-16,"SYT1","SNCB","NAP1L3","NAP1L2","GABBR2","SV2B","RUNDC3A","PHYHIP","NMNAT2","BSN","VSNL1","FAIM2","SH3GL2","SNAP91","ATP6V1G2","SULT4A1","CAMK2A","SNAP25","GABRA1","SLC12A5","SLC17A7","RBFOX1","RGS7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_TM4SF2","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_TM4SF2",4880,518,136,26,12,0.461538461538462,9.34336069469005e-13,3.98961501663265e-10,"SNAP91","NAP1L2","SV2B","SNAP25","RUNDC3A","NMNAT2","PHYHIP","HPCAL4","SLC12A5","BSN","SH3GL2","FAIM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_MAPT","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_MAPT",4880,518,136,41,13,0.317073170731707,3.11457578968965e-11,1.32992386219748e-08,"SYT1","SNAP91","SNCB","SCN3B","NAP1L3","GABBR2","RTN1","SV2B","RUNDC3A","NRXN1","GRIA2","RGS7","SH3GL2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_RAB3A","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_RAB3A",4880,518,136,37,11,0.297297297297297,2.42033524153485e-09,1.03348314813538e-06,"SYT1","SNAP91","GABBR1","GABBR2","SULT4A1","SV2B","RUNDC3A","SLC12A5","RGS7","SH3GL2","FAIM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_RTN1","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_RTN1",4880,518,136,52,11,0.211538461538462,1.19615817939321e-07,5.10759542600901e-05,"SCN3B","NAP1L3","GABBR2","RTN1","INA","NMNAT2","NRXN1","MYT1L","SNAP91","RFPL1-AS1","RGS7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_CDH11","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_CDH11",4880,518,136,25,8,0.32,2.14835934293069e-07,9.17349439431406e-05,"COL3A1","SERPINE1","COL6A2","PTX3","LOXL1","COL5A1","COL1A2","COL1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCM_MAPK10","http://www.broadinstitute.org/gsea/msigdb/cards/GCM_MAPK10",4880,518,136,82,12,0.146341463414634,2.11058474157591e-06,0.000901219684652915,"GABBR1","NMNAT2","SCN2B","PCDH7","HIPK2","VSNL1","NRSN1","SNAP91","TEF","CAMK2A","DNM3","TMOD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_SUPT3H","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_SUPT3H",4880,518,136,332,25,0.0753012048192771,3.39547635607463e-06,0.00144986840404387,"STAC","PDPN","FRY","CAMK4","RYR1","SULT4A1","RGS7","CPEB3","NOS2","CALN1","CDR1","SGCD","REPS2","NTNG2","BIRC5","MEOX2","ABCC8","GABRB2","CBLN1","GABRA1","DGCR9","LDB3","PSD","CA3","CDH8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNF2_PTX3","http://www.broadinstitute.org/gsea/msigdb/cards/GNF2_PTX3",4880,518,136,36,8,0.222222222222222,4.63833867621964e-06,0.00198057061474579,"COL3A1","SERPINE1","LOX","PTX3","LOXL1","COL5A1","COL1A2","COL1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MORF_RAD51L3","http://www.broadinstitute.org/gsea/msigdb/cards/MORF_RAD51L3",4880,518,136,392,26,0.0663265306122449,2.14009084743884e-05,0.00913818791856385,"PDPN","RYR1","SULT4A1","RGS7","REPS2","NTNG2","CA3","CDH8","STAC","FRY","CAMK4","CPEB3","NOS2","CALN1","CDR1","SGCD","AFF2","BIRC5","ABCC8","GABRB2","GABRA1","DGCR9","LDB3","PSD","SLC17A7","ATP8A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
