"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276"
"MODULE_11","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_11",8405,518,276,540,60,0.111111111111111,1.21470825924345e-17,5.23539259733927e-15,"IGFBP2","CHGA","GABBR1","SNCG","L1CAM","SNAP25","CHGB","SV2B","SNAP91","RTN1","SYT1","ANK3","SPP1","NEFL","SST","VSNL1","NEFM","NRGN","HLF","NRXN1","RUNDC3A","RASL10A","CBLN1","GAD2","TBR1","ATP6V1G2","PLCB1","KIF21B","CA4","SCN2B","SLC17A7","CACNG3","PDE2A","RGS7","GABBR2","GABRB3","CKMT1B","ZBTB16","RIMS2","GRIA2","PSD","GRIN1","PHYHIP","PLCH2","CABP1","CNTNAP2","SNCB","ABCC8","SLC1A6","SLIT1","SPTBN2","SSTR2","SULT4A1","ACSL6","PRKCB","NAP1L3","GABRG2","SH3GL3","BSN","BZRAP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_100","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_100",8405,518,276,544,59,0.108455882352941,7.63876368685077e-17,3.29230714903268e-14,"IGFBP2","CHGA","COL6A2","GABBR1","IGFBP3","SNCG","L1CAM","SNAP25","CHGB","SV2B","SNAP91","RTN1","SYT1","ANK3","SPP1","NEFL","SST","VSNL1","NEFM","NRGN","NRXN1","RUNDC3A","RASL10A","CBLN1","TBR1","ATP6V1G2","PLCB1","KIF21B","SCN2B","SLC17A7","CACNG3","PDE2A","RGS7","GABBR2","GABRB3","CKMT1B","ZBTB16","RIMS2","GRIA2","PSD","GRIN1","PHYHIP","PLCH2","CABP1","CNTNAP2","SNCB","ABCC8","SLC1A6","SLIT1","SPTBN2","SSTR2","SULT4A1","ACSL6","PRKCB","NAP1L3","GABRG2","SH3GL3","RELN","CDH18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_66","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_66",8405,518,276,552,59,0.106884057971014,1.52531650703644e-16,6.57411414532706e-14,"IGFBP2","CHGA","COL6A2","GABBR1","IGFBP3","SNCG","L1CAM","SNAP25","CHGB","SV2B","SNAP91","RTN1","SYT1","ANK3","SPP1","NEFL","SST","VSNL1","NEFM","NRGN","NRXN1","RUNDC3A","RASL10A","CBLN1","TBR1","ATP6V1G2","PLCB1","KIF21B","SCN2B","SLC17A7","CACNG3","PDE2A","RGS7","GABBR2","GABRB3","CKMT1B","ZBTB16","RIMS2","GRIA2","PSD","GRIN1","PHYHIP","PLCH2","CABP1","CNTNAP2","SNCB","ABCC8","SLC1A6","SLIT1","SPTBN2","SSTR2","SULT4A1","ACSL6","PRKCB","NAP1L3","GABRG2","SH3GL3","RELN","CDH18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_137","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_137",8405,518,276,546,58,0.106227106227106,3.88081677351665e-16,1.67263202938568e-13,"IGFBP2","CHGA","COL6A2","GABBR1","IGFBP3","SNCG","L1CAM","SNAP25","CHGB","SV2B","SNAP91","RTN1","SYT1","ANK3","SPP1","NEFL","SST","VSNL1","NEFM","NRGN","NRXN1","RUNDC3A","RASL10A","CBLN1","TBR1","ATP6V1G2","PLCB1","KIF21B","SCN2B","SLC17A7","CACNG3","PDE2A","RGS7","GABBR2","GABRB3","CKMT1B","ZBTB16","RIMS2","GRIA2","PSD","GRIN1","PHYHIP","PLCH2","CABP1","CNTNAP2","SNCB","ABCC8","SLC1A6","SLIT1","SPTBN2","SSTR2","SULT4A1","ACSL6","PRKCB","NAP1L3","GABRG2","SH3GL3","RELN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_274","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_274",8405,518,276,82,22,0.268292682926829,8.65507619395117e-15,3.73033783959295e-12,"SNAP25","SYT1","ANK3","SST","CBLN1","GAD2","HTR2A","SCN2B","GABRB3","GRIA2","GRIN1","SLC1A6","GABRG2","ACCN1","SLC6A7","GRIN2A","KCNK3","CPNE6","GABRA1","CHRM1","GABRA5","SYN2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_12","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_12",8405,518,276,360,39,0.108333333333333,2.7850411714889e-11,1.20035274491171e-08,"COL1A1","COL6A3","PCOLCE","COL3A1","IGFBP2","VEGFA","COL6A2","RARRES2","SLPI","NAMPT","COL1A2","TGFBI","GABBR1","EMP3","SERPINE1","IGFBP3","SNCG","L1CAM","SNAP25","RTN1","ADM","ANK3","SPP1","S100A8","NEFL","SST","VSNL1","NEFM","INA","LOX","PTX3","POSTN","IL8","TJP2","ZBTB16","GRIA2","GRIN1","SH3GL3","DAAM2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_2","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_2",8405,518,276,384,36,0.09375,9.30792994447388e-09,4.01171780606824e-06,"COL6A3","PCOLCE","COL3A1","VEGFA","LUM","COL6A2","PLA2G2A","RARRES2","SLPI","COL1A2","TGFBI","GABBR1","EMP3","IGFBP3","SNCG","L1CAM","SNAP25","CHGB","NNMT","GDF15","S100A4","SV2B","SNAP91","RTN1","PDLIM4","SYT1","ADM","ANK3","SPP1","S100A8","NEFL","SST","VSNL1","NEFM","INA","STAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_55","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_55",8405,518,276,834,53,0.0635491606714628,1.50624266683806e-06,0.000649190589407203,"COL1A1","COL6A3","PCOLCE","COL3A1","IGFBP2","VEGFA","CHGA","COL6A2","PLA2G2A","RARRES2","SLPI","COL1A2","TGFBI","EMP3","SERPINE1","IGFBP3","SNCG","L1CAM","SNAP25","NNMT","GDF15","S100A4","ADM","ANK3","SPP1","S100A8","SST","PTTG1","NRGN","S100A9","HP","CHI3L2","LTF","HOXB2","TBR1","LIF","KIF21B","CA4","SLC17A7","PDE2A","RIMS2","PSD","PHYHIP","PLCH2","SLC1A6","SSTR2","ACSL6","BSN","SEZ6L","ABCC3","MPPED1","CRLF1","GPR17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_88","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_88",8405,518,276,838,53,0.0632458233890215,1.7437147598492e-06,0.000751541061495006,"COL1A1","COL6A3","PCOLCE","COL3A1","IGFBP2","VEGFA","CHGA","COL6A2","PLA2G2A","RARRES2","SLPI","COL1A2","TGFBI","EMP3","SERPINE1","IGFBP3","SNCG","L1CAM","SNAP25","NNMT","GDF15","S100A4","ADM","ANK3","SPP1","S100A8","SST","PTTG1","NRGN","S100A9","HP","CHI3L2","LTF","HOXB2","TBR1","LIF","KIF21B","CA4","SLC17A7","PDE2A","RIMS2","PSD","PHYHIP","PLCH2","SLC1A6","SSTR2","ACSL6","BSN","SEZ6L","ABCC3","MPPED1","CRLF1","GPR17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODULE_316","http://www.broadinstitute.org/gsea/msigdb/cards/MODULE_316",8405,518,276,70,12,0.171428571428571,2.40441776523145e-06,0.00103630405681476,"GABRB3","GRIN1","GABRG2","GABRA1","CHRNA4","RYR1","KCNA1","GABRD","KCNJ11","GABRA5","RYR2","KCNJ3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
