"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
"POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS",33727,74,38,709,9,0.0126939351198872,4.39801546153962e-09,3.62836275577019e-06,"ATP6AP2","ADAMTSL4","HMOX1","CIDEC","PPARG","SQSTM1","BBC3","DAPK3","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_DEVELOPMENTAL_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_DEVELOPMENTAL_PROCESS",33727,74,38,440,7,0.0159090909090909,2.73362693480021e-08,2.25524222121018e-05,"ADAMTSL4","TAX1BP1","CIDEC","PPARG","MCL1","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_CELLULAR_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_CELLULAR_PROCESS",33727,74,38,668,8,0.0119760479041916,4.33867309979555e-08,3.57940530733133e-05,"ADAMTSL4","HMOX1","CIDEC","PPARG","SQSTM1","BBC3","DAPK3","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_APOPTOSIS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_APOPTOSIS",33727,74,38,341,6,0.0175953079178886,9.79191610345719e-08,8.07833078535218e-05,"TAX1BP1","CIDEC","MCL1","ADAMTSL4","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_PROGRAMMED_CELL_DEATH","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_PROGRAMMED_CELL_DEATH",33727,74,38,342,6,0.0175438596491228,9.98844645877677e-08,8.24046832849084e-05,"TAX1BP1","CIDEC","MCL1","ADAMTSL4","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS",33727,74,38,218,5,0.0229357798165138,1.58108620889106e-07,0.000130439612233512,"CIDEC","PPARG","ADAMTSL4","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_METABOLIC_PROCESS",33727,74,38,799,8,0.0100125156445557,1.97924289831902e-07,0.000163287539111319,"ID1","GTPBP4","PPARG","CD81","TCF7","ATP6AP2","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APOPTOSIS_GO","http://www.broadinstitute.org/gsea/msigdb/cards/APOPTOSIS_GO",33727,74,38,431,6,0.0139211136890951,4.75298073833246e-07,0.000392120910912428,"ADAMTSL4","TAX1BP1","CIDEC","MCL1","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROGRAMMED_CELL_DEATH","http://www.broadinstitute.org/gsea/msigdb/cards/PROGRAMMED_CELL_DEATH",33727,74,38,432,6,0.0138888888888889,4.8273571916411e-07,0.000398256968310391,"ADAMTSL4","TAX1BP1","CIDEC","MCL1","BBC3","DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTRACELLULAR_SIGNALING_CASCADE","http://www.broadinstitute.org/gsea/msigdb/cards/INTRACELLULAR_SIGNALING_CASCADE",33727,74,38,667,7,0.0104947526236882,6.50017328031187e-07,0.000536264295625729,"ATP6AP2","HMOX1","SQSTM1","MCL1","BBC3","DAPK3","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PROTEIN_KINASE_CASCADE","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEIN_KINASE_CASCADE",33727,74,38,293,5,0.0170648464163823,8.92533180840568e-07,0.000736339874193469,"SQSTM1","ATP6AP2","HMOX1","DAPK3","CD81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REPRODUCTIVE_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REPRODUCTIVE_PROCESS",33727,74,38,162,4,0.0246913580246914,1.06114484084814e-06,0.000875444493699712,"HMGCR","FCGRT","CD81","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEGATIVE_REGULATION_OF_BINDING","http://www.broadinstitute.org/gsea/msigdb/cards/NEGATIVE_REGULATION_OF_BINDING",33727,74,38,18,2,0.111111111111111,1.06417200119425e-06,0.000877941900985257,"GTPBP4","ID1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIGNAL_TRANSDUCTION","http://www.broadinstitute.org/gsea/msigdb/cards/SIGNAL_TRANSDUCTION",33727,74,38,1634,10,0.00611995104039168,1.19530108550607e-06,0.000986123395542505,"AGT","CD81","SQSTM1","DAPK3","PPARG","ATP6AP2","HMOX1","MCL1","BBC3","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_BLOOD_PRESSURE","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_BLOOD_PRESSURE",33727,74,38,22,2,0.0909090909090909,2.00212097826533e-06,0.0016517498070689,"ATP6AP2","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGULATION_OF_CELLULAR_METABOLIC_PROCESS","http://www.broadinstitute.org/gsea/msigdb/cards/REGULATION_OF_CELLULAR_METABOLIC_PROCESS",33727,74,38,787,7,0.00889453621346887,2.23254803548398e-06,0.00184185212927428,"ID1","GTPBP4","PPARG","CD81","TCF7","SQSTM1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRANSPORT","http://www.broadinstitute.org/gsea/msigdb/cards/TRANSPORT",33727,74,38,795,7,0.00880503144654088,2.40609474425789e-06,0.00198502816401276,"SLC3A2","SLC1A3","CLCA2","CLCA1","AQP1","SQSTM1","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
