"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2"
"NUCLEOPLASM","http://www.broadinstitute.org/gsea/msigdb/cards/NUCLEOPLASM",13105,2,2,279,0,0,1,1,"",""
"EXTRINSIC_TO_PLASMA_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/EXTRINSIC_TO_PLASMA_MEMBRANE",13105,2,2,13,0,0,1,1,"",""
"ORGANELLE_PART","http://www.broadinstitute.org/gsea/msigdb/cards/ORGANELLE_PART",13105,2,2,1197,0,0,1,1,"",""
"CELL_PROJECTION_PART","http://www.broadinstitute.org/gsea/msigdb/cards/CELL_PROJECTION_PART",13105,2,2,19,0,0,1,1,"",""
"CYTOPLASMIC_VESICLE_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/CYTOPLASMIC_VESICLE_MEMBRANE",13105,2,2,28,0,0,1,1,"",""
"GOLGI_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/GOLGI_MEMBRANE",13105,2,2,45,0,0,1,1,"",""
"MITOCHONDRIAL_OUTER_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/MITOCHONDRIAL_OUTER_MEMBRANE",13105,2,2,18,0,0,1,1,"",""
"ORGANELLAR_RIBOSOME","http://www.broadinstitute.org/gsea/msigdb/cards/ORGANELLAR_RIBOSOME",13105,2,2,22,0,0,1,1,"",""
"ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT","http://www.broadinstitute.org/gsea/msigdb/cards/ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT",13105,2,2,11,0,0,1,1,"",""
"INTRINSIC_TO_ENDOPLASMIC_RETICULUM_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/INTRINSIC_TO_ENDOPLASMIC_RETICULUM_MEMBRANE",13105,2,2,24,0,0,1,1,"",""
"BRUSH_BORDER","http://www.broadinstitute.org/gsea/msigdb/cards/BRUSH_BORDER",13105,2,2,10,0,0,1,1,"",""
"MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT","http://www.broadinstitute.org/gsea/msigdb/cards/MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT",13105,2,2,11,0,0,1,1,"",""
"PROTEINACEOUS_EXTRACELLULAR_MATRIX","http://www.broadinstitute.org/gsea/msigdb/cards/PROTEINACEOUS_EXTRACELLULAR_MATRIX",13105,2,2,98,0,0,1,1,"",""
"INTRINSIC_TO_PLASMA_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/INTRINSIC_TO_PLASMA_MEMBRANE",13105,2,2,991,0,0,1,1,"",""
"ORGANELLE_INNER_MEMBRANE","http://www.broadinstitute.org/gsea/msigdb/cards/ORGANELLE_INNER_MEMBRANE",13105,2,2,75,0,0,1,1,"",""
"OLIGOSACCHARYL_TRANSFERASE_COMPLEX","http://www.broadinstitute.org/gsea/msigdb/cards/OLIGOSACCHARYL_TRANSFERASE_COMPLEX",13105,2,2,10,0,0,1,1,"",""
