"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344"
"CAHOY_NEURONAL","http://www.broadinstitute.org/gsea/msigdb/cards/CAHOY_NEURONAL",11250,518,344,100,29,0.29,6.44139131245699e-21,1.21742295805437e-18,"TBR1","GDA","GABRA5","RASL10A","HCN1","SST","CELF4","KIAA1045","SLC6A7","SYT13","GABRD","GABRG2","MYT1L","SV2B","NEFL","SLC6A17","SYT1","CKMT1A","SYT4","RTN4RL1","CNTNAP4","GAD2","CALN1","NEFM","MAL2","NRGN","FAM123C","CACNG3","JPH4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRAS.KIDNEY_UP.V1_UP","http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.KIDNEY_UP.V1_UP",11250,518,344,145,32,0.220689655172414,4.97336916646659e-19,9.39966772462185e-17,"CDR1","RTN1","SNAP91","SCG3","AK5","NEFL","ANK3","SV2B","PLCB1","GABRA1","CHGB","HPCAL4","GRM5","CHGA","HMP19","GRIA2","SYT1","SNAP25","DNM3","SLC12A5","PLCL1","ARPP21","NAP1L2","RAPGEF4","RELN","NRXN1","NMNAT2","GABRA5","TMEM100","DLGAP2","VIPR2","CPEB3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRAS.300_UP.V1_UP","http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.300_UP.V1_UP",11250,518,344,146,22,0.150684931506849,5.3830384862154e-10,1.01739427389471e-07,"IL13RA2","SNAP91","STC1","CDR1","SNAP25","RELN","SCG3","CHGB","SYT1","PDE2A","USH1C","GRIN2A","CHGA","ANK3","RTN1","MCF2","NAP1L2","DNM3","GABRA1","GABRA3","SPP1","PTX3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRAS.600_UP.V1_UP","http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.600_UP.V1_UP",11250,518,344,287,31,0.10801393728223,8.74717858484852e-10,1.65321675253637e-07,"IL13RA2","SNAP91","STC1","CDR1","SNAP25","RELN","SCG3","CHGB","SYT1","PDE2A","USH1C","GRIN2A","CHGA","ANK3","RTN1","MCF2","NAP1L2","DNM3","GABRA1","GABRA3","SPP1","PTX3","MMP9","DLGAP2","KCNK3","ESM1","LDB3","GRM1","SLIT1","MOBP","NMNAT2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IL21_UP.V1_UP","http://www.broadinstitute.org/gsea/msigdb/cards/IL21_UP.V1_UP",11250,518,344,193,20,0.103626943005181,1.81199515122492e-06,0.00034246708358151,"AATK","GRIA4","FA2H","PTX3","ABCC8","PAIP2B","NOS2","SPP1","HOXB2","KIF21B","CHI3L1","IBSP","SST","VSNL1","GNAL","GRIN2A","SLCO1A2","GABRB3","ST8SIA3","LIF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAHOY_ASTROGLIAL","http://www.broadinstitute.org/gsea/msigdb/cards/CAHOY_ASTROGLIAL",11250,518,344,100,12,0.12,5.16070063362663e-05,0.00975372419755433,"FMOD","ATP8A1","LOX","SERPINE1","TIMP1","PHACTR3","LGALS3","IGFBP3","EMP3","TNFRSF12A","COL5A1","ATOH8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRAS.50_UP.V1_UP","http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.50_UP.V1_UP",11250,518,344,48,8,0.166666666666667,9.12680282310545e-05,0.0172496573356693,"IL13RA2","SNAP91","STC1","CDR1","SNAP25","RELN","SCG3","CHGB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRC2_EZH2_UP.V1_DN","http://www.broadinstitute.org/gsea/msigdb/cards/PRC2_EZH2_UP.V1_DN",11250,518,344,194,17,0.0876288659793814,9.37264780426987e-05,0.0177143043500701,"AATK","ESM1","PLCB1","PCBP3","IL8","SLPI","L1CAM","SRPX2","IL13RA2","BMP2","TNFAIP6","KIAA1644","TUB","ACCN1","VSNL1","TMEM100","KCNA1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRAS.LUNG.BREAST_UP.V1_UP","http://www.broadinstitute.org/gsea/msigdb/cards/KRAS.LUNG.BREAST_UP.V1_UP",11250,518,344,145,14,0.096551724137931,0.000139786746190203,0.0264196950299483,"IL13RA2","ESM1","PDE2A","RELN","STC1","LIF","SNAP25","IL8","MMP9","KCNC2","LDB3","GABRA3","SNAP91","IGFBP3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATF2_UP.V1_DN","http://www.broadinstitute.org/gsea/msigdb/cards/ATF2_UP.V1_DN",11250,518,344,187,16,0.0855614973262032,0.000197852735618221,0.0373941670318437,"CHI3L1","HOXB2","CRLF1","IGFBP2","PTX3","PDPN","PLA2G2A","ABCC3","TREM1","SHOX2","MN1","WISP1","SCD","CA9","FRY","FMOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
