"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4386,518,127,200,29,0.145,1.32137864011812e-13,6.6068932005906e-12,"COL3A1","COL5A1","COL1A1","COL6A3","SERPINE1","COL1A2","IGFBP3","TGFBI","LUM","LOX","COL6A2","NNMT","POSTN","SPP1","LOXL1","TIMP1","EMP3","VEGFA","PCOLCE","IGFBP2","IL8","SGCD","TNFRSF12A","FMOD","PTX3","PDLIM4","CTHRC1","CRLF1","ADAM12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_ANGIOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ANGIOGENESIS",4386,518,127,36,8,0.222222222222222,6.06598586728947e-06,0.000303299293364473,"POSTN","STC1","VEGFA","COL3A1","SPP1","S100A4","TIMP1","LUM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_KRAS_SIGNALING_UP","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_KRAS_SIGNALING_UP",4386,518,127,200,16,0.08,0.000176148838597194,0.0088074419298597,"GABRA3","SLPI","MMP9","IGFBP3","SPP1","BMP2","SNAP25","TMEM100","NAP1L2","SCG3","CXCL10","LIF","RELN","USH1C","F13A1","SNAP91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_PANCREAS_BETA_CELLS","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_PANCREAS_BETA_CELLS",4386,518,127,40,6,0.15,0.000895632794940027,0.0447816397470014,"ABCC8","SYT13","CHGA","PCSK2","SST","PAK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_INFLAMMATORY_RESPONSE","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INFLAMMATORY_RESPONSE",4386,518,127,200,14,0.07,0.00172026840986206,0.0860134204931028,"CXCL10","IL8","LIF","NAMPT","ADM","TNFAIP6","GABBR1","SELL","TIMP1","SERPINE1","PDPN","PCDH7","EMP3","CLEC5A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HEDGEHOG_SIGNALING","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HEDGEHOG_SIGNALING",4386,518,127,36,5,0.138888888888889,0.00344973090319985,0.172486545159993,"SLIT1","L1CAM","RTN1","VEGFA","OPHN1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_MYOGENESIS","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_MYOGENESIS",4386,518,127,200,13,0.065,0.00479351884832659,0.23967594241633,"MYH7","RYR1","ADAM12","IGFBP3","LDB3","CHRNA1","COL3A1","KCNH1","SGCD","COL6A3","COL1A1","SCD","COL6A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_CHOLESTEROL_HOMEOSTASIS",4386,518,127,74,6,0.0810810810810811,0.0194453278819158,0.972266394095788,"SCD","LGALS3","TNFRSF12A","GPX8","MAL2","FABP5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_TNFA_SIGNALING_VIA_NFKB",4386,518,127,200,8,0.04,0.221507751613317,1,"LIF","PTX3","CXCL10","SERPINE1","TNFAIP6","NAMPT","VEGFA","BMP2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HALLMARK_HYPOXIA","http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA",4386,518,127,200,10,0.05,0.0628531762393521,1,"ADM","VEGFA","SERPINE1","LOX","IGFBP3","STC1","S100A4","ANXA2","TGFBI","COL5A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
