Gene,logFC,logCPM,LR,PValue,FDR
IFNB1,7.720447151,-0.345083145,147.2803874,6.81E-34,1.79E-30
IFNL2,7.229739008,-0.629967701,160.025542,1.12E-36,5.88E-33
IFNL1,6.809977902,-0.575413352,173.7771742,1.11E-39,8.74E-36
IL6,6.643568904,0.731244136,53.7500096,2.28E-13,8.36E-11
CXCL11,6.282775086,3.842968398,68.89510187,1.04E-16,6.91E-14
RGS1,6.177076644,3.038863875,77.20728904,1.54E-18,1.87E-15
OOSP1,6.164776617,-1.531711311,120.7097886,4.42E-28,9.98E-25
GUCY2C,5.931827353,0.807202666,307.7413126,6.78E-69,1.07E-64
ZBP1,5.891719809,0.957859283,74.57869747,5.83E-18,5.41E-15
CABP5,5.890703154,-0.119317524,56.1317472,6.78E-14,2.74E-11
CXCL10,5.617017692,5.264121942,96.85529032,7.46E-23,1.31E-19
OASL,4.991691148,4.034732262,154.7600521,1.58E-35,6.24E-32
IFI44L,4.898312641,6.585153289,111.9401226,3.68E-26,7.27E-23
NPFFR2,4.808059955,0.370602676,41.65220605,1.09E-10,2.07E-08
PLA2G4C,4.749917841,1.991258359,54.93807768,1.24E-13,4.68E-11
CXCL9,4.661874197,-1.312676723,46.75464713,8.05E-12,1.99E-09
HS3ST2,4.398856833,-0.958295474,22.24264162,2.40E-06,7.50E-05
LOC105374118,4.325280739,-0.050467211,73.03102153,1.28E-17,1.12E-14
ANKRD1,4.246649825,3.331546453,34.72481384,3.80E-09,4.72E-07
PYGM,4.095820198,0.159058844,20.31814606,6.56E-06,0.000161324
IL10RA,4.07304739,-0.600978943,51.2236871,8.24E-13,2.71E-10
IFI6,3.971407046,7.369273512,71.44660547,2.85E-17,2.25E-14
IFIT1,3.955413609,7.436777936,72.07787442,2.07E-17,1.72E-14
ISG15,3.892157916,6.291812971,70.13852143,5.53E-17,4.16E-14
MX2,3.796857998,6.185407123,76.44862503,2.26E-18,2.38E-15
LOC107986959,3.754493334,0.408974412,26.48192196,2.66E-07,1.38E-05
IFIT2,3.695314885,7.278645775,84.31761757,4.21E-20,6.65E-17
FOSB,3.691477355,2.839862988,51.70976522,6.43E-13,2.16E-10
THSD7A,3.687225749,2.151559613,32.64760564,1.10E-08,1.03E-06
