Gene,logFC,logCPM,LR,PValue,FDR,gid
IFNB1,9.063307154,0.140143881,183.3601779,8.95E-42,1.35E-37,IFNB1
IFNL2,8.775131846,-0.132823372,164.582984,1.13E-37,5.68E-34,IFNL2
IFNL1,8.518978781,-0.403232,141.6537418,1.16E-32,4.37E-29,IFNL1
ZBP1,6.702588787,0.712274102,173.8853335,1.05E-39,7.92E-36,ZBP1
RGS1,6.353588646,2.474326893,78.84674958,6.71E-19,2.03E-15,RGS1
CXCL11,4.858755802,2.188857954,20.37935951,6.35E-06,0.000265744,CXCL11
CXCL10,4.748203904,4.221556253,27.29695267,1.74E-07,3.63E-05,CXCL10
OASL,4.643418688,3.744106494,62.5577103,2.59E-15,5.58E-12,OASL
IL6,4.597435222,-0.423902352,9.438573917,0.002124686,0.0119258,IL6
LOC105374118,4.43174954,-0.699969133,63.92303516,1.29E-15,3.26E-12,LOC105374118
PLA2G4C,4.345644762,0.643724878,24.22808148,8.56E-07,8.94E-05,PLA2G4C
IFI44L,3.721686948,5.962216625,34.36692079,4.56E-09,3.83E-06,IFI44L
MX2,3.534808684,5.74965515,23.41836332,1.30E-06,0.000116826,MX2
IFIT2,3.13752182,6.718310596,23.72510345,1.11E-06,0.000104908,IFIT2
ISG15,3.092630802,6.015090567,24.60006461,7.05E-07,7.89E-05,ISG15
NPFFR2,3.089619544,-0.259708821,16.73363843,4.30E-05,0.000822435,NPFFR2
FAP,3.087371855,1.170552212,5.922859121,0.014945686,0.048790705,FAP
IFIT1,2.939411834,6.864542737,26.13105869,3.19E-07,5.16E-05,IFIT1
EGR2,2.76802222,1.924073365,13.18278026,0.000282533,0.002893332,EGR2
IFIT3,2.753231771,6.363754877,22.62881732,1.97E-06,0.000152967,IFIT3
LOC107986959,2.748510304,-0.579847435,11.66430764,0.000637106,0.005060474,LOC107986959
HERC5,2.731852119,3.388884901,22.81488299,1.78E-06,0.000144861,HERC5
IFI6,2.661091047,6.754114765,24.88862964,6.07E-07,7.34E-05,IFI6
ANKRD1,2.554250175,1.044585223,7.141426525,0.007532322,0.030179236,ANKRD1
EDN1,2.540433324,2.440855379,17.62827329,2.69E-05,0.000610028,EDN1
RSAD2,2.490042969,5.261921632,22.25330447,2.39E-06,0.000169451,RSAD2
FOSB,2.431027278,2.042385306,14.23799551,0.000161085,0.001963833,FOSB
ITGAM,2.398747479,-0.339599507,10.8671897,0.000978829,0.006851353,ITGAM
NID1,2.340285022,3.802651422,7.918749584,0.004892507,0.021903179,NID1
OAS3,2.33827217,6.835636232,21.72877994,3.14E-06,0.000189746,OAS3
CMPK2,2.333386576,4.71910231,20.42659909,6.20E-06,0.000260709,CMPK2
LOC108783645,2.233688575,-0.48857135,20.70614451,5.35E-06,0.000237833,LOC108783645
EPSTI1,2.220162338,4.111430837,18.18851603,2.00E-05,0.000522406,EPSTI1
MX1,2.214597699,7.614055569,23.59498174,1.19E-06,0.000111549,MX1
LOC284240,2.19967757,0.086281509,40.87993068,1.62E-10,2.72E-07,LOC284240
NR1D1,2.195457382,4.213912565,15.63805018,7.67E-05,0.001209278,NR1D1
CREB5,2.189864421,1.697519865,9.321916645,0.00226429,0.012468867,CREB5
IFITM1,2.113205383,6.359206168,13.44342764,0.000245866,0.002645161,IFITM1
ANKRD33B,2.110229137,1.234535328,25.4122344,4.63E-07,6.13E-05,ANKRD33B
