Gene,logFC,logCPM,LR,PValue,FDR
IL6,8.399574242,0.714273534,268.321896,2.63E-60,4.95E-57
RGS1,8.092266652,3.688797236,1133.333983,1.88E-248,2.82E-244
OOSP1,7.837744778,-0.815074855,146.5437086,9.87E-34,7.06E-31
CXCL11,7.660082098,2.828727294,313.6536255,3.49E-70,8.75E-67
IFNL1,7.42687388,-0.041152409,247.2781413,1.02E-55,1.39E-52
IFNL2,7.277919591,-0.173479467,212.5741522,3.77E-48,3.77E-45
PYGM,7.172371608,0.893088862,252.6967187,6.71E-57,1.01E-53
CABP5,6.87099025,-0.045115647,192.7840114,7.85E-44,7.37E-41
GUCY2C,6.822756502,1.532806252,496.2873095,6.11E-110,3.06E-106
CXCL10,6.667735229,4.424730264,900.483582,7.70E-198,5.79E-194
NPFFR2,6.187290187,1.163497136,117.9568053,1.77E-27,7.83E-25
PLA2G4C,6.176584227,2.242992854,264.6242471,1.68E-59,2.81E-56
ZBP1,6.132784054,0.483440833,138.355581,6.09E-32,3.66E-29
LOC105374118,5.858991616,0.443785041,239.2001074,5.88E-54,7.36E-51
ANKRD1,5.591817158,2.294766312,146.0542246,1.26E-33,8.63E-31
IL10RA,5.590562598,0.16350786,133.0886118,8.65E-31,4.81E-28
THSD7A,5.341099099,2.086069575,155.50065,1.09E-35,8.60E-33
DNAH17,5.283970073,0.512261797,182.0269679,1.75E-41,1.55E-38
OASL,5.194845906,3.974333814,100.8651914,9.85E-24,3.02E-21
IFI44L,5.112754243,6.675638953,112.131845,3.34E-26,1.43E-23
GCM1,5.043523233,-0.40034533,159.3000234,1.61E-36,1.34E-33
BACH2,5.010140207,3.404325961,398.5363583,1.15E-88,4.31E-85
FOSB,4.96112329,3.327403051,375.9112469,9.66E-84,2.90E-80
LOC107986959,4.89887311,0.689499933,49.78233165,1.72E-12,1.34E-10
EGR2,4.616507658,3.401703134,75.94029302,2.92E-18,6.10E-16
CREB5,4.346009925,2.953281134,109.5481211,1.23E-25,5.00E-23
NR4A3,4.27283127,2.699994128,105.7482705,8.37E-25,2.99E-22
MX2,4.220734132,6.161492143,98.83041112,2.75E-23,8.10E-21
ISG15,4.144136438,5.611003412,104.7586549,1.38E-24,4.82E-22
IFIT2,4.11397077,7.039634055,119.9449183,6.50E-28,2.96E-25
IFIT1,4.111765159,7.169469187,148.8695936,3.06E-34,2.30E-31
RELN,4.015810033,-0.779629752,67.78726939,1.82E-16,2.91E-14
IFI6,3.922192711,7.028680586,109.7302292,1.12E-25,4.68E-23
FOS,3.907771229,6.619940898,64.0294527,1.23E-15,1.77E-13
DUOXA2,3.848389085,1.318711383,77.60463134,1.26E-18,2.74E-16
ITGAM,3.746637677,0.654153379,76.44787493,2.26E-18,4.78E-16
IFIT3,3.682885435,6.757346977,120.6487435,4.56E-28,2.21E-25
RSAD2,3.654295291,5.396568256,135.3638131,2.75E-31,1.59E-28
NR1D1,3.623561711,5.212384274,73.05604243,1.26E-17,2.40E-15
HERC5,3.605743487,3.499907584,234.2153197,7.18E-53,8.30E-50
IKZF3,3.540349986,-0.152477167,72.6239155,1.57E-17,2.91E-15
HDAC9,3.4656807,6.01936555,84.23714076,4.39E-20,1.06E-17
LOC108783645,3.462407461,0.242710965,42.64148091,6.58E-11,3.38E-09
TNFSF13B,3.369155109,1.086831591,94.58693533,2.35E-22,6.65E-20
TNFAIP3,3.268637077,7.233894126,221.4479427,4.37E-50,4.69E-47
PTGS2,3.267952694,4.209982985,45.64465237,1.42E-11,8.66E-10
CMPK2,3.254757105,4.761938998,129.0800597,6.51E-30,3.37E-27
WDFY4,3.243670031,1.295792625,70.43660866,4.75E-17,8.11E-15
NR4A1,3.233367445,2.79556444,107.664068,3.18E-25,1.20E-22
CXCL2,3.205085767,2.577255859,68.35171252,1.37E-16,2.23E-14
CCN1,3.181092584,5.843537827,102.6615509,3.98E-24,1.30E-21
EGR1,3.101228492,7.542728822,58.27723232,2.28E-14,2.65E-12
SPDYA,3.090759093,1.251666294,70.76268617,4.03E-17,7.12E-15
