"","Mock_CH_N_376AC_B2_t1","Mock_CH_N_AC_B1_t1","Mock_CH_N_IB_B2_t1","Mock_CH_N_NT_B1_t1","Mock_CH_N_TJ_B1_t1","Virus_CH_N_376AC_B2_t1","Virus_CH_N_AC_B1_t1","Virus_CH_N_AC_B1_t2","Virus_CH_N_AM_B2_t2","Virus_CH_N_IB_B2_t1","Virus_CH_N_NT_B1_t1","Virus_CH_N_NT_B1_t2","Virus_CH_N_TJ_B1_t1"
"IL6",-3.90625722891672,-3.41111869717362,-3.90625722891672,-3.90625722891672,-3.90625722891671,0.00282363946798799,0.844608864816401,1.82367369865748,-0.568950985600575,3.04438273287362,1.41511408025562,1.60598735721471,1.45200743567553
"RGS1",-2.63038687094875,-2.7502695529187,-3.90625722891672,-2.20993482907005,-2.96304778383192,5.17734653817138,4.02566056195596,3.87320226210649,1.94074441419503,3.24065194138881,5.43544338333598,5.7209018379755,2.15999212847603
"OOSP1",-3.90625722891672,-3.90625722891672,-3.90625722891672,-3.90625722891672,-3.90625722891671,-0.279609892570815,-0.944663503360321,-1.02565221875387,-2.14215658501006,-0.910248541577652,1.14271722365426,1.62396570529869,-1.40095251147
"CXCL11",-2.9445358405479,-2.7502695529187,-3.90625722891672,-3.90625722891672,-2.3975233540887,2.07333207052462,5.07120997489038,4.25778434948996,-1.63286216452558,0.794411897264582,4.39634987975289,3.55422611224447,3.11496058354625
"IFNL1",-3.90625722891672,-3.41111869717362,-3.90625722891672,-3.90625722891672,-3.90625722891671,0.920435044156752,0.511225400712533,0.380266744116959,-1.25720096687255,-0.386860371590478,1.85707802526309,2.0401315428778,-0.533947940093002
"IFNL2",-3.90625722891672,-3.41111869717362,-3.90625722891672,-3.90625722891672,-3.90625722891671,0.660774908877474,0.741809499580264,0.0976664259696441,-0.790359997453513,0.252665743551561,1.72980780745105,1.6592639276978,-1.27458573346985
"PYGM",-3.90625722891672,-3.41111869717362,-3.90625722891672,-3.90625722891672,-2.96304778383192,1.38143146219572,0.909285443479514,1.6031891552071,-1.05201875520785,1.23566591764565,2.82828505736966,3.16358846264427,-1.15840159759201
"CABP5",-3.90625722891672,-3.90625722891672,-3.90625722891672,-3.44844618172023,-3.35890563194783,1.6300173311222,-0.944663503360321,-0.189202817725272,-1.05201875520785,0.857532376092111,1.49557033001852,2.07975135528844,-1.27458573346985
"GUCY2C",-2.9445358405479,-3.90625722891672,-2.99669333325656,-3.1014497370926,-2.96304778383192,2.98278226403195,0.592251313307183,0.940374077253019,-1.25720096687255,2.60361566401399,3.44969189262596,3.44216207127738,0.955011105908368
"CXCL10",-1.51000299951045,-0.583170545225328,-2.69355320315166,-1.10400167339369,-1.30327654904637,4.02878665586781,6.37541235399924,5.96680505411881,-0.207693162479054,3.38688996099365,5.79865231836593,5.2726822794595,4.97445268603537
"NPFFR2",-3.90625722891672,-2.11684658142969,-3.90625722891672,-3.90625722891672,-2.96304778383192,1.73024817526727,0.705848200766146,1.62139873389035,-2.36162469058239,2.44825345152189,3.13499621650771,2.98730961714642,0.819889361700907
"PLA2G4C",-2.9445358405479,-2.29873495050803,-2.99669333325656,-2.58789679716277,-2.3975233540887,3.1870666986776,1.41159911893291,2.27854425741016,-0.438219801762686,2.73548466790143,4.12319182278725,4.52881235914921,1.27733113625348
"ZBP1",-3.34670062378246,-2.7502695529187,-3.90625722891672,-3.44844618172023,-3.90625722891671,-0.631134714992306,2.48111562285323,1.34282154676967,-2.62057498710614,-0.461940599929361,2.59255496609563,1.77642023996678,0.233850268631938
"LOC105374118",-2.9445358405479,-3.04318134196078,-3.38095125456505,-3.1014497370926,-3.90625722891671,2.25928699669191,0.0194515819151432,0.787494932612441,-0.261964227080138,0.826317313326847,1.88721554373418,2.26300726775577,0.190683634859048
"ANKRD1",-2.9445358405479,-2.11684658142969,-2.69355320315166,-2.38657358491749,-0.312471816153884,3.34083413955949,2.77810712240296,3.36900440557855,-0.639045220254968,2.25079602385665,3.89749512322185,3.71801917079266,2.98833986866929
"IL10RA",-2.9445358405479,-3.90625722891672,-3.38095125456505,-3.90625722891672,-2.96304778383192,0.660774908877474,0.468939484363673,-0.25411725613913,-1.25720096687255,-3.24497142322209,2.46847361082436,2.59921192297469,-1.86415166675601
