ID	nsp7	nsp8	nsp12	nsp13	virus
Mock_CH_B_376AC_B2_t1	5.609173357	4.880044885	5.207048041	5.363935831	12.08014364
Mock_CH_B_AM_B2_t1	5.63089389	4.855267534	5.396160392	5.490423256	14.82110152
Mock_CH_B_IB_B2_t1	5.557745863	4.767745393	5.354644373	5.49367886	12.40171519
Mock_CH_B_NT_B2_t1	5.653840123	4.807518976	5.408157539	5.383795944	9.661692057
Mock_CH_B_TJ_B2_t1	5.776825011	4.630391744	5.308785224	5.346533437	6.499485758
Mock_CH_N_376AC_B2_t1	5.574168697	4.719831436	5.340793355	5.428120547	14.8295517
Mock_CH_N_AC_B1_t1	5.783353239	4.847622097	5.521001886	5.638361543	14.41395755
Mock_CH_N_IB_B2_t1	5.598532568	4.713276282	5.426496185	5.447246186	14.62780463
Mock_CH_N_NT_B1_t1	5.699004854	4.917984625	5.466298363	5.565845231	14.32122753
Mock_CH_N_TJ_B1_t1	5.780125053	4.944672812	5.495775959	5.668301166	13.2149869
Mock_OA_N_JW_B1_t1	5.914342645	4.534518673	5.529098386	5.676289649	10.31142111
Mock_OA_N_JW_B2_t1	5.841838034	4.615959611	5.335717711	5.492541921	11.24017697
Mock_OA_N_NiT_B1_t1	5.763372826	4.76040952	5.584370401	5.673704144	11.30910943
Mock_OA_N_NiT_B2_t1	5.660775947	4.836639402	5.330471854	5.41322874	9.784392932
Mock_OA_N_WB_B2_t1	5.652612043	4.740906834	5.436890935	5.43564305	14.10364491
Mock_YA_N_7AC_B2_t1	5.707196961	4.882053132	5.390121414	5.545588817	7.699945319
Mock_YA_N_BC_B2_t1	6.047295528	4.673039016	5.324429233	5.165368123	11.45811507
Mock_YA_N_NA_B2_t1	5.589369596	4.871421531	5.304662029	5.457196222	14.43111898
Mock_YA_N_SB_B2_t1	5.620853886	4.829403125	5.352736873	5.451327854	12.05638853
