ID	nsp7	nsp8	nsp12	nsp13	virus	ACE2	TMPRSS2
Virus_CH_B_376AC_B2_t1	5.438835898	4.661149921	5.443230528	5.40717513	12.08014364	2.374896062	5.869947139
Virus_CH_B_AM_B2_t1	5.468551218	4.723407812	5.578391068	5.465472033	14.82110152	4.475653862	5.731424598
Virus_CH_B_IB_B2_t1	5.575628777	4.589719993	5.469961617	5.474975891	12.40171519	3.81590874	6.135463525
Virus_CH_B_NT_B2_t1	5.489948665	4.719817571	5.596936386	5.433867322	9.661692057	4.05398305	5.996506252
Virus_CH_B_TJ_B2_t1	5.635963535	4.564808299	5.379156672	5.434815023	6.499485758	3.028775139	5.680895182
Virus_CH_N_376AC_B2_t1	5.58061249	4.755255231	5.474728759	5.456354894	14.8295517	3.061854892	5.5118277
Virus_CH_N_AC_B1_t1	5.85645282	4.806175143	5.5519336	5.517975923	14.41395755	4.98756471	5.49258467
Virus_CH_N_AC_B1_t2	5.642653339	4.823438382	5.608766272	5.533588757	14.57494672	3.742040338	5.186606277
Virus_CH_N_AM_B2_t2	5.653914611	4.77997773	5.401058639	5.074560936	11.78851769	2.193558447	5.84666735
Virus_CH_N_IB_B2_t1	5.518777068	4.701633843	5.682189778	5.555734743	14.62780463	3.037584601	5.46096391
Virus_CH_N_NT_B1_t1	5.629392414	4.923329091	5.761453762	5.523062579	14.32122753	4.393727962	5.509970069
Virus_CH_N_NT_B1_t2	5.621990288	4.90743228	5.743259647	5.49368941	14.1545546	3.967214367	5.579503472
Virus_CH_N_TJ_B1_t1	5.771111038	4.937184464	5.555357921	5.655835921	13.2149869	3.972740057	5.383143435
Virus_OA_N_JW_B1_t1	5.954915391	4.610773445	5.509735446	5.64026152	10.31142111	4.228660514	6.28563515
Virus_OA_N_JW_B2_t1	6.003503817	4.562640131	5.11110573	5.175347145	11.24017697	4.429075078	6.011764021
Virus_OA_N_NiT_B1_t1	6.295715657	4.700202698	5.485218332	4.997565945	11.30910943	4.27668808	7.5716066
Virus_OA_N_NiT_B2_t1	5.719255738	4.664311501	5.431755446	5.518725684	9.784392932	3.936534147	5.712881797
Virus_OA_N_WB_B2_t1	5.643999008	4.762702405	5.492064749	5.486336696	14.10364491	3.033075869	5.668000294
Virus_OA_N_WB_B2_t2	5.661107227	4.663999444	5.380005766	4.879228045	10.78926061	3.739940591	6.030967686
Virus_YA_N_7AC_B2_t1	5.559375808	4.766066824	5.630983571	5.566579955	7.699945319	0.063034157	8.175866775
Virus_YA_N_BC_B2_t1	6.023257738	4.493089451	5.572212504	4.986506484	11.45811507	4.716645701	8.501617062
Virus_YA_N_NA_B2_t1	5.511100072	4.730384528	5.510407186	5.465915616	14.43111898	3.696802212	5.500200391
Virus_YA_N_SB_B2_t1	5.486179729	4.659889944	5.472357688	5.446510655	12.05638853	2.75210245	5.779517107
