Mixture	Ciliated	Basal	Secretory	Brush+PNEC	Rare Cell-Types
M.CH.M.N.376AC.t1	0.532371414	0.032005287	0.277923366	0.041046266	0.116653668
M.CH.M.B.376AC.t1	0.540248496	0.033072572	0.280096993	0.03290137	0.113680568
M.YA.M.N.7AC.t1	0.428576566	0.079275048	0.338295122	0.039752831	0.114100433
M.CH.F.N.AC.t1	0.260754614	0.248608322	0.362854337	0.015895824	0.111886903
M.CH.F.B.AM.t1	0.395088755	0.167298623	0.286259836	0.025334482	0.126018304
M.YA.M.N.BC.t2	0.069682284	0.173423415	0.716462325	0.007649568	0.032782409
M.CH.M.N.BM.t1	0.439114736	0.027037472	0.361513828	0.037862809	0.134471154
M.YA.M.N.CH.t1	0.288099373	0.244158244	0.351544089	0.015978388	0.100219905
M.CH.F.N.ED.t1	0.306437347	0.23720806	0.330019571	0.023603395	0.102731627
M.CH.F.N.HK.t1	0.248414542	0.065328256	0.52202178	0.058433288	0.105802134
M.CH.M.N.HL.t1	0.321113046	0.098447897	0.415453784	0.039733397	0.125251876
M.CH.F.N.IB.t1	0.464762363	0.052275526	0.329711264	0.044382939	0.108867908
M.CH.F.B.IB.t1	0.442579266	0.228683479	0.18567864	0.02722355	0.115835065
M.CH.M.N.JA.t1	0.26487876	0.102666503	0.441355737	0.046739861	0.144359138
M.OA.M.N.JW.t2	0.26281451	0.180913824	0.488042729	0.005363154	0.062865784
M.OA.M.N.JW.t1	0.214446768	0.149418041	0.561301525	0.000335891	0.074497775
M.CH.M.N.LT.t1	0.279768935	0.219025628	0.324060454	0.041325714	0.135819268
M.YA.M.N.MB.t1	0.371743877	0.034852265	0.380237353	0.058467638	0.154698866
M.YA.M.N.NiA.t1	0.471707963	0.070861425	0.295707099	0.038256042	0.123467471
M.OA.M.N.NiT.t1	0.217564653	0.293466809	0.358777532	0.008281698	0.121909308
M.OA.M.N.NiT.t2	0.377991171	0.18809643	0.302385407	0.022279634	0.109247359
M.CH.M.B.NT.t1	0.329412562	0.352494264	0.20263077	0.013775913	0.101686492
M.CH.M.N.NT.t1	0.437265307	0.101268917	0.312551004	0.031499585	0.117415187
M.OA.M.N.PT.t1	0.299470138	0.187264511	0.388774092	0.018635137	0.105856123
M.OA.F.N.RB.t1	0.279198249	0.168236772	0.457126292	0.017235189	0.078203499
M.OA.M.N.RG.t1	0.206318154	0.064973388	0.665404407	0.009786331	0.05351772
M.YA.M.N.SB.t1	0.407776841	0.161729064	0.277033166	0.027284166	0.126176764
M.YA.F.N.SLW.t1	0.440939506	0.084147897	0.339470056	0.041495831	0.09394671
M.CH.M.B.TJ.t1	0.314011817	0.197276687	0.387119768	0.018429295	0.083162433
M.CH.M.N.TJ.t1	0.26807051	0.271575341	0.324607923	0.015331324	0.120414901
