Drug Name	dbID	mean_proximity	z-score	p-value	No.of.Targets	Mean_degrees	Therap_class	AgeGroup
Artenimol	DB11638	1.887880068	-11.99527658	1.88E-33	64	221.984375	Antimalarial	CH
Fostamatinib	DB12010	1.95630141	-11.96577413	2.68E-33	92	172.0326087	Protein kinase inhibitors	CH
Copper	DB09130	1.920289855	-11.83815814	1.24E-32	69	195.3623188	Copper compounds	CH
Phenethyl Isothiocyanate	DB12695	1.863775065	-8.639752123	2.82E-18	31	284.4516129	Anticancer agents	CH
Zinc	DB01593	1.993243243	-6.855487613	3.55E-12	34	177.7647059	Zinc compound	CH
GDP	DB04315	1.898648649	-6.748890095	7.45E-12	21	208.2857143	Nucleotides	CH
Zinc acetate	DB14487	1.993243243	-6.731955069	8.37E-12	34	177.7647059	Zinc compound	CH
Zinc chloride	DB14533	1.977390852	-6.30054603	1.48E-10	26	205.1153846	Zinc compound	CH
Arsenic trioxide	DB01169	1.793543544	-6.126371833	4.50E-10	9	410.2222222	Anticancer agents	CH
Dasatinib	DB01254	1.844594595	-5.873966805	2.13E-09	10	263.4	Anticancer agents	CH
Acetylsalicylic acid	DB00945	1.892454955	-5.830978691	2.76E-09	12	270.5833333	Anti-inflammatory agents	CH
Phosphoaminophosphonic Acid-Adenylate Ester	DB04395	1.909749035	-5.659102685	7.61E-09	14	219.7857143	Unknown	CH
Anisomycin	DB07374	1.888820639	-5.607424682	1.03E-08	11	217.6363636	Antibiotics	CH
Zinc sulfate	DB14548	1.977390852	-5.552417336	1.41E-08	26	205.1153846	Zinc compound	CH
Quercetin	DB04216	1.876689189	-5.549731898	1.43E-08	12	256.25	Antioxidants	CH
Minocycline	DB01017	1.903378378	-5.28802618	6.18E-08	10	207.3	Antibiotics	CH
(S)-3-phenyllactic acid	DB02494	1.888820639	-5.095789905	1.74E-07	11	217.6363636	Unknown	CH
Puromycin	DB08437	1.879054054	-5.086359512	1.83E-07	10	222.1	Antibiotics	CH
NADH	DB00157	2.143243243	-5.039013496	2.34E-07	55	67.76363636	Dietary supplement	CH
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	DB08515	1.958419958	-4.9891667	3.03E-07	13	141.8461538	Unknown	CH
Epothilone D	DB01873	1.82545045	-4.439315308	4.51E-06	6	262.1666667	Tubilin modulators	CH
Patupilone	DB03010	1.82545045	-4.413371711	5.09E-06	6	262.1666667	Tubilin modulators	CH
Lanoteplase	DB06245	1.959459459	-4.389792716	5.67E-06	11	161.4545455	Plasminogen activator	CH
Pseudoephedrine	DB00852	1.85472973	-4.364192014	6.38E-06	6	346.5	Sympathomimetics	CH
Antihemophilic factor, human recombinant	DB00025	1.862162162	-4.333122997	7.35E-06	5	227.6	Blood coagulation factors	CH
SF1126	DB05210	1.831081081	-4.249863612	1.07E-05	5	253.4	Protein kinase inhibitors	CH
Ponatinib	DB08901	1.867117117	-4.226936292	1.18E-05	6	228.5	Protein kinase inhibitors	CH
Isoprenaline	DB01064	1.833783784	-4.196269073	1.36E-05	5	290.6	Adrenergic and dopaminergic agents	CH
Brigatinib	DB12267	1.786486486	-4.143327435	1.71E-05	5	380.8	Protein kinase inhibitors	CH
CYT997	DB05147	1.868725869	-4.051763979	2.54E-05	7	228.8571429	Anticancer agents	CH
Lonoctocog alfa	DB13998	1.862162162	-4.049178647	2.57E-05	5	227.6	Hemostatics	CH
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	1.87027027	-4.011886737	3.01E-05	5	221.2	Unknown	CH
ATP	DB00171	1.984029484	-3.987193394	3.34E-05	11	172.8181818	Nucleotides	CH
Insulin pork	DB00071	1.949324324	-3.844086359	6.05E-05	6	166.8333333	Insulin	CH
Calcium phosphate dihydrate	DB14481	2.113175676	-3.805838883	7.07E-05	16	71.625	Calcium compounds	CH
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.92953668	-3.723544853	9.82E-05	7	115.8571429	Unknown	CH
Xanthinol	DB09092	1.933783784	-3.670864339	0.000120866	5	148.8	Vasodilators	CH
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.92953668	-3.644849138	0.000133774	7	115.8571429	Unknown	CH
Moroctocog alfa	DB13999	1.862162162	-3.506349611	0.000227149	5	227.6	Hemostatics	CH
Calcium citrate	DB11093	2.113175676	-3.439438414	0.000291461	16	71.625	Calcium compounds	CH
N-Formylmethionine	DB04464	2.075552826	-3.433942027	0.000297436	11	123.2727273	Amino acids	CH
Calcium Phosphate	DB11348	2.113175676	-3.416312325	0.000317377	16	71.625	Calcium compounds	CH
Fluocinolone acetonide	DB00591	1.989864865	-3.326675853	0.000439443	6	141.5	Corticosteroids	CH
Myristic acid	DB08231	1.959459459	-3.316468661	0.000455814	6	139.6666667	Lipids	CH
Regorafenib	DB08896	1.906756757	-3.308356173	0.000469227	5	198.6	Protein kinase inhibitors	CH
Resveratrol	DB02709	1.983952703	-3.281086569	0.00051704	8	262.5	Pyrans	CH
Tenecteplase	DB00031	1.954954955	-3.277151753	0.0005243	6	143.3333333	Plasminogen activator	CH
2-Nonyl-4-quinolinol 1-oxide	DB08453	2.064564565	-3.229191235	0.000620704	9	83.55555556	Unknown	CH
Ubiquinone Q2	DB08690	2.064564565	-3.22069241	0.000639407	9	83.55555556	Vitamins	CH
METHYL (2Z)-3-METHOXY-2-{2-[(E)-2-PHENYLVINYL]PHENYL}ACRYLATE	DB08330	2.064564565	-3.146383428	0.000826516	9	83.55555556	Unknown	CH
Citric acid	DB04272	2.001126126	-3.116165414	0.000916097	6	160.5	Acid preparations	CH
Calcium	DB01373	2.078378378	-2.994092393	0.001376313	10	93.9	Calcium compounds	CH
Tiludronic acid	DB01133	2.120173745	-2.978672894	0.001447498	14	64.14285714	Bisphosphonates	CH
(S)-famoxadone	DB07778	2.064564565	-2.95355481	0.001570684	9	83.55555556	Unknown	CH
(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE	DB07763	2.064564565	-2.873545981	0.00202946	9	83.55555556	Unknown	CH
Azoxystrobin	DB07401	2.064564565	-2.804296091	0.002521329	9	83.55555556	Fungicide	CH
Cannabidiol	DB09061	2.062741313	-2.749208913	0.002986965	7	101.1428571	Cannabinoids and similars	CH
Theophylline	DB00277	1.991891892	-2.690147218	0.003571025	5	177.8	Bronchodilator agents	CH
Pyridoxal phosphate	DB00114	2.08976834	-2.667267495	0.003823539	7	39	Vitamins	CH
6-Hydroxy-5-undecyl-4,7-benzothiazoledione	DB04799	2.064564565	-2.654799157	0.003967782	9	83.55555556	Sulfur compounds	CH
Medical Cannabis	DB14009	2.04954955	-2.629902252	0.004270471	6	113.6666667	Cannabinoids and similars	CH
Nabiximols	DB14011	2.04954955	-2.469599353	0.006763223	6	113.6666667	Cannabinoids and similars	CH
Flavin adenine dinucleotide	DB03147	2.108108108	-2.388511239	0.008458395	9	59.22222222	Vitamins	CH
Glutamic acid	DB00142	2.094594595	-2.373571626	0.008808488	6	41.66666667	Acid preparations	CH
Imidazole	DB03366	2.013513514	-2.35182495	0.009340782	5	92.6	Thromboxane-A Synthase, antagonists & inhibitors	CH
Artenimol	DB11638	1.874375	-12.73895883	1.80E-37	64	230.234375	Antimalarial	YA
Fostamatinib	DB12010	1.957291667	-11.74209639	3.88E-32	96	169.09375	Protein kinase inhibitors	YA
Copper	DB09130	1.911470588	-10.82947191	1.25E-27	68	200.6176471	Copper compounds	YA
Phenethyl Isothiocyanate	DB12695	1.856989247	-9.697963007	1.54E-22	31	300.1612903	Anticancer agents	YA
GDP	DB04315	1.906363636	-8.003892497	6.03E-16	22	207.4545455	Nucleotides	YA
Zinc acetate	DB14487	1.980761905	-7.345540615	1.02E-13	35	175.7428571	Zinc compound	YA
Zinc sulfate	DB14548	1.971190476	-7.281675447	1.65E-13	28	195.75	Zinc compound	YA
Zinc chloride	DB14533	1.971190476	-7.040121585	9.60E-13	28	195.75	Zinc compound	YA
Phosphoaminophosphonic Acid-Adenylate Ester	DB04395	1.903809524	-6.353706065	1.05E-10	14	224.2142857	Unknown	YA
Zinc	DB01593	1.980761905	-6.238207188	2.21E-10	35	175.7428571	Zinc compound	YA
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	DB08515	1.97	-6.23641574	2.24E-10	14	144.7142857	Unknown	YA
Quercetin	DB04216	1.846666667	-6.033794774	8.01E-10	11	279.8181818	Antioxidants	YA
Arsenic trioxide	DB01169	1.778518519	-5.904858956	1.76E-09	9	416	Anticancer agents	YA
NADH	DB00157	2.140935673	-5.715102647	5.48E-09	57	68.03508772	Dietary supplement	YA
Puromycin	DB08437	1.887333333	-5.677182815	6.85E-09	10	223.1	Antibiotics	YA
Anisomycin	DB07374	1.88969697	-5.462616272	2.35E-08	11	219.4545455	Antibiotics	YA
Acetylsalicylic acid	DB00945	1.886111111	-5.432811259	2.77E-08	12	276.0833333	Anti-inflammatory agents	YA
Epothilone D	DB01873	1.821111111	-5.392976363	3.47E-08	6	266.5	Tubilin modulators	YA
Patupilone	DB03010	1.821111111	-5.256872863	7.33E-08	6	266.5	Tubilin modulators	YA
(S)-3-phenyllactic acid	DB02494	1.88969697	-5.215846926	9.15E-08	11	219.4545455	Unknown	YA
Dasatinib	DB01254	1.831111111	-5.201285356	9.90E-08	9	277.5555556	Anticancer agents	YA
Pseudoephedrine	DB00852	1.813333333	-4.957514319	3.57E-07	6	351.5	Sympathomimetics	YA
CYT997	DB05147	1.86	-4.773553066	9.05E-07	7	232.7142857	Anticancer agents	YA
Minocycline	DB01017	1.888	-4.599503275	2.12E-06	10	211.8	Antibiotics	YA
Lonoctocog alfa	DB13998	1.905555556	-4.546281299	2.73E-06	6	200.8333333	Hemostatics	YA
ATP	DB00171	1.972727273	-4.474668672	3.83E-06	11	172.7272727	Nucleotides	YA
Lanoteplase	DB06245	1.949090909	-4.455902518	4.18E-06	11	167.4545455	Plasminogen activator	YA
Brigatinib	DB12267	1.794666667	-4.399157517	5.43E-06	5	389	Protein kinase inhibitors	YA
Isoprenaline	DB01064	1.826666667	-4.398304604	5.45E-06	5	292	Adrenergic and dopaminergic agents	YA
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.94	-4.178153925	1.47E-05	7	118.1428571	Unknown	YA
Moroctocog alfa	DB13999	1.905555556	-3.981579169	3.42E-05	6	200.8333333	Hemostatics	YA
Calcium Phosphate	DB11348	2.09625	-3.954501273	3.83E-05	16	73	Calcium compounds	YA
Insulin pork	DB00071	1.925555556	-3.946393271	3.97E-05	6	173.3333333	Insulin	YA
SF1126	DB05210	1.844	-3.926958321	4.30E-05	5	255.6	Protein kinase inhibitors	YA
Ponatinib	DB08901	1.869333333	-3.899568468	4.82E-05	5	242.2	Protein kinase inhibitors	YA
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	1.88	-3.784977119	7.69E-05	5	226	Unknown	YA
Calcium phosphate dihydrate	DB14481	2.09625	-3.770782733	8.14E-05	16	73	Calcium compounds	YA
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.94	-3.67245932	0.000120114	7	118.1428571	Unknown	YA
Calcium citrate	DB11093	2.09625	-3.606068964	0.000155435	16	73	Calcium compounds	YA
Antihemophilic factor, human recombinant	DB00025	1.905555556	-3.55573746	0.00018846	6	200.8333333	Blood coagulation factors	YA
Fluocinolone acetonide	DB00591	1.962222222	-3.55229113	0.000190946	6	143.8333333	Corticosteroids	YA
Calcium	DB01373	2.062	-3.506547768	0.00022698	10	95.4	Calcium compounds	YA
Resveratrol	DB02709	1.976666667	-3.374733727	0.000369436	8	269	Pyrans	YA
Citric acid	DB04272	1.991111111	-3.333010139	0.000429559	6	160	Acid preparations	YA
Tenecteplase	DB00031	1.951111111	-3.318868582	0.000451915	6	148.5	Plasminogen activator	YA
Xanthinol	DB09092	1.967777778	-3.295766249	0.000490768	6	129.8333333	Vasodilators	YA
2-Nonyl-4-quinolinol 1-oxide	DB08453	2.07	-3.284329067	0.000511127	8	78.625	Unknown	YA
N-Formylmethionine	DB04464	2.098888889	-3.226716035	0.000626098	12	118.5	Amino acids	YA
Myristic acid	DB08231	1.958888889	-3.209633306	0.000664522	6	143.8333333	Lipids	YA
Theophylline	DB00277	1.977333333	-3.187373225	0.000717857	5	180.8	Bronchodilator agents	YA
Tiludronic acid	DB01133	2.081025641	-3.168361533	0.000766504	13	67.15384615	Bisphosphonates	YA
Ubiquinone Q2	DB08690	2.07	-3.02905013	0.00122662	8	78.625	Vitamins	YA
(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE	DB07763	2.07	-3.028565029	0.001228591	8	78.625	Unknown	YA
(S)-famoxadone	DB07778	2.07	-2.924051132	0.00172754	8	78.625	Unknown	YA
6-Hydroxy-5-undecyl-4,7-benzothiazoledione	DB04799	2.07	-2.903053998	0.001847715	8	78.625	Sulfur compounds	YA
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	DB04141	2.105454545	-2.897022997	0.001883611	11	77.36363636	Unknown	YA
