Drug Name	dbID	mean_proximity	z-score	p-value	No.of.Targets	Mean_degrees	Therap_class	AgeGroup	Type
Artenimol	DB11638	1.887880068	-11.99527658	1.88E-33	64	221.984375	Antimalarial	CH	RNA
Fostamatinib	DB12010	1.95630141	-11.96577413	2.68E-33	92	172.0326087	Protein kinase inhibitors	CH	RNA
Copper	DB09130	1.920289855	-11.83815814	1.24E-32	69	195.3623188	Copper compounds	CH	RNA
Phenethyl Isothiocyanate	DB12695	1.863775065	-8.639752123	2.82E-18	31	284.4516129	Anticancer agents	CH	RNA
Zinc	DB01593	1.993243243	-6.855487613	3.55E-12	34	177.7647059	Zinc compound	CH	RNA
GDP	DB04315	1.898648649	-6.748890095	7.45E-12	21	208.2857143	Nucleotides	CH	RNA
Zinc acetate	DB14487	1.993243243	-6.731955069	8.37E-12	34	177.7647059	Zinc compound	CH	RNA
Zinc chloride	DB14533	1.977390852	-6.30054603	1.48E-10	26	205.1153846	Zinc compound	CH	RNA
Arsenic trioxide	DB01169	1.793543544	-6.126371833	4.50E-10	9	410.2222222	Anticancer agents	CH	RNA
Dasatinib	DB01254	1.844594595	-5.873966805	2.13E-09	10	263.4	Anticancer agents	CH	RNA
Acetylsalicylic acid	DB00945	1.892454955	-5.830978691	2.76E-09	12	270.5833333	Anti-inflammatory agents	CH	RNA
Phosphoaminophosphonic Acid-Adenylate Ester	DB04395	1.909749035	-5.659102685	7.61E-09	14	219.7857143	Unknown	CH	RNA
Anisomycin	DB07374	1.888820639	-5.607424682	1.03E-08	11	217.6363636	Antibiotics	CH	RNA
Zinc sulfate	DB14548	1.977390852	-5.552417336	1.41E-08	26	205.1153846	Zinc compound	CH	RNA
Quercetin	DB04216	1.876689189	-5.549731898	1.43E-08	12	256.25	Antioxidants	CH	RNA
Minocycline	DB01017	1.903378378	-5.28802618	6.18E-08	10	207.3	Antibiotics	CH	RNA
(S)-3-phenyllactic acid	DB02494	1.888820639	-5.095789905	1.74E-07	11	217.6363636	Unknown	CH	RNA
Puromycin	DB08437	1.879054054	-5.086359512	1.83E-07	10	222.1	Antibiotics	CH	RNA
NADH	DB00157	2.143243243	-5.039013496	2.34E-07	55	67.76363636	Dietary supplement	CH	RNA
(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE	DB08515	1.958419958	-4.9891667	3.03E-07	13	141.8461538	Unknown	CH	RNA
Epothilone D	DB01873	1.82545045	-4.439315308	4.51E-06	6	262.1666667	Tubilin modulators	CH	RNA
Patupilone	DB03010	1.82545045	-4.413371711	5.09E-06	6	262.1666667	Tubilin modulators	CH	RNA
Lanoteplase	DB06245	1.959459459	-4.389792716	5.67E-06	11	161.4545455	Plasminogen activator	CH	RNA
Pseudoephedrine	DB00852	1.85472973	-4.364192014	6.38E-06	6	346.5	Sympathomimetics	CH	RNA
Antihemophilic factor, human recombinant	DB00025	1.862162162	-4.333122997	7.35E-06	5	227.6	Hemostatics	CH	RNA
SF1126	DB05210	1.831081081	-4.249863612	1.07E-05	5	253.4	Protein kinase inhibitors	CH	RNA
Ponatinib	DB08901	1.867117117	-4.226936292	1.18E-05	6	228.5	Protein kinase inhibitors	CH	RNA
Isoprenaline	DB01064	1.833783784	-4.196269073	1.36E-05	5	290.6	Adrenergic and dopaminergic agents	CH	RNA
Brigatinib	DB12267	1.786486486	-4.143327435	1.71E-05	5	380.8	Protein kinase inhibitors	CH	RNA
CYT997	DB05147	1.868725869	-4.051763979	2.54E-05	7	228.8571429	Anticancer agents	CH	RNA
Lonoctocog alfa	DB13998	1.862162162	-4.049178647	2.57E-05	5	227.6	Hemostatics	CH	RNA
2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid	DB02506	1.87027027	-4.011886737	3.01E-05	5	221.2	Unknown	CH	RNA
ATP	DB00171	1.984029484	-3.987193394	3.34E-05	11	172.8181818	Nucleotides	CH	RNA
Insulin pork	DB00071	1.949324324	-3.844086359	6.05E-05	6	166.8333333	Insulin	CH	RNA
Calcium phosphate dihydrate	DB14481	2.113175676	-3.805838883	7.07E-05	16	71.625	Calcium compounds	CH	RNA
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.92953668	-3.723544853	9.82E-05	7	115.8571429	Unknown	CH	RNA
Xanthinol	DB09092	1.933783784	-3.670864339	0.000120866	5	148.8	Vasodilators	CH	RNA
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.92953668	-3.644849138	0.000133774	7	115.8571429	Unknown	CH	RNA
Moroctocog alfa	DB13999	1.862162162	-3.506349611	0.000227149	5	227.6	Hemostatics	CH	RNA
Calcium citrate	DB11093	2.113175676	-3.439438414	0.000291461	16	71.625	Calcium compounds	CH	RNA
N-Formylmethionine	DB04464	2.075552826	-3.433942027	0.000297436	11	123.2727273	Amino acids	CH	RNA
Calcium Phosphate	DB11348	2.113175676	-3.416312325	0.000317377	16	71.625	Calcium compounds	CH	RNA
Fluocinolone acetonide	DB00591	1.989864865	-3.326675853	0.000439443	6	141.5	Corticosteroids	CH	RNA
Myristic acid	DB08231	1.959459459	-3.316468661	0.000455814	6	139.6666667	Lipids	CH	RNA
Regorafenib	DB08896	1.906756757	-3.308356173	0.000469227	5	198.6	Protein kinase inhibitors	CH	RNA
Resveratrol	DB02709	1.983952703	-3.281086569	0.00051704	8	262.5	Pyrans	CH	RNA
Tenecteplase	DB00031	1.954954955	-3.277151753	0.0005243	6	143.3333333	Plasminogen activator	CH	RNA
2-Nonyl-4-quinolinol 1-oxide	DB08453	2.064564565	-3.229191235	0.000620704	9	83.55555556	Unknown	CH	RNA
Ubiquinone Q2	DB08690	2.064564565	-3.22069241	0.000639407	9	83.55555556	Vitamins	CH	RNA
