Drug Name	dbID	mean_proximity	z-score	p-value	No.of.Targets	Mean_degrees	Therap_class	AgeGroup
Artenimol	DB11638	1.811981567	-5.461176743	2.36E-08	62	104.7096774	Antimalarial	CH
Copper	DB09130	1.867980296	-4.374643175	6.08E-06	58	90.79310345	Copper compounds	CH
Anisomycin	DB07374	1.7	-4.306537781	8.29E-06	6	129	Antibiotics	CH
Phenethyl Isothiocyanate	DB12695	1.784615385	-4.263652371	1.01E-05	26	126.3076923	Anticancer agents	CH
Puromycin	DB08437	1.7	-3.802798897	7.15E-05	6	129	Antibiotics	CH
(S)-3-phenyllactic acid	DB02494	1.7	-3.756673987	8.61E-05	6	129	Unknown	CH
Quercetin	DB04216	1.812698413	-3.102432414	0.000959687	9	122.5555556	Antioxidants	CH
Artenimol	DB11638	1.824143693	-5.759902225	4.21E-09	63	108.7777778	Antimalarial	YA
Phenethyl Isothiocyanate	DB12695	1.765107212	-5.579457199	1.21E-08	27	131.1111111	Anticancer agents	YA
Copper	DB09130	1.848047538	-5.559474341	1.35E-08	62	89.90322581	Copper compounds	YA
Quercetin	DB04216	1.792397661	-3.102938218	0.000958048	9	126.4444444	Antioxidants	YA
Zinc	DB01593	1.900717703	-3.044825107	0.001164078	22	73.81818182	Zinc compound	YA
Anisomycin	DB07374	1.789473684	-3.015510981	0.001282733	6	132.3333333	Antibiotics	YA
Zinc chloride	DB14533	1.890581717	-2.953306213	0.00157195	19	78.84210526	Zinc compound	YA
Zinc sulfate	DB14548	1.890581717	-2.913454533	0.001787269	19	78.84210526	Zinc compound	YA
(2S)-2-(3-bromophenyl)-3-(5-chloro-2-hydroxyphenyl)-1,3-thiazolidin-4-one	DB08236	1.820175439	-2.883796481	0.001964563	6	60.66666667	Unknown	YA
Zinc acetate	DB14487	1.900717703	-2.776266641	0.002749355	22	73.81818182	Zinc compound	YA
Puromycin	DB08437	1.789473684	-2.755754216	0.002927849	6	132.3333333	Antibiotics	YA
(S)-3-phenyllactic acid	DB02494	1.789473684	-2.716574187	0.003298071	6	132.3333333	Unknown	YA
N-[2-(2-methyl-1H-indol-3-yl)ethyl]thiophene-2-carboxamide	DB08235	1.820175439	-2.569778112	0.005088184	6	60.66666667	Unknown	YA
Artenimol	DB11638	1.801789077	-5.768015677	4.01E-09	59	98.40677966	Antimalarial	OA
Phenethyl Isothiocyanate	DB12695	1.788461538	-4.915047213	4.44E-07	26	126.0769231	Anticancer agents	OA
Copper	DB09130	1.864695341	-4.59918954	2.12E-06	62	80.4516129	Copper compounds	OA
(S)-3-phenyllactic acid	DB02494	1.670634921	-4.221985637	1.21E-05	7	128.2857143	Unknown	OA
Anisomycin	DB07374	1.670634921	-4.175518351	1.49E-05	7	128.2857143	Antibiotics	OA
Puromycin	DB08437	1.670634921	-4.152333518	1.65E-05	7	128.2857143	Antibiotics	OA
Quercetin	DB04216	1.760416667	-3.397806521	0.000339642	8	128.75	Antioxidants	OA
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	DB04141	1.833333333	-2.651591642	0.004005668	7	58.14285714	Unknown	OA
2-Nonyl-4-quinolinol 1-oxide	DB08453	1.85	-2.387464069	0.008482531	5	55.2	Unknown	OA
Artenimol	DB11638	1.806802721	-5.293053206	6.01E-08	63	104.2063492	Antimalarial	All
Phenethyl Isothiocyanate	DB12695	1.782010582	-4.610645419	2.01E-06	27	128.8148148	Anticancer agents	All
Copper	DB09130	1.882488479	-4.178065223	1.47E-05	62	85.98387097	Copper compounds	All
Anisomycin	DB07374	1.742857143	-3.50062064	0.000232088	6	129	Antibiotics	All
Quercetin	DB04216	1.757142857	-3.288005359	0.0005045	8	135.75	Antioxidants	All
Puromycin	DB08437	1.742857143	-3.06004451	0.00110652	6	129	Antibiotics	All
(S)-3-phenyllactic acid	DB02494	1.742857143	-2.998811355	0.001355175	6	129	Unknown	All

