Gene,logFC,logCPM,LR,PValue,FDR
IFNL2,7.966431274,-0.632251229,99.4734364,1.99E-23,5.01E-20
IFNL1,7.911310239,-0.678886666,100.4091642,1.24E-23,3.75E-20
IFNB1,7.194567705,0.058875329,133.5088894,7.00E-31,5.29E-27
ZBP1,7.014748485,2.084178084,15.37058831,8.84E-05,0.000581936
PYGM,6.25579188,-0.333256011,102.2926009,4.79E-24,1.81E-20
GUCY2C,6.25133689,0.741105947,147.4784992,6.17E-34,9.32E-30
CABP5,5.940565151,0.360351126,12.44379693,0.000419382,0.002044303
OASL,5.914538587,4.782757468,108.7543115,1.84E-25,9.26E-22
IL6,5.868491917,1.462226645,16.23326897,5.60E-05,4.07E-04
CXCL11,5.77698514,5.199672789,35.4081616,2.67E-09,1.42E-07
CXCL10,5.649373938,6.60026048,67.97881539,1.65E-16,1.47E-13
LOC107986959,5.387669524,0.597487462,11.95564272,0.000544821,0.00252856
PLA2G4C,5.263249981,2.434794364,15.39938924,8.70E-05,5.76E-04
NPFFR2,5.136307764,-0.118649841,13.67631104,0.000217177,0.001208706
IFI44L,4.994208514,6.796065032,30.94267075,2.66E-08,9.13E-07
RGS1,4.812413104,2.958971274,8.221197301,4.14E-03,1.31E-02
FOSB,4.442166461,2.856638176,30.52636018,3.29E-08,1.08E-06
ITGBL1,4.164683332,-1.07043485,35.40562479,2.68E-09,1.42E-07
RSAD2,4.144527272,6.144480317,14.95491733,1.10E-04,0.000695543
IFI6,4.045197472,7.974026657,17.43122458,2.98E-05,0.000246601
ISG15,3.991829093,7.253700287,16.74158913,4.28E-05,3.29E-04
ANKRD1,3.953549428,4.352938695,16.73140595,4.31E-05,3.30E-04
MX2,3.806251784,6.749748243,14.61429835,0.00013191,0.000804336
IFIT2,3.794662218,8.129290418,30.24083657,3.82E-08,1.21E-06
EGR2,3.721306165,2.99403365,8.764031234,0.003072292,0.010213862
EDN1,3.684571816,4.360766749,24.90397034,6.03E-07,1.16E-05
NR4A3,3.669811099,2.063191154,10.88660199,0.000968624,0.004050267
CACNA1I,3.651845197,-0.506833316,29.98829158,4.35E-08,1.35E-06
IFIT1,3.639160188,8.129844499,12.40899253,0.000427271,0.002076063
LAG3,3.598886421,1.734021624,7.79930884,5.23E-03,0.015832222
IFIT3,3.532664072,7.825138266,18.84921623,1.41E-05,0.000137316
CMPK2,3.518735739,5.373310798,20.46537311,6.07E-06,7.02E-05
FOS,3.412559006,6.29483689,22.9681098,1.65E-06,2.54E-05
HERC5,3.279116662,3.768076618,63.70919456,1.44E-15,9.48E-13
CCL5,3.278074743,0.273868619,16.32104965,5.35E-05,3.92E-04
APOBEC3A,3.273763816,2.076816121,13.98360695,0.000184411,0.001055496
ADAMTS9,3.267031186,2.244658001,83.86921782,5.29E-20,8.88E-17
CREB5,3.262534235,2.544269032,10.51501221,0.001184086,0.004753958
BACH2,3.213914526,2.503499533,21.19623648,4.15E-06,5.25E-05
CCN1,3.173268767,6.361801894,24.62368396,6.97E-07,1.30E-05
TNFSF13B,3.168229914,2.068517091,37.71398356,8.19E-10,5.41E-08
OAS3,3.129642506,7.565673039,22.42018001,2.19E-06,3.17E-05
NR1D1,3.07791794,4.592191155,46.1367552,1.10E-11,1.40E-09
AIM2,3.03721071,-0.08216442,7.19813359,0.007297944,0.020826076
RASD1,3.020920671,0.112974859,20.79434375,5.11E-06,6.16E-05
DUOXA2,2.9816053,4.593773854,22.05512973,2.65E-06,3.70E-05
IFITM1,2.962572627,7.203090799,19.59259685,9.58E-06,1.01E-04
LOC105375265,2.944081753,-0.334066902,36.01707298,1.96E-09,1.12E-07
CXCL2,2.90951726,4.344229706,14.85198862,1.16E-04,7.27E-04
EPSTI1,2.88763912,4.995417045,21.51557314,3.51E-06,4.63E-05
CXorf49B,2.849455853,0.548876077,58.92817683,1.64E-14,7.27E-12
LOC105378075,2.804904882,-0.168260712,47.641066,5.12E-12,7.51E-10
TNFSF14,2.801500886,0.994875602,8.43561836,3.68E-03,0.011841558
DUSP8,2.797163591,3.485097313,20.39940107,6.28E-06,7.20E-05
HDAC9,2.779498896,6.223458062,13.34756032,0.000258759,0.001388499
HS3ST2,2.765103645,-0.040482434,11.8700548,0.000570437,0.00261612
EGR1,2.726126529,6.805294763,33.18300533,8.39E-09,3.65E-07
NID1,2.684647204,3.224900227,8.633184184,0.003300941,0.010830697
TNFAIP3,2.684213958,7.211954619,21.10999355,4.34E-06,5.43E-05
THSD7A,2.683186795,2.931090208,17.67980634,2.61E-05,0.000221724
PTGS2,2.68019194,5.304582523,19.26275631,1.14E-05,0.000115558
NR4A1,2.656023869,2.496619316,23.46650287,1.27E-06,2.07E-05
XAF1,2.652971286,6.428346394,29.16136008,6.66E-08,1.92E-06
KLHDC7B,2.602138237,5.769086121,25.56198745,4.28E-07,8.80E-06
FOSL1,2.563462615,2.390140325,24.2330163,8.54E-07,1.53E-05
TG,2.55599178,1.099939113,16.42399247,5.06E-05,3.76E-04
HSPA6,2.529352413,1.215815151,7.975444901,0.00474161,0.014579776
GDF15,2.519660572,7.014654008,31.42414877,2.07E-08,7.57E-07
CSF1,2.500097686,4.415642623,32.37692134,1.27E-08,5.13E-07
LOC105371082,2.491604522,-0.556740132,6.194399345,0.012815521,0.032811555
IL32,2.457707015,5.130309988,17.44090839,2.96E-05,2.46E-04
HELZ2,2.413650288,6.384149796,24.25349232,8.45E-07,1.52E-05
JUN,2.399974661,7.739911276,15.37936256,8.79E-05,5.80E-04
LAMP3,2.388483585,5.217009092,10.90894875,0.000957008,0.004009461
MYRFL,2.384633838,2.370200694,12.45834109,0.000416129,0.002033716
MX1,2.383510017,8.194918379,9.9677795,0.001593035,0.006039708
OAS1,2.361502832,6.796379692,12.76740538,0.000352712,0.001781949
NCF1,2.34508038,2.285381151,38.14845005,6.56E-10,4.50E-08
NLRC5,2.334351997,4.294387097,51.43300389,7.41E-13,1.44E-10
OAS2,2.31398346,7.901114982,16.67997857,4.42E-05,3.37E-04
LOC105371692,2.305215398,0.257683513,16.83610875,4.08E-05,3.16E-04
CSRNP1,2.285555058,4.052984311,49.18723987,2.33E-12,3.86E-10
ANKRD33B,2.281798541,1.939641054,15.10114359,1.02E-04,6.53E-04
LATS2,2.249880952,4.411143029,33.6041788,6.75E-09,3.08E-07
