UniProtID,DrugBank_ID
P12314,DB00028
P01031,DB00028
O75015,DB00028
P08637,DB00028
P12318,DB00028
P31994,DB00028
P31995,DB00028
P01024,DB00028
Q92637,DB00028
P0C0L4,DB00028
P0C0L5,DB00028
Q9NYK1,DB01611
Q9BYF1,DB01611
Q9NR96,DB01611
Q14289,DB11817
O60674,DB11817
P52333,DB11817
P23458,DB11817
Q9UM07,DB00207
P11473,DB00169
O75311,DB00602
P28472,DB00602
P14902,DB00435
P33402,DB00435
P04731,DB00435
Q12809,DB01211
P0A7J6,DB01211
Q9Y6L6,DB01211
Q9NPD5,DB01211
P30968,DB06699
P00742,DB01109
P01008,DB01109
P08620,DB01109
P05230,DB01109
P21802,DB01109
P09038,DB01109
P14210,DB01109
P02776,DB01109
P16109,DB01109
P22455,DB01109
P11362,DB01109
O95750,DB01109
P25021,DB00863
P22303,DB00863
P28702,DB00755
P13631,DB00755
P10826,DB00755
P02753,DB00755
P19793,DB00755
O94788,DB00755
P00352,DB00755
P49788,DB00755
P10276,DB00755
Q8NFJ5,DB00755
P48443,DB00755
O60760,DB00755
O43174,DB00755
Q16654,DB00755
P31025,DB00755
Q9NY56,DB00755
Q6V0L0,DB00755
Q9NR63,DB00755
P04626,DB00072
P04626,DB06366
P35228,DB01234
P51843,DB01234
P04083,DB01234
P04150,DB01234
O75469,DB01234
P00519,DB00619
P09619,DB00619
P10721,DB00619
P16234,DB00619
P07333,DB00619
P04629,DB00619
O43519,DB00619
Q08345,DB00619
P11274,DB00619
P00742,DB06228
P00742,DB01225
P01008,DB01225
P04083,DB00959
P04150,DB00959
Q72874,DB01601
O75469,DB00503
Q72874,DB00503
P08887,DB06273
P0A3M6,DB00319
Q7CRA4,DB00319
Q75Y35,DB00319
Q8DNB6,DB00319
P62594,DB01606
P0AD63,DB01606
P18251,DB01606
P30556,DB00966
P37231,DB00966
P30556,DB00876
P30556,DB01029
P05412,DB01029
P30556,DB13919
P30556,DB11842
P30556,DB00678
P30556,DB00275
P30556,DB00177
P31639,DB06292
P24530,DB06403
P25101,DB06403
Q809M3,DB12466
P49069,DB00091
P62937,DB00091
P30405,DB00091
Q96LZ3,DB00091
P94692,DB00507
P16502,DB00811
P02768,DB00811
P26676,DB00811
P12268,DB00811
P20839,DB00811
P06730,DB00811
P12823,DB00811
P20839,DB00811
P12268,DB00811
P19525,DB00811
P0C6X7,DB00811
P0C6X7,DB00811
P0DTC1,DB00811
P07437,DB01394
O76074,DB00975
Q9Y233,DB00975
P02763,DB00975
P27815,DB00975
P00813,DB00975
P53805,DB00975
P01031,DB11580
P00747,DB00302
O60674,DB08895
P52333,DB08895
P23458,DB08895
P29597,DB08895
P05067,DB00746
Q12809,DB00675
P03372,DB00675
P10275,DB00675
P04278,DB00675
Q92731,DB00675
O75469,DB00675
P62508,DB00675
P45983,DB00675
Q15125,DB00675
P17252,DB00675
P05771,DB00675
Q05655,DB00675
Q02156,DB00675
P05129,DB00675
P41743,DB00675
Q04759,DB00675
Q05513,DB00675
P13631,DB00982
P10276,DB00982
P25021,DB00927
P09917,DB00471
Q9Y271,DB00471
P08588,DB01001
P07550,DB01001
P13945,DB01001
P08588,DB01001
P07550,DB01001
P13945,DB01001
P04926,DB09274
Q8NER1,DB06515
P11473,DB00146
P01178,DB00107
P30559,DB00107
P12314,DB11767
O75015,DB11767
P08637,DB11767
P12318,DB11767
P31994,DB11767
P08887,DB11767
P48551,DB00060
P17181,DB00060
P10696,DB00848
P32297,DB00848
Q23022,DB00848
Q9N587,DB00848
Q27218,DB00848
P48181,DB00848
Q05586,DB08954
Q13224,DB08954
P01375,DB00608
P09488,DB00608
Q9BYF1,DB00608
Q9NR96,DB00608
P09210,DB00608
Q8MU52,DB00608
P09429,DB00608
P23219,DB01050
Q07869,DB01050
P37231,DB01050
P10415,DB01050
P35354,DB01050
P07359,DB01050
P07204,DB01050
P13569,DB01050
P12104,DB01050
P31151,DB01050
P04626,DB15035
P00533,DB15035
P06239,DB15035
Q06187,DB15035
Q08881,DB15035
O60674,DB15035
P52333,DB15035
Q13882,DB15035
P42685,DB15035
Q15303,DB15035
P09769,DB15035
P42680,DB15035
P42681,DB15035
P51451,DB15035
P51813,DB15035
P04150,DB01410
Q06187,DB11703
P04035,DB01076
P27487,DB01076
Q92769,DB01076
P35869,DB01076
Q14994,DB01076
P48551,DB00105
P17181,DB00105
P17181,DB05258
P98194,DB01373
P19801,DB01373
P0DP23,DB01373
Q13936,DB01373
Q99584,DB01373
P49747,DB01373
P20810,DB01373
P63316,DB01373
P00450,DB01373
P04271,DB01373
P02585,DB01373
P29034,DB01373
P05187,DB01373
Q01082,DB01373
O75340,DB01373
P08493,DB01373
Q8TAB3,DB01373
P05109,DB01373
P06702,DB01373
P12644,DB01373
P00734,DB01593
P14780,DB01593
P03372,DB01593
P08700,DB01593
P69905,DB01593
P45381,DB01593
P08185,DB01593
P02766,DB01593
P23415,DB01593
P02787,DB01593
P02671,DB01593
P01619,DB01593
P68871,DB01593
P04278,DB01593
O14556,DB01593
P05546,DB01593
P01031,DB01593
P01023,DB01593
P02652,DB01593
P27169,DB01593
P01009,DB01593
Q00987,DB01593
P01042,DB01593
P01019,DB01593
P04004,DB01593
P02649,DB01593
P00450,DB01593
P16455,DB01593
P02751,DB01593
P02743,DB01593
P09871,DB01593
Q9BY41,DB01593
P04075,DB01593
P00751,DB01593
P09874,DB01593
P00736,DB01593
P02746,DB01593
P02747,DB01593
Q13547,DB01593
P00441,DB01593
P03952,DB01593
P07237,DB01593
P15531,DB01593
P07360,DB01593
P04637,DB01593
P05067,DB01593
P02647,DB01593
