DrugBankID,Name,Source,Source_link,Groups,Therap_Class,Indication(s)
DB12695,Phenethyl Isothiocyanate,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,investigational,Noxae,
DB02709,Resveratrol,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,investigational,Pyrans,
DB05785,LGD-1550,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,investigational,,
DB00619,Imatinib,DrugBank,https://www.drugbank.ca/covid-19,approved,Anticancer Agents,"
Chronic myelogenous leukaemia
Intestinal cancer
Lung cancer
Systemic mastocytosis
"
DB06733,Bafilomycin A1,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Lactones,
DB00570,Vinblastine,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,approved,Anticancer Agents,"
Solid tumour/cancer
"
DB06734,Bafilomycin B1,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Lactones,
DB04216,Quercetin,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,"experimental,investigational",Hypoglycemic Agents,"
Obesity
"
DB00811,Ribavirin,DrugBank,https://www.drugbank.ca/covid-19,approved,Antiviral Agents,"
Hepatitis C virus infection
"
DB02733,Purvalanol,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB01169,Arsenic trioxide,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,"approved,investigational",Anticancer Agents,"
Acute lymphoblastic leukaemia
"
DB03147,Flavin adenine dinucleotide,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,approved,Flavins,
DB02201,Malonate Ion,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB03070,Selenazole-4-carboxyamide-adenine dinucleotide,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Selenium Compounds,
DB00321,Amitriptyline,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,approved,Analgesics,"
Depression
"
DB00608,Chloroquine,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational,vet_approved",Antimalarials,"
Malaria
"
DB00841,Dobutamine,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,approved,Cardiotonic Agents,"
Heart failure
"
DB04207,L-Saccharopine,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Amino Acids,
DB02615,Compound 19,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB02910,Octanoyl-Coenzyme A,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Purines,
DB07584,"N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine",Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB00091,Cyclosporine,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational,vet_approved",Immunosuppressive Agents,"
Psoriasis vulgaris
Xerophthalmia
"
DB01645,Genistein,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,investigational,Pyrans,"
Prostate cancer
"
DB03478,2'-O-Acetyl Adenosine-5-Diphosphoribose,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB02338,NADPH,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Purines,
DB08813,Nadroparin,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Heparin group,
DB00736,Esomeprazole,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Antiulcer Agents,"
Peptic ulcer
"
DB00118,Ademetionine,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,"approved,investigational,nutraceutical",Amino acids and derivatives,"
Cerebrovascular ischaemia
"
DB01024,Mycophenolic acid,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,approved,Selective immunosuppressants,
DB06103,VX-148,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,investigational,Benzene Derivatives,"
Psoriasis vulgaris
"
DB00156,Threonine,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,"approved,nutraceutical",Amino Acids,
DB03948,"6-Chloropurine Riboside, 5'-Monophosphate",Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB01029,Irbesartan,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Antihypertensive Agents,"
Hypertension
"
DB07585,"5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine",Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
DB02116,Olomoucine,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,Purines,
DB00864,Tacrolimus,DrugBank,https://www.drugbank.ca/covid-19,"approved,investigational",Immunosuppressive Agents,"
Ocular allergy
Organ transplant rejection
"
DB04566,Inosinic Acid,Gordon et al.,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2286-9/MediaObjects/41586_2020_2286_MOESM6_ESM.xlsx,experimental,,
