,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09130,1.90490858505564,-11.4897154740129,7.4300275495137e-31,68,197.470588235294
DB03247,2.02702702702703,-1.75589310847284,0.0395533309597615,2,64.5
DB07837,1.93918918918919,-1.50697613487976,0.0659083872490936,1,108
DB08191,1.93918918918919,-1.29919846198795,0.0969379146000584,1,108
DB04472,2.14189189189189,-0.742512648698961,0.228888395542666,1,59
DB00514,1.96846846846847,-2.80622845616662,0.00250625701073367,3,146.333333333333
DB00540,2.05405405405405,-1.19825338728515,0.115409193567033,1,41
DB01104,2.05405405405405,-1.15604181853364,0.123832026119092,1,41
DB11638,1.86803849303849,-12.0534865955862,9.29580072825835e-34,66,221.848484848485
DB04216,1.83722358722359,-5.75761452854302,4.26554439411477e-09,11,272.727272727273
DB01064,1.82432432432432,-3.78621817751161,7.64786945353935e-05,5,288.2
DB05210,1.82702702702703,-4.54744057030824,2.71511235519301e-06,5,251.6
DB00157,2.13826326326326,-5.51972892648789,1.69761504306777e-08,54,66.1851851851852
DB00186,3.0472972972973,2.47902007193116,0.993412805393316,2,11.5
DB00189,3.0472972972973,3.05953327847333,0.998891589212103,2,11.5
DB00228,2.86486486486486,2.64880902891306,0.995961201911491,3,10.6666666666667
DB00231,3.0472972972973,3.56492044233745,0.999818016713179,2,11.5
DB00237,3.0472972972973,3.39223361100274,0.999653373469583,2,11.5
DB00241,3.0472972972973,3.15093634526478,0.99918626022271,2,11.5
DB00252,3.0472972972973,3.0497075048859,0.99885467833499,2,11.5
DB00292,3.0472972972973,2.91299175978172,0.998210079761297,2,11.5
DB00306,3.0472972972973,3.38259063184581,0.999640972099087,2,11.5
DB00312,3.0472972972973,3.40491252457815,0.999669073744581,2,11.5
DB00349,3.0472972972973,3.61369202487019,0.999849066199694,2,11.5
DB00371,3.0472972972973,3.28539639597559,0.999490805063589,2,11.5
DB00402,3.0472972972973,3.23726410444573,0.999396591661788,2,11.5
DB00404,3.0472972972973,3.14078229452443,0.999157513831164,2,11.5
DB00463,3.0472972972973,3.16412232667929,0.999222242993174,2,11.5
DB00475,3.0472972972973,3.92165950318249,0.999956029397538,2,11.5
DB00543,3.0472972972973,3.3485351944582,0.999593800190712,2,11.5
DB00546,3.0472972972973,3.56492933364096,0.999818022882234,2,11.5
DB00555,3.0472972972973,3.68638831792874,0.999886270403153,2,11.5
DB00603,3.0472972972973,3.20272216429594,0.999319323749368,2,11.5
DB00628,3.0472972972973,3.45415713639745,0.999723992183012,2,11.5
DB00659,3.0472972972973,3.02748563398548,0.998767012824187,2,11.5
DB00683,3.0472972972973,3.56045124498207,0.999814890976175,2,11.5
DB00690,3.0472972972973,3.34917997323489,0.99959474435543,2,11.5
DB00753,2.62331081081081,2.01772687260527,0.97819014273798,4,50.75
DB00794,3.0472972972973,3.15593455449332,0.999200076234326,2,11.5
DB00801,3.0472972972973,3.12252109385375,0.999103453721229,2,11.5
DB00818,3.0472972972973,2.77061781129296,0.997202497210555,2,11.5
DB00829,3.0472972972973,3.6696546625664,0.99987856082211,2,11.5
DB00842,3.0472972972973,2.60489711117454,0.995404907349446,2,11.5
DB00897,3.0472972972973,3.13364601033073,0.999136755007174,2,11.5
DB00898,3.0472972972973,3.23244475248057,0.999386320667951,2,11.5
DB01028,2.86486486486486,2.77428950839948,0.997233878907896,3,10.6666666666667
DB01043,3.0472972972973,3.06670703673333,0.998917845666812,2,11.5
DB01068,3.0472972972973,3.26286682635998,0.999448543329339,2,11.5
DB01107,3.0472972972973,2.89437525764166,0.998100430855606,2,11.5
DB01159,2.71396396396396,2.2938666249312,0.989100919492444,3,18.6666666666667
DB01189,2.59797297297297,1.88182601234566,0.97007017862722,6,22.5
DB01205,3.0472972972973,3.30479234065371,0.99952476602994,2,11.5
DB01215,3.0472972972973,3.37866602791836,0.999635807823068,2,11.5
DB01236,2.86486486486486,3.10658573964611,0.999053692923384,3,10.6666666666667
DB01437,3.0472972972973,3.87479152817838,0.999946641990732,2,11.5
DB01489,3.0472972972973,3.64253431253013,0.999865016510846,2,11.5
DB01511,3.0472972972973,2.99612139928506,0.998632812246356,2,11.5
DB01544,3.0472972972973,3.77873869535902,0.999921187641006,2,11.5
DB01545,3.0472972972973,3.45451233554591,0.999724355501993,2,11.5
DB01553,3.0472972972973,3.27509886450899,0.999471874990748,2,11.5
DB01558,3.0472972972973,3.53793416418553,0.999798364702495,2,11.5
DB01559,3.0472972972973,3.22136737165076,0.999362097518342,2,11.5
DB01567,3.0472972972973,2.85484444788226,0.997847104385405,2,11.5
DB01587,3.0472972972973,3.35410238318357,0.999601885521093,2,11.5
DB01588,3.0472972972973,3.33194969137747,0.99956880077692,2,11.5
DB01589,3.0472972972973,3.18136801268994,0.999267093512309,2,11.5
DB01594,3.0472972972973,3.12438405790131,0.999109111372342,2,11.5
DB01595,3.0472972972973,3.27718060756939,0.99947575360629,2,11.5
DB01708,3.0472972972973,3.13002734818835,0.99912604985173,2,11.5
DB01956,3.0472972972973,3.08866704829646,0.998994716870933,2,11.5
DB09017,3.0472972972973,3.19784224732778,0.999307699992353,2,11.5
DB09118,2.48817567567568,0.483794377769117,0.685734097228729,4,76.25
DB09166,3.0472972972973,3.04269666541829,0.998827657247571,2,11.5
