,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09130,1.92028985507246,-11.8381581442101,1.23917975152647e-32,69,195.36231884058
DB03247,2.04054054054054,-1.67725871772161,0.0467459507069464,2,64.5
DB07837,1.97297297297297,-1.48805757376628,0.068367855434218,1,108
DB08191,1.97297297297297,-1.55524541717212,0.0599438157081537,1,108
DB04472,2.15540540540541,-0.620146505224095,0.267580668489463,1,55
DB00514,1.88851351351351,-2.44787733309778,0.00718502848146439,2,203.5
DB00540,2.06081081081081,-1.02096908998585,0.153634541747733,1,42
DB01104,2.06081081081081,-1.08475868266253,0.13901427475076,1,42
DB11638,1.88788006756757,-11.9952765812104,1.88079271292284e-33,64,221.984375
DB04216,1.87668918918919,-5.5497318975749,1.43054006768727e-08,12,256.25
DB01064,1.83378378378378,-4.19626907321962,1.35673928056202e-05,5,290.6
DB05210,1.83108108108108,-4.2498636123649,1.06950358935068e-05,5,253.4
DB00157,2.14324324324324,-5.03901349568313,2.33968746062652e-07,55,67.7636363636364
DB00186,3.01351351351351,3.27961613810776,0.999480257921274,2,11
DB00189,3.01351351351351,3.10114553940364,0.999036132419055,2,11
DB00228,2.84684684684685,3.10001552622804,0.999032447506939,3,10
DB00231,3.01351351351351,2.82495207983812,0.997635615618828,2,11
DB00237,3.01351351351351,3.24467852451877,0.999412083568607,2,11
DB00241,3.01351351351351,3.70620090977034,0.999894804287142,2,11
DB00252,3.01351351351351,3.21094566149865,0.999338505255672,2,11
DB00292,3.01351351351351,3.06962837889007,0.99892837364549,2,11
DB00306,3.01351351351351,2.56329663250352,0.994815828865049,2,11
DB00312,3.01351351351351,3.36344877618308,0.999615124401208,2,11
DB00349,3.01351351351351,3.04439066713378,0.998834239205894,2,11
DB00371,3.01351351351351,2.95331248030254,0.99842808225797,2,11
DB00402,3.01351351351351,2.84157758844505,0.997755453644671,2,11
DB00404,3.01351351351351,3.03200044387344,0.998785305766707,2,11
DB00463,3.01351351351351,3.32341691019958,0.999555390456581,2,11
DB00475,3.01351351351351,3.18755715723486,0.999282599515245,2,11
DB00543,3.01351351351351,3.79206534205929,0.999925300205094,2,11
DB00546,3.01351351351351,3.24885068405681,0.999420638580049,2,11
DB00555,3.01351351351351,3.62678400710878,0.999856513425255,2,11
DB00603,3.01351351351351,3.29569158325664,0.999509101326106,2,11
DB00628,3.01351351351351,3.26886198056938,0.999460095202259,2,11
DB00659,3.01351351351351,3.52679695899846,0.99978969040662,2,11
DB00683,3.01351351351351,2.8643092231739,0.997910400929954,2,11
DB00690,3.01351351351351,3.11754027997455,0.99908816487836,2,11
DB00753,2.61655405405405,1.71791424376851,0.957093870818835,4,50.25
DB00794,3.01351351351351,2.90156953300593,0.998143508161796,2,11
DB00801,3.01351351351351,3.36693066576538,0.999619951019916,2,11
DB00818,3.01351351351351,3.23140258499722,0.999384078474657,2,11
DB00829,3.01351351351351,3.14259056204669,0.99916270049334,2,11
DB00842,3.01351351351351,2.7801806554273,0.997283566727437,2,11
DB00897,3.01351351351351,2.63167429611851,0.99575173635245,2,11
DB00898,3.01351351351351,2.72671863376525,0.996801622039173,2,11
DB01028,2.84684684684685,2.60398164651082,0.995392615441009,3,10
DB01043,3.01351351351351,2.75578522335379,0.997072428493362,2,11
DB01068,3.01351351351351,3.40526095954122,0.999669495725683,2,11
DB01107,3.01351351351351,3.26200481835378,0.999446863684146,2,11
DB01159,2.7027027027027,2.50534641285392,0.99388342425529,3,17
DB01189,2.59121621621622,2.27112483795532,0.988430289105148,6,21.6666666666667
DB01205,3.01351351351351,3.1970275483465,0.999305741675304,2,11
DB01215,3.01351351351351,3.16801584009484,0.999232584211276,2,11
DB01236,2.84684684684685,3.02473590668631,0.998755748417978,3,10
DB01437,3.01351351351351,2.83998299268575,0.99774420304505,2,11
DB01489,3.01351351351351,2.67622651481435,0.996277184776264,2,11
DB01511,3.01351351351351,2.8236015972504,0.997625631362886,2,11
DB01544,3.01351351351351,3.16836012816009,0.999233492523288,2,11
DB01545,3.01351351351351,3.24347552995325,0.999409595234731,2,11
DB01553,3.01351351351351,2.92220010935762,0.998262159235588,2,11
DB01558,3.01351351351351,2.97638413065554,0.998541653620864,2,11
DB01559,3.01351351351351,2.96034403031474,0.998463521622616,2,11
DB01567,3.01351351351351,3.97473675224335,0.999964771427996,2,11
DB01587,3.01351351351351,2.76141148900081,0.997122394302046,2,11
DB01588,3.01351351351351,3.0566513948989,0.998880877910963,2,11
DB01589,3.01351351351351,3.07753850023264,0.998956410624269,2,11
DB01594,3.01351351351351,2.980361653258,0.99856045872926,2,11
DB01595,3.01351351351351,2.88749301535055,0.998058373862018,2,11
DB01708,3.01351351351351,2.81741139537047,0.997579376476835,2,11
DB01956,3.01351351351351,3.02713000791971,0.998765561255259,2,11
DB09017,3.01351351351351,3.34977002287567,0.999595606594161,2,11
DB09118,2.47635135135135,0.482418013368103,0.685245486352804,4,75
DB09166,3.01351351351351,2.57274205901845,0.994955181340862,2,11
DB11582,3.01351351351351,3.49179212194431,0.999760104251681,2,11
DB11859,3.01351351351351,2.46865828234736,0.993218967060745,2,11
DB11901,3.01351351351351,3.38139781875822,0.999639409751816,2,11
DB12404,3.01351351351351,3.04720436667029,0.99884509694815,2,11
DB12537,3.01351351351351,3.17229488211768,0.999243803228463,2,11
DB13335,3.01351351351351,3.00467710095854,0.998670685351974,2,11
DB13437,3.01351351351351,3.46341097168341,0.999733313467012,2,11
DB13643,3.01351351351351,3.24007710541806,0.999402513092571,2,11
