,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09130,1.91934523809524,-10.367706513533,1.73885628656983e-25,70,186.728571428571
DB03247,2.04513888888889,-1.60968269087496,0.053733572799462,2,62.5
DB07837,1.95833333333333,-1.58902320383777,0.0560275770726346,1,104
DB08191,1.95833333333333,-1.40648232039038,0.0797904754225604,1,104
DB04472,2.17361111111111,-0.818835369021148,0.206440174245889,1,65
DB00514,1.9537037037037,-2.92324071186454,0.00173204301583489,3,145
DB00540,2.02083333333333,-1.26514673195012,0.102909366704605,1,42
DB01104,2.02083333333333,-1.228321631673,0.109663126864553,1,42
DB11638,1.87116500829187,-14.0090731269676,6.85918350879835e-45,67,216.313432835821
DB04216,1.85227272727273,-5.73828923188917,4.78188433220643e-09,11,260.454545454545
DB01064,1.82777777777778,-4.27322072879987,9.63347786494466e-06,5,282
DB05210,1.8375,-4.11234532176357,1.95829937478331e-05,5,247.4
DB00157,2.15625,-4.69510843220766,1.33232669178519e-06,48,60.2083333333333
DB00186,3.13888888888889,4.16613751145221,0.999984509806411,2,10.5
DB00189,3.13888888888889,3.54546301825583,0.999804038010683,2,10.5
DB00228,2.92824074074074,2.99039030608826,0.998606894092704,3,10
DB00231,3.13888888888889,3.36740279567428,0.999620601145223,2,10.5
DB00237,3.13888888888889,3.92727584810424,0.999957043286594,2,10.5
DB00241,3.13888888888889,4.0925062078054,0.999978663209177,2,10.5
DB00252,3.13888888888889,3.39598234349348,0.999658086147025,2,10.5
DB00292,3.13888888888889,3.61690836284776,0.99985092860279,2,10.5
DB00306,3.13888888888889,3.06586375777658,0.998914789056808,2,10.5
DB00312,3.13888888888889,3.89579789005064,0.999951062008598,2,10.5
DB00349,3.13888888888889,3.23337793832671,0.999388321990625,2,10.5
DB00371,3.13888888888889,4.37709491794899,0.999993986419665,2,10.5
DB00402,3.13888888888889,3.391105653571,0.999651943698614,2,10.5
DB00404,3.13888888888889,3.34976122196901,0.999595593745924,2,10.5
DB00463,3.13888888888889,3.47459773023297,0.999744190021329,2,10.5
DB00475,3.13888888888889,4.05727311266597,0.999975175494604,2,10.5
DB00543,3.13888888888889,3.5247438581762,0.999788053772916,2,10.5
DB00546,3.13888888888889,3.8280206644396,0.999935411043389,2,10.5
DB00555,3.13888888888889,4.32949765984814,0.999992527507073,2,10.5
DB00603,3.13888888888889,3.59127385979471,0.999835467183564,2,10.5
DB00628,3.13888888888889,3.5359200540217,0.999796821176362,2,10.5
DB00659,3.13888888888889,3.76604697775907,0.999917073700574,2,10.5
DB00683,3.13888888888889,3.8695275224235,0.999945476764225,2,10.5
DB00690,3.13888888888889,3.99658687830262,0.999967868847894,2,10.5
DB00753,2.68055555555556,2.00286075500704,0.977403881753622,4,47.25
DB00794,3.13888888888889,4.16921039280784,0.999984717163226,2,10.5
DB00801,3.13888888888889,3.7539458167182,0.999912963746509,2,10.5
DB00818,3.13888888888889,3.64518603060769,0.999866400776283,2,10.5
DB00829,3.13888888888889,3.50841108246398,0.999774604051495,2,10.5
DB00842,3.13888888888889,4.01810321720801,0.999970665750609,2,10.5
DB00897,3.13888888888889,3.5534559153521,0.999809897542182,2,10.5
DB00898,3.13888888888889,3.16056952708339,0.999212694899589,2,10.5
DB01028,2.92824074074074,3.23526388996714,0.999392348238133,3,10
DB01043,3.13888888888889,3.73504121589641,0.999906157776911,2,10.5
DB01068,3.13888888888889,3.17075776872387,0.999239790649132,2,10.5
DB01107,3.13888888888889,3.83318937898769,0.999936753751525,2,10.5
DB01159,2.78472222222222,2.60228720066217,0.995369786735044,3,18
DB01189,2.63888888888889,2.16611801300506,0.984848914967501,6,22
DB01205,3.13888888888889,3.52536958663484,0.999788553829364,2,10.5
DB01215,3.13888888888889,3.21896560209873,0.999356730413245,2,10.5
DB01236,2.92824074074074,3.22630032811811,0.999372991520981,3,10
DB01437,3.13888888888889,3.62009290954603,0.999852751374725,2,10.5
DB01489,3.13888888888889,3.65689336927607,0.999872354742549,2,10.5
DB01511,3.13888888888889,3.9360420474008,0.999958581767238,2,10.5
DB01544,3.13888888888889,3.61544652053221,0.999850084815062,2,10.5
DB01545,3.13888888888889,3.39350038306026,0.999654972689881,2,10.5
DB01553,3.13888888888889,3.87632627868578,0.999946977269666,2,10.5
DB01558,3.13888888888889,3.29285569075454,0.999504123181002,2,10.5
DB01559,3.13888888888889,3.42570843134404,0.999693400876024,2,10.5
