,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09130,1.88248847926267,-4.17806522260417,1.46999677859385e-05,62,85.9838709677419
DB11638,1.80680272108844,-5.29305320630412,6.01454517473878e-08,63,104.206349206349
DB00147,2,-0.37552340146305,0.353635622935244,1,12
DB00165,2,-0.411019298731303,0.340529191863369,1,12
DB03909,1.91428571428571,-0.969390160588906,0.166175279861851,2,42
DB04770,2,-0.375348487251115,0.353700655037429,1,12
DB04776,2,-0.387941940599185,0.349029499918515,1,12
DB00143,2.08888888888889,-0.24192406908629,0.404419499785964,9,22.1111111111111
DB11942,1.65714285714286,-1.57337359121531,0.0578161691354542,1,232
DB08235,1.93333333333333,-1.59872202377381,0.0549411908762404,6,57.3333333333333
DB08236,1.93333333333333,-1.28799913922168,0.0988731314099641,6,57.3333333333333
DB00157,2.05161290322581,-0.821481869628753,0.205685923541655,31,44.6774193548387
DB12695,1.78201058201058,-4.61064541939266,2.00710360981847e-06,27,128.814814814815
DB00174,1.74285714285714,-1.59365736431327,0.0555063992871292,1,80
DB00605,2.68571428571429,2.15312794172516,0.984345687584193,1,9
DB02021,2.68571428571429,2.29439989671513,0.989116230454037,1,9
DB02383,2.31428571428571,0.921120611476377,0.821506269870911,2,18
DB03461,2.13877551020408,0.444839292237715,0.671782051595092,14,21.7857142857143
DB06246,2.38571428571429,1.4695056861444,0.929152159660684,2,14.5
DB08772,2.68571428571429,1.86284253273387,0.968757787998017,1,9
DB02547,2.51428571428571,1.19771857479544,0.884486702217881,1,8
DB04315,1.95238095238095,-1.65460413212249,0.0490024123907845,9,68.4444444444444
DB01271,1.97142857142857,-0.469471518010145,0.319366319372503,1,30
DB01279,1.97142857142857,-0.59767766958251,0.275027514081338,1,30
DB01133,1.91428571428571,-1.02412435989797,0.15288826992664,2,55.5
DB01969,1.91428571428571,-0.693439921877443,0.244016758090563,1,34
DB01992,1.93333333333333,-1.17052902925048,0.120894069513191,3,31.6666666666667
DB02637,1.91428571428571,-0.763238607616833,0.222660553903819,1,34
DB03182,1.91428571428571,-0.755142613304941,0.225081708490433,1,34
DB03499,1.91428571428571,-0.774046333575417,0.219451695949397,1,34
DB04230,1.91428571428571,-0.787534911438201,0.2154843999569,1,34
DB04272,1.97142857142857,-0.875567848622619,0.190632505177902,3,32
DB14017,1.82857142857143,-1.10511919627153,0.134553971848019,1,90
DB01727,1.8952380952381,-1.49445289973122,0.0675286419319362,3,33
DB14568,1.85714285714286,-0.896872527014583,0.184893470689165,1,43
DB00155,2.04761904761905,-0.326787205991777,0.371914418393359,3,23
DB00213,2.17142857142857,0.238001524650279,0.594060044161035,1,5
DB00736,2.17142857142857,0.390011094963784,0.651735828642373,1,5
DB05351,2.17142857142857,0.155827709204804,0.561915585682934,1,5
DB03147,1.97551020408163,-1.1737146371916,0.120254672698402,7,53.7142857142857
DB05282,1.74285714285714,-1.33047323098844,0.0916812002435864,1,128
DB04009,2.11428571428571,-0.0386527114594711,0.484583637998834,1,7
DB11136,2.11428571428571,0.197670689103473,0.578348638054415,1,7
DB14526,2.11428571428571,-0.0150861847790154,0.493981711329268,1,7
DB14527,2.11428571428571,-0.00163609195534195,0.499347294035583,1,7
DB14528,2.11428571428571,0.129468581909094,0.551506558153658,1,7
DB14529,2.11428571428571,0.0481601176440075,0.519205682603596,1,7
DB14530,2.11428571428571,0.0939938161611332,0.537442965510953,1,7
DB01213,2.88571428571429,2.86765804850973,0.997932388969631,1,8
DB01711,2.88571428571429,3.51061912909563,0.999776467780186,1,8
DB02131,2.88571428571429,3.54252278917913,0.999801840411345,1,8
DB02249,2.88571428571429,3.28028785992551,0.999481493900295,1,8
DB02659,2.13809523809524,0.296858354452969,0.616712674010738,7,23.1428571428571
DB02721,2.88571428571429,2.75515953987167,0.99706682386822,1,8
DB02757,2.88571428571429,3.31132887132983,0.999535729934876,1,8
DB02822,2.88571428571429,4.83799749011963,0.999999344231013,1,8
DB02871,2.88571428571429,3.04192589161955,0.998824651195369,1,8
DB03020,2.88571428571429,2.75427949142767,0.997058924373244,1,8
DB03061,2.88571428571429,3.54392699549982,0.999802892806454,1,8
DB03226,2.88571428571429,3.1681442096091,0.99923292299576,1,8
DB03559,2.88571428571429,2.38799155674188,0.991529634513068,1,8
DB04071,2.88571428571429,2.63015949110327,0.995732759077856,1,8
DB04113,2.88571428571429,2.28642273655953,0.988885230275829,1,8
DB04312,2.88571428571429,4.1359650355758,0.999982326699377,1,8
DB04448,2.88571428571429,3.10241670827004,0.999040262227814,1,8
DB02483,1.85714285714286,-0.968981918804172,0.166277105333463,1,75
DB02701,1.85714285714286,-0.823296621926422,0.205169667086119,1,75
DB03940,1.85714285714286,-1.349115382334,0.0886499540950239,2,83
DB09118,1.85714285714286,-1.39196170196706,0.0819669977987975,2,83
DB00162,2.31428571428571,0.763172308683738,0.777319679489433,1,14
DB00755,2.31428571428571,0.836624934879825,0.798598287419621,1,14
DB04447,1.95714285714286,-0.959330522383107,0.168696131857421,4,50
DB04464,1.99047619047619,-1.01548916373612,0.154936354708606,6,30.6666666666667
DB05412,1.94285714285714,-0.545995110249075,0.292534649196554,1,28
DB00988,1.71428571428571,-1.46823936374253,0.0710196076178709,1,195
DB01064,1.71428571428571,-1.28528852979854,0.09934573844809,1,195
DB01593,2.03809523809524,-0.909072247199273,0.181655995473484,21,56.0952380952381
DB01629,1.71428571428571,-1.42576505066183,0.0769680861468515,1,195
