,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB11638,1.811981567,-5.461176743,2.36E-08,62,104.7096774
DB09130,1.867980296,-4.374643175,6.08E-06,58,90.79310345
DB00157,2.085714286,-0.071687354,0.47142536,32,40.59375
DB12695,1.784615385,-4.263652371,1.01E-05,26,126.3076923
DB01593,1.929323308,-2.105869464,0.017607846,19,66.42105263
DB14487,1.929323308,-2.220399506,0.01319583,19,66.42105263
DB14533,1.9375,-2.080577913,0.018736279,16,68.4375
DB14548,1.9375,-1.823863131,0.034086383,16,68.4375
DB03461,2.210989011,1.376431744,0.915655997,13,20.76923077
DB00143,2.107936508,0.156196404,0.562060894,9,22.22222222
DB04216,1.812698413,-3.102432414,0.000959687,9,122.5555556
DB04315,1.903571429,-1.696469469,0.044898504,8,86.25
DB11093,2.1,0.169887947,0.56745087,8,32.75
DB11348,2.1,0.097400195,0.538795705,8,32.75
DB14481,2.1,0.057404006,0.522888314,8,32.75
DB03147,2.012244898,-0.701209209,0.241586232,7,54.28571429
DB02659,2.142857143,0.379357654,0.647788854,7,24.14285714
DB08235,1.871428571,-2.002020104,0.022641285,6,56.83333333
DB08236,1.871428571,-2.125941754,0.016754055,6,56.83333333
DB01373,2,-1.054803516,0.145757598,6,38.66666667
DB04141,1.904761905,-1.773124633,0.038104029,6,65.66666667
DB02494,1.7,-3.756673987,8.61E-05,6,129
DB07374,1.7,-4.306537781,8.29E-06,6,129
DB08437,1.7,-3.802798897,7.15E-05,6,129
DB04464,1.982857143,-0.874211671,0.191001496,5,32.2
DB09061,1.925714286,-1.478072938,0.069694128,5,77.6
DB14009,1.931428571,-1.407801619,0.07959491,5,79
DB14011,1.931428571,-1.464031572,0.071592661,5,79
DB09092,1.862857143,-1.986715297,0.023476978,5,88.6
DB04799,1.92,-1.205047231,0.114092535,5,59.4
DB07401,1.92,-1.406554496,0.079779767,5,59.4
DB07763,1.92,-1.358523766,0.087148773,5,59.4
DB07778,1.92,-1.38847879,0.082495649,5,59.4
DB08330,1.92,-1.347109139,0.088972543,5,59.4
DB08453,1.92,-1.30924552,0.095225599,5,59.4
DB08690,1.92,-1.453494591,0.07304324,5,59.4
DB03366,2.042857143,-0.305389068,0.380034923,4,26.75
DB00591,1.964285714,-0.944028706,0.17257749,4,29
DB03310,2.121428571,0.192442181,0.576302073,4,23.75
DB00142,2.064285714,-0.231448943,0.408483023,4,43.5
DB00172,2.342857143,1.878862852,0.969868389,4,62.5
DB00025,1.857142857,-1.795332713,0.036300353,4,116
DB13998,1.857142857,-1.831975392,0.033477543,4,116
DB13999,1.857142857,-1.644711924,0.050014616,4,116
DB02709,2.164285714,0.675626307,0.750361032,4,36
DB01992,1.99047619,-0.857045411,0.195709894,3,34
DB04272,1.980952381,-0.800791459,0.211626192,3,33.33333333
DB01727,2.00952381,-0.562198273,0.286990469,3,33.33333333
DB00155,2.00952381,-0.594725177,0.276013595,3,23
DB04447,2.076190476,0.011957202,0.50477012,3,42
DB00128,2.047619048,-0.302728019,0.381048572,3,34
DB01915,2.095238095,0.032109448,0.512807616,3,21
DB07384,1.780952381,-2.663584498,0.00386565,3,131.3333333
DB07394,1.780952381,-1.95027772,0.025571513,3,131.3333333
DB08399,1.780952381,-2.201647838,0.013845097,3,131.3333333
DB08629,1.780952381,-1.793902891,0.036414335,3,131.3333333
DB05147,1.676190476,-2.912181572,0.00179457,3,150.6666667
DB02424,1.752380952,-2.188362935,0.014321588,3,180
DB07636,1.914285714,-1.213968906,0.112379799,3,56
DB03814,2.066666667,-0.25677831,0.398674957,3,37.33333333
DB00116,1.914285714,-1.165635507,0.121880923,3,50.66666667
DB01189,2.019047619,-0.356495319,0.360734828,3,24
DB04395,1.866666667,-1.462079974,0.071859648,3,114.3333333
DB01375,1.895238095,-1.329348139,0.09186657,3,78.33333333
DB00151,2.114285714,0.341049217,0.633466735,3,14
DB03909,1.957142857,-0.813745224,0.20789546,2,42
DB02383,2.414285714,1.768734289,0.961530886,2,17.5
DB06246,2.485714286,2.650407622,0.995980265,2,13.5
DB01133,1.928571429,-0.837128574,0.20126015,2,54.5
DB02701,1.842857143,-1.464264739,0.071560814,2,105.5
DB03940,1.928571429,-0.889924877,0.186753112,2,82
DB09118,1.928571429,-0.901212209,0.18373775,2,82
DB03382,1.828571429,-1.632338728,0.051304074,2,103.5
DB12965,2.314285714,1.606478589,0.945915602,2,5
DB04510,1.9,-1.292577802,0.098078561,2,66.5
DB01717,2.128571429,0.241482565,0.595409436,2,18
DB00171,1.971428571,-0.604036758,0.272909602,2,39.5
DB02073,2.171428571,0.42320162,0.663925918,2,6.5
DB02379,2.128571429,0.111541474,0.54440651,2,12.5
DB04326,1.828571429,-1.477576691,0.069760559,2,74.5
DB02059,1.685714286,-2.369754437,0.008899952,2,164.5
DB00903,2.085714286,-0.025751226,0.489727882,2,42.5
DB06157,1.971428571,-0.694339001,0.243734819,2,44
DB02007,2.014285714,-0.3326451,0.369701098,2,42
DB02076,1.971428571,-0.583757044,0.279691891,2,50.5
DB04493,2.014285714,-0.366661083,0.35693592,2,41
DB01873,1.628571429,-3.046171905,0.001158876,2,171
DB03010,1.628571429,-2.316144376,0.010275194,2,171
DB04126,2.014285714,-0.433612145,0.332285057,2,15.5
DB00615,1.814285714,-1.52078195,0.064157283,2,165.5
DB02754,1.642857143,-2.553999804,0.005324666,2,227.5
DB05134,1.642857143,-2.505975813,0.006105699,2,227.5
DB06070,1.642857143,-2.211411583,0.013503674,2,227.5
DB07594,1.642857143,-2.840186702,0.002254357,2,227.5
DB07877,1.642857143,-2.76658421,0.002832348,2,227.5
DB09221,1.642857143,-2.409935501,0.00797767,2,227.5
DB03758,1.8,-1.784518751,0.037169705,2,147
DB08464,1.8,-1.516973316,0.064636711,2,147
DB08465,1.8,-1.592970537,0.0555834,2,147
DB02633,2.142857143,0.385195714,0.649953791,2,12.5
DB11672,2.242857143,0.653135258,0.743165458,2,17
DB14635,2.242857143,0.853995385,0.803446227,2,17
DB00131,2,-0.517444472,0.302422961,2,35
DB12893,2.357142857,1.683502751,0.953861096,2,23.5
DB11781,2.014285714,-0.368612848,0.356208159,2,20.5
DB01196,2,-0.520148416,0.301480068,2,20.5
DB01229,2.042857143,-0.330651632,0.370453821,2,27
DB01248,2.042857143,-0.277362486,0.390750892,2,27
DB00114,1.957142857,-0.82720212,0.204061255,2,34.5
DB00630,1.971428571,-0.66280568,0.253727508,2,55
DB06255,2.042857143,-0.228013747,0.409817777,2,37.5
DB02726,1.885714286,-0.982196594,0.163001503,2,74
DB00266,2.1,-0.014062371,0.494390111,2,10.5
DB01698,2.642857143,3.161537074,0.999215306,2,10
DB03247,2.057142857,-0.123965296,0.450671376,2,12
DB04820,2.242857143,0.97417213,0.83501446,2,9
DB00118,2.071428571,-0.000618345,0.499753316,2,17.5
DB01752,1.957142857,-0.75258506,0.225849649,2,42.5
DB04795,1.828571429,-1.632806334,0.051254867,2,48.5
DB07821,2.028571429,-0.284823796,0.38788957,2,8
DB04147,1.857142857,-1.384031878,0.083174347,2,83.5
DB00031,1.942857143,-0.738377722,0.230142474,2,83
DB06245,1.942857143,-0.923137312,0.177967826,2,83
DB03059,2,-0.481492667,0.315083195,2,29
DB09568,2,-0.4009469,0.344229609,2,29
DB04444,2.1,-0.084164178,0.466462949,2,8
DB02506,1.871428571,-1.252293938,0.105231389,2,117.5
DB06905,1.871428571,-1.287475494,0.098964303,2,117.5
DB01972,1.928571429,-0.870437392,0.19203071,2,54
DB15495,1.857142857,-1.458683767,0.072326083,2,86.5
DB15496,1.857142857,-1.186188715,0.117773891,2,86.5
DB03401,1.842857143,-1.430098283,0.076344406,2,72.5
DB06098,1.928571429,-1.000077717,0.158636449,2,55
DB00147,2.057142857,-0.155305943,0.438290065,1,11
DB00165,2.057142857,-0.162257668,0.435551474,1,11
DB04770,2.057142857,-0.035239633,0.48594433,1,11
DB04776,2.057142857,-0.277263805,0.390788775,1,11
DB11942,1.685714286,-1.536177208,0.062247462,1,227
DB02661,2.057142857,-0.110106881,0.456162305,1,22
DB03708,2.057142857,0.098840568,0.539367571,1,22
DB09462,2.057142857,-0.192550365,0.42365556,1,22
DB00174,1.971428571,-0.448954602,0.326732203,1,82
DB00605,2.771428571,2.760581035,0.997115068,1,9
DB02021,2.771428571,2.104567084,0.982335495,1,9
DB08772,2.771428571,3.601131245,0.999841582,1,9
DB02547,2.657142857,2.767166168,0.997172704,1,8
DB01271,2,-0.250088297,0.401259533,1,28
DB01279,2,-0.211392659,0.416290442,1,28
DB01969,1.971428571,-0.525831152,0.299502764,1,37
DB02637,1.971428571,-0.404636907,0.342872213,1,37
DB03182,1.971428571,-0.532792972,0.29708845,1,37
DB03499,1.971428571,-0.386920845,0.349407404,1,37
DB04230,1.971428571,-0.542422119,0.293763873,1,37
DB14017,1.8,-1.250470814,0.105563805,1,97
DB14568,2,-0.431743075,0.332964078,1,44
DB00213,2.028571429,-0.277599726,0.390659821,1,5
DB00736,2.028571429,-0.159970747,0.436452059,1,5
DB05351,2.028571429,-0.314989435,0.376384838,1,5
DB05282,1.885714286,-0.846383589,0.198669395,1,129
DB04009,2.171428571,0.419364981,0.662525293,1,8
DB11136,2.171428571,0.265227664,0.604582957,1,8
DB14526,2.171428571,0.295461389,0.616179278,1,8
DB14527,2.171428571,0.45814148,0.6765746,1,8
DB14528,2.171428571,0.234009915,0.592511359,1,8
DB14529,2.171428571,0.310233596,0.621808338,1,8
DB14530,2.171428571,0.463370961,0.678450755,1,8
DB01213,2.942857143,3.430731881,0.999699022,1,8
DB01711,2.942857143,2.225120115,0.986963412,1,8
DB02131,2.942857143,3.720960181,0.999900767,1,8
DB02249,2.942857143,2.985012839,0.998582168,1,8
DB02721,2.942857143,3.310979202,0.999535149,1,8
DB02757,2.942857143,3.453987773,0.999723819,1,8
DB02822,2.942857143,4.522124181,0.999996939,1,8
DB02871,2.942857143,3.069995863,0.998929691,1,8
DB03020,2.942857143,3.593613073,0.999836938,1,8
DB03061,2.942857143,3.812686875,0.999931268,1,8
DB03226,2.942857143,2.85436162,0.997843829,1,8
DB03559,2.942857143,2.642107766,0.995880408,1,8
DB04071,2.942857143,4.4367301,0.999995433,1,8
DB04113,2.942857143,2.672051535,0.996230547,1,8
DB04312,2.942857143,3.200147753,0.999313214,1,8
DB04448,2.942857143,2.056886479,0.980151427,1,8
DB02483,1.885714286,-0.728035682,0.233295872,1,76
DB00162,2.4,1.084743494,0.860982361,1,13
DB00755,2.4,1.01478397,0.844895592,1,13
DB05412,2,-0.31639148,0.375852691,1,28
DB00988,1.628571429,-1.886084646,0.029641775,1,196
DB01064,1.628571429,-1.738344273,0.041075085,1,196
DB01629,1.628571429,-1.604725282,0.054277138,1,196
DB05025,1.628571429,-2.198309559,0.013963527,1,196
DB01592,2.228571429,0.418020796,0.662034044,1,5
DB14488,2.228571429,0.402725416,0.656424883,1,5
DB14489,2.228571429,0.450896116,0.673967789,1,5
DB14490,2.228571429,0.763674001,0.777469231,1,5
DB14491,2.228571429,0.453834688,0.675026093,1,5
DB14501,2.228571429,0.532598389,0.702844191,1,5
DB00125,1.971428571,-0.213661353,0.415405576,1,47
DB00028,2.057142857,-0.153063222,0.439174209,1,17
DB06492,2.057142857,-0.060911365,0.475714899,1,17
DB01710,2.228571429,0.480895505,0.684704616,1,4
DB01826,2.228571429,0.481364019,0.684871098,1,4
DB02396,2.228571429,0.552869623,0.709823655,1,4
DB02528,2.228571429,0.830500834,0.796872162,1,4
DB02646,2.228571429,0.556012405,0.710898813,1,4
DB02671,2.228571429,0.459312194,0.676995004,1,4
DB03385,2.228571429,0.546559798,0.707659403,1,4
DB03399,2.228571429,0.513978081,0.696366342,1,4
DB04050,2.228571429,0.485272308,0.686258402,1,4
DB04337,2.228571429,0.560039011,0.712273586,1,4
DB09112,2.228571429,0.412284525,0.659934555,1,4
DB11588,2.228571429,0.501269413,0.691909236,1,4
DB02512,1.714285714,-1.443743433,0.07440558,1,89
DB04733,1.714285714,-1.567627589,0.058484035,1,89
DB08240,1.714285714,-1.730268875,0.041791124,1,89
DB09131,1.971428571,-0.509118298,0.305334653,1,18
DB00288,1.885714286,-0.933360292,0.175316988,1,45
DB00741,1.885714286,-0.833925799,0.202161399,1,45
DB00959,1.885714286,-0.861964858,0.194353428,1,45
DB01013,1.885714286,-0.776372197,0.218764628,1,45
DB01222,1.885714286,-0.932058309,0.175653196,1,45
DB01234,1.885714286,-0.899769559,0.184121449,1,45
DB14538,1.885714286,-0.709590434,0.238979077,1,45
DB14539,1.885714286,-0.862022769,0.194337494,1,45
DB14540,1.885714286,-0.802875074,0.211023472,1,45
DB14541,1.885714286,-0.654713098,0.256326245,1,45
DB14542,1.885714286,-0.798244223,0.212364389,1,45
DB14543,1.885714286,-0.79835588,0.212331999,1,45
DB14544,1.885714286,-0.875265783,0.190714654,1,45
DB14631,1.885714286,-0.795936727,0.213034406,1,45
DB14649,1.885714286,-0.763165001,0.222682499,1,45
DB14669,1.885714286,-0.878537718,0.189825989,1,45
DB03893,1.657142857,-1.726061971,0.042168132,1,172
DB07347,1.657142857,-1.963611667,0.024787572,1,172
DB02570,1.857142857,-0.876247992,0.190447616,1,41
DB06094,1.742857143,-1.243952001,0.106758614,1,112
DB00390,1.971428571,-0.345553679,0.364839081,1,67
DB00511,1.971428571,-0.442546755,0.329046802,1,67
DB00774,1.971428571,-0.509714809,0.305125638,1,67
DB01021,1.971428571,-0.342506202,0.365984989,1,67
DB01078,1.971428571,-0.521214332,0.301108736,1,67
DB01092,1.971428571,-0.724420522,0.234403802,1,67
DB01119,1.971428571,-0.40749231,0.341823221,1,67
DB01158,1.971428571,-0.364759272,0.357645555,1,67
DB01188,1.971428571,-0.401791712,0.343918661,1,67
DB01244,1.971428571,-0.601241009,0.273839737,1,67
DB01345,1.971428571,-0.470708609,0.318924418,1,67
DB01370,1.971428571,-0.711767943,0.238304243,1,67
DB01378,1.971428571,-0.481164953,0.315199634,1,67
DB01396,1.971428571,-0.380555498,0.351766554,1,67
DB01430,1.971428571,-0.504989532,0.306783094,1,67
DB13996,1.971428571,-0.397481422,0.345506242,1,67
DB14498,1.971428571,-0.614241599,0.269527844,1,67
DB14499,1.971428571,-0.568540694,0.284833941,1,67
DB14500,1.971428571,-0.417743452,0.338067349,1,67
DB14514,1.971428571,-0.446158983,0.327741204,1,67
DB14515,1.971428571,-0.52901913,0.29839609,1,67
DB14517,1.971428571,-0.545281627,0.292779919,1,67
DB14518,1.971428571,-0.555876349,0.289147694,1,67
DB00536,2.085714286,-0.039080964,0.484412919,1,25
DB00822,2.085714286,-0.062218629,0.475194364,1,25
DB02115,2.085714286,0.028755429,0.511470176,1,25
DB04381,2.085714286,0.019982664,0.507971399,1,25
DB02621,1.885714286,-0.785378575,0.216115819,1,59
DB02093,2,-0.361662931,0.358801966,1,63
DB02548,2,-0.333090681,0.369532917,1,63
DB03042,2,-0.394377407,0.346651211,1,63
DB03581,2,-0.428346879,0.334199297,1,63
DB03937,2,-0.364171043,0.357865145,1,63
DB03381,1.971428571,-0.445290404,0.328054951,1,37
DB02401,1.971428571,-0.422431742,0.336354956,1,88
DB03615,1.914285714,-0.623528768,0.266468552,1,83
DB00071,2.028571429,-0.338251989,0.367586651,1,22
DB02216,2.028571429,-0.307942979,0.379062861,1,22
DB03028,2.028571429,-0.061702054,0.475400052,1,22
DB03096,2.028571429,-0.253108352,0.400092243,1,22
DB07542,2.028571429,-0.286175012,0.387372041,1,22
DB08740,2.028571429,-0.373827914,0.354266175,1,22
DB04276,1.914285714,-0.811644785,0.208497743,1,37
DB04653,1.914285714,-0.734620571,0.231285303,1,37
DB07627,1.914285714,-0.7293406,0.232896671,1,37
DB00361,1.457142857,-2.428573385,0.007579179,1,245
DB00541,1.457142857,-3.125265839,0.000888222,1,245
DB00570,1.457142857,-2.71273204,0.003336552,1,245
DB01179,1.457142857,-2.712739109,0.003336481,1,245
DB01394,1.457142857,-2.456023174,0.007024205,1,245
DB05284,1.457142857,-2.740577946,0.003066562,1,245
DB06042,1.457142857,-2.310676979,0.010425352,1,245
DB06137,1.457142857,-2.719279917,0.003271211,1,245
DB11641,1.457142857,-2.520825385,0.005853997,1,245
DB11731,1.457142857,-2.33545184,0.009759914,1,245
DB12334,1.457142857,-2.357950223,0.009188078,1,245
DB15534,1.457142857,-2.582526209,0.004903996,1,245
DB07908,1.8,-1.151409048,0.124781997,1,49
DB00173,2.028571429,-0.190416717,0.4244913,1,16
DB01632,2.028571429,-0.135298722,0.446187848,1,16
DB03506,2.028571429,-0.196362479,0.422163231,1,16
DB02510,1.857142857,-0.913886809,0.180388163,1,136
DB02684,1.857142857,-0.671838909,0.250843128,1,136
DB03376,1.857142857,-0.936439558,0.174523459,1,136
DB02108,1.971428571,-0.396343739,0.345925732,1,22
DB02148,1.971428571,-0.506685521,0.306187746,1,22
DB02685,1.971428571,-0.455977116,0.324203217,1,22
DB02855,1.971428571,-0.425577631,0.335207822,1,22
DB03329,1.971428571,-0.488977524,0.312428805,1,22
DB03588,1.971428571,-0.356930596,0.360571882,1,22
DB04579,1.971428571,-0.451658744,0.325757422,1,22
DB07160,1.971428571,-0.568226282,0.284940664,1,22
DB07219,1.971428571,-0.441551441,0.329406915,1,22
DB07223,1.971428571,-0.444893012,0.328198537,1,22
DB07224,1.971428571,-0.468755016,0.319622379,1,22
DB07225,1.971428571,-0.544355737,0.293098349,1,22
DB07231,1.971428571,-0.493166717,0.310947396,1,22
DB00716,1.657142857,-1.840387334,0.032855696,1,246
DB02359,1.657142857,-1.71513277,0.043160444,1,246
DB02550,1.657142857,-1.611439967,0.053541931,1,246
DB02840,1.657142857,-1.96676233,0.024605309,1,246
DB03093,1.657142857,-1.603377768,0.054425638,1,246
DB03137,1.657142857,-1.939989144,0.026190505,1,246
DB03504,1.657142857,-1.614055827,0.053257659,1,246
DB03749,1.657142857,-1.732772783,0.041568031,1,246
DB03809,1.657142857,-2.070234436,0.019215198,1,246
DB03899,1.657142857,-1.930418138,0.026777525,1,246
DB04054,1.657142857,-1.63379141,0.051151328,1,246
DB04254,1.657142857,-1.95021368,0.025575328,1,246
DB04505,1.657142857,-1.775734895,0.037888312,1,246
DB04588,1.657142857,-2.220202506,0.013202512,1,246
DB06956,1.657142857,-2.034706405,0.020940212,1,246
DB06957,1.657142857,-1.844546441,0.032551772,1,246
DB06958,1.657142857,-1.899282407,0.028763677,1,246
DB06961,1.657142857,-1.768539403,0.038485385,1,246
DB06964,1.657142857,-1.851971833,0.032014934,1,246
DB06969,1.657142857,-1.675234062,0.046944158,1,246
DB07100,1.657142857,-1.720624941,0.042659452,1,246
DB07317,1.657142857,-2.721893941,0.003245449,1,246
DB07319,1.657142857,-1.889169829,0.029434538,1,246
DB07324,1.657142857,-2.207687098,0.013633046,1,246
DB07325,1.657142857,-1.837541585,0.033064992,1,246
DB07495,1.657142857,-1.429969343,0.076362909,1,246
DB07502,1.657142857,-1.623849761,0.052203938,1,246
DB07601,1.657142857,-1.900856875,0.028660381,1,246
DB08194,1.657142857,-1.838276225,0.033010856,1,246
DB08197,1.657142857,-1.653841627,0.049079848,1,246
DB08436,1.657142857,-1.744096425,0.040571139,1,246
DB08442,1.657142857,-1.481980758,0.069172707,1,246
DB08443,1.657142857,-1.610067602,0.053691549,1,246
DB08557,1.657142857,-1.625941478,0.051981053,1,246
DB08786,1.657142857,-1.390008785,0.082263105,1,246
DB08787,1.657142857,-1.884924409,0.029720022,1,246
DB08788,1.657142857,-1.625523712,0.052025508,1,246
DB08789,1.657142857,-1.771177381,0.038265605,1,246
DB12442,1.657142857,-1.85946644,0.031480526,1,246
DB08045,1.628571429,-1.888963939,0.02944833,1,209
DB08153,1.628571429,-2.141590926,0.016113207,1,209
DB08292,1.628571429,-1.753912041,0.03972279,1,209
DB08293,1.628571429,-1.973453313,0.024221969,1,209
DB08346,1.628571429,-1.718539011,0.042849173,1,209
DB02497,1.914285714,-0.807451379,0.209703238,1,36
DB02846,1.914285714,-0.699594881,0.24209017,1,36
DB02929,1.914285714,-0.740036154,0.229639029,1,36
DB03484,1.914285714,-0.752315267,0.225930745,1,36
DB03935,1.914285714,-0.694167363,0.243788629,1,36
DB03959,1.914285714,-0.716061951,0.236976548,1,36
DB03981,1.914285714,-0.654542909,0.256381046,1,36
DB04985,1.771428571,-1.401954918,0.080464355,1,124
DB02175,1.942857143,-0.555547564,0.289260093,1,76
DB00197,2.2,0.378880112,0.647611553,1,18
DB00363,2.2,0.410025594,0.659106413,1,18
DB01242,2.2,0.504337767,0.692987979,1,18
DB01834,2.2,0.444199474,0.671550814,1,18
DB03003,2.2,0.473485866,0.682066709,1,18
DB03619,2.2,0.57947335,0.718865088,1,18
DB03686,2.2,0.450284598,0.673747378,1,18
DB04132,2.2,0.313667192,0.623113089,1,18
DB04339,2.2,0.478768893,0.683948476,1,18
DB04972,2.2,0.423621988,0.664079241,1,18
DB05460,2.2,0.540467263,0.705562584,1,18
DB07849,2.2,0.474136567,0.682298738,1,18
DB08370,2.2,0.335429026,0.631349262,1,18
DB11831,2.2,0.728562232,0.766865256,1,18
DB13014,2.2,0.189875506,0.575296657,1,18
DB02778,2.028571429,-0.251062354,0.40088295,1,19
DB02848,2.028571429,-0.311297847,0.377787102,1,19
DB04175,2.028571429,-0.295793768,0.383693791,1,19
DB05053,2.028571429,-0.279865895,0.389790197,1,19
DB05518,2.028571429,-0.355005855,0.361292603,1,19
DB07270,2.028571429,-0.045795887,0.481736469,1,19
DB07312,2.028571429,-0.212088946,0.416018822,1,19
DB07321,2.028571429,-0.401187026,0.344141216,1,19
DB08484,2.028571429,-0.348083084,0.363888894,1,19
DB02140,2.057142857,-0.075514623,0.469902632,1,9
DB03120,2.057142857,-0.224202109,0.411300021,1,9
DB08526,2.057142857,-0.2175765,0.413879548,1,9
DB00277,1.8,-1.240393354,0.107414969,1,135
DB02498,1.8,-1.026094694,0.152423476,1,135
DB02690,1.8,-1.155999861,0.123840607,1,135
DB03072,1.8,-1.38994884,0.082272207,1,135
DB03073,1.8,-1.022131062,0.153359437,1,135
DB03509,1.8,-1.144954631,0.126113976,1,135
DB03722,1.8,-1.145486643,0.126003813,1,135
DB04010,1.8,-1.180984508,0.118804439,1,135
DB07096,1.8,-0.961913006,0.168046653,1,135
DB07232,1.8,-1.223806637,0.11051259,1,135
DB07330,1.8,-1.207600353,0.113600512,1,135
DB07787,1.8,-1.371084717,0.085174274,1,135
DB09074,1.8,-1.106147326,0.134331379,1,135
DB11760,1.8,-1.217346359,0.111736231,1,135
DB11793,1.8,-1.172257309,0.120546883,1,135
