,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09130,1.86469534050179,-4.5991895403478,2.12068879231766e-06,62,80.4516129032258
DB11638,1.80178907721281,-5.76801567711886,4.0105173038054e-09,59,98.406779661017
DB00147,1.97222222222222,-0.44233212893054,0.329124442350796,1,12
DB00165,1.97222222222222,-0.599388673661882,0.274456864078006,1,12
DB03909,1.93055555555556,-0.915529863735805,0.179956766063563,2,38.5
DB04770,1.97222222222222,-0.542648060217739,0.293686070982643,1,12
DB04776,1.97222222222222,-0.496610233090159,0.309731967757361,1,12
DB00143,2.08024691358025,-0.291946293342648,0.385163843772236,9,21.6666666666667
DB11942,1.63888888888889,-1.90140203720996,0.0286246864559507,1,207
DB08235,1.89351851851852,-1.92267630970027,0.0272603569165685,6,55.8333333333333
DB08236,1.89351851851852,-2.07078652184379,0.0191893751686607,6,55.8333333333333
DB00157,2.02314814814815,-1.52098857859476,0.0641313517583447,30,42.8
DB12695,1.78846153846154,-4.91504721264843,4.43805332333886e-07,26,126.076923076923
DB00174,1.91666666666667,-0.698253522383749,0.242509329937873,1,73
DB00605,2.75,1.79886677024318,0.963980120925783,1,8
DB02021,2.75,2.54982820672378,0.994611199370559,1,8
DB02383,2.36111111111111,1.78185320739508,0.962613413564819,2,17.5
DB03461,2.15674603174603,0.460519592218351,0.677428344060389,14,21.6428571428571
DB06246,2.43055555555556,1.51300216937505,0.934860446094674,2,12.5
DB08772,2.75,2.18285259467506,0.985476666486924,1,8
DB02547,2.72222222222222,2.49328082439445,0.993671565085678,1,10
DB04315,1.99074074074074,-1.19940540853588,0.115185172786852,9,64.5555555555556
DB01271,2,-0.462507859996045,0.321858583543455,1,26
DB01279,2,-0.385394916806298,0.349972424042,1,26
DB01133,1.91666666666667,-0.997863523954766,0.159172770828922,2,54.5
DB01969,2,-0.420205316426662,0.337167735655441,1,32
DB01992,1.9537037037037,-1.01768762007115,0.154413216222178,3,31
DB02637,2,-0.36754507405554,0.356606238306884,1,32
DB03182,2,-0.511611730702583,0.30446138693856,1,32
DB03499,2,-0.424305333976735,0.335671574847621,1,32
DB04230,2,-0.45395051959971,0.324932220391787,1,32
DB04272,1.98148148148148,-1.01545918097777,0.154943497402951,3,31.6666666666667
DB14017,1.94444444444444,-0.511051525063292,0.304657489024378,1,79
DB01727,1.9537037037037,-1.35189765173257,0.0882040294366486,3,32.3333333333333
DB14568,1.91666666666667,-0.943521122286048,0.17270720827208,1,42
DB00155,2.02777777777778,-0.474923041437501,0.317420913817931,3,23
DB00213,2.11111111111111,-0.143724158392162,0.442859146808908,1,5
DB00736,2.11111111111111,0.0734857827659617,0.529290221402797,1,5
DB05351,2.11111111111111,0.0407080104366214,0.516235662257119,1,5
DB03147,1.95634920634921,-1.4393640454689,0.0750237028391919,7,50.4285714285714
DB05282,1.77777777777778,-1.14546292454892,0.126008722598484,1,123
DB04009,2.11111111111111,0.0913172032708236,0.536379725566857,1,7
DB11136,2.11111111111111,-0.0323657541836829,0.487090186187181,1,7
DB14526,2.11111111111111,-0.160384525065598,0.43628908951361,1,7
DB14527,2.11111111111111,-0.179724021856248,0.428684616898551,1,7
DB14528,2.11111111111111,-0.0598197174385328,0.476149610726224,1,7
DB14529,2.11111111111111,-0.00198016814681662,0.499210027720186,1,7
DB14530,2.11111111111111,-0.123127754808057,0.451002966670449,1,7
DB02483,1.83333333333333,-1.09372939976156,0.137036838034327,1,75
DB02701,1.83333333333333,-0.995931490080723,0.159641716862042,1,75
DB03940,1.83333333333333,-1.49587618960082,0.0673429610811836,2,80
DB09118,1.83333333333333,-1.7286174109694,0.0419387957081772,2,80
DB00162,2.36111111111111,0.809366957514193,0.790847948771473,1,13
DB00755,2.79166666666667,3.61092824354122,0.999847448462924,2,7
DB04447,1.99305555555556,-0.902116234582992,0.183497562860446,4,49.25
DB02659,2.01388888888889,-0.906443970049327,0.182350454288434,5,26
DB04464,2.00555555555556,-0.763912447383245,0.222459709597362,5,31.8
DB05412,1.94444444444444,-0.735524897677791,0.231009941253746,1,30
DB00988,1.72222222222222,-1.30021990882754,0.0967628045060348,1,184
DB01064,1.72222222222222,-1.43592862428245,0.0755113262031051,1,184
DB01593,2.04444444444444,-0.95869216768105,0.168856922662646,20,53.3
DB01629,1.72222222222222,-1.56527353633103,0.0587593927242745,1,184
DB03382,1.90277777777778,-0.951670941769855,0.170631945376834,2,97.5
DB05025,1.72222222222222,-1.71177777763663,0.043468814422864,1,184
DB09061,1.91111111111111,-1.75766460575705,0.0394022967819317,5,73.2
DB14009,1.87777777777778,-2.005550789653,0.0224520983672512,5,74.8
DB14011,1.87777777777778,-1.97647752501239,0.0240503593892135,5,74.8
DB14487,2.04444444444444,-1.02661405861124,0.152301115739034,20,53.3
DB14533,2.01797385620915,-1.29828397698609,0.0970948851457127,17,56.0588235294118
DB14548,2.01797385620915,-1.44802253253261,0.0738053745057181,17,56.0588235294118
DB01373,1.99537037037037,-0.866900415431808,0.192998287944467,6,37.3333333333333
DB01592,2.16666666666667,0.199747539593062,0.579160984150099,2,9
DB12965,2.41666666666667,1.46331554879606,0.928309472482004,2,5
DB14488,2.16666666666667,0.489849511863459,0.687879804055335,2,9
DB14489,2.16666666666667,0.44438800900198,0.671618959348562,2,9
DB14490,2.16666666666667,0.184422635544683,0.573159043115919,2,9
DB14491,2.16666666666667,0.274139108597058,0.608011139848408,2,9
DB14501,2.16666666666667,0.16466055252115,0.565394416196214,2,9
DB04510,1.875,-1.31882491711128,0.0936138260247916,2,63
DB01717,2.05555555555556,-0.263341315643017,0.396143758927337,2,17
DB02459,2.86111111111111,3.21827506764486,0.999355179616091,1,3
DB04491,2.86111111111111,2.504184851213,0.99386330541008,1,3
DB06503,2.86111111111111,2.76470354139473,0.997151272517598,1,3
DB00125,1.88888888888889,-0.939434794987699,0.173753777706638,1,46
DB00128,1.88888888888889,-0.784640555118194,0.21633217251883,1,46
DB00171,1.88888888888889,-0.80276067435186,0.211056538041264,1,46
DB00028,1.97222222222222,-0.52883852811988,0.298458734069881,1,22
DB01915,2.00925925925926,-0.712593743105807,0.238048592315661,3,22
DB06492,1.97222222222222,-0.464409403380205,0.32117722712816,1,22
DB01710,2.19444444444444,0.196646543741488,0.577947927476708,1,4
DB01826,2.19444444444444,0.164518143483298,0.565338367543934,1,4
DB02073,2.19444444444444,0.311635170720206,0.622341098994378,2,6.5
DB02379,2.11111111111111,-0.0887416777433379,0.464643604564751,2,12.5
DB02396,2.19444444444444,0.382771076877604,0.649055245724223,1,4
DB02528,2.19444444444444,0.315224809827231,0.623704515210005,1,4
DB02646,2.19444444444444,0.315577941716229,0.623838558667706,1,4
DB02671,2.19444444444444,0.275255689741864,0.608440097772333,1,4
DB03366,2.0462962962963,-0.388640709331551,0.348770973934972,3,18.6666666666667
DB03385,2.19444444444444,0.535380828763491,0.703806727943106,1,4
DB03399,2.19444444444444,0.112258549245143,0.544690796545921,1,4
DB04050,2.19444444444444,0.235429351938971,0.593062246670028,1,4
DB04337,2.19444444444444,0.332402398470146,0.630207286150696,1,4
DB09112,2.19444444444444,0.263865530688661,0.604058231451424,1,4
DB11588,2.19444444444444,0.229056536627698,0.590587512932779,1,4
DB00515,2.19444444444444,0.28514051096434,0.612231752768387,1,12
DB00677,2.19444444444444,0.321843694602893,0.626214444758841,1,12
DB01370,2.02777777777778,-0.487761629424395,0.312859346426998,2,38.5
DB06757,2.05555555555556,-0.233329709014359,0.407752695362028,2,34.5
DB11397,2.19444444444444,0.658508457131938,0.744894267748299,1,12
DB14517,2.02777777777778,-0.60945897201953,0.271110129756873,2,38.5
DB14518,2.02777777777778,-0.43512786636609,0.3317348087355,2,38.5
DB02512,1.88888888888889,-0.858791384451814,0.195227810851721,1,87
DB04326,1.875,-1.18063317705854,0.118874238925751,2,74
DB04733,1.88888888888889,-0.731746305448621,0.232161713809176,1,87
DB08240,1.88888888888889,-0.843194558819146,0.19955982051911,1,87
DB09131,2.02777777777778,-0.335427944856409,0.368651145392959,1,20
DB00288,1.83333333333333,-0.885478272759504,0.187949366484736,1,47
DB00591,1.96527777777778,-1.13116052720005,0.128993766233611,4,28.75
DB00741,1.83333333333333,-1.12030201038503,0.131292542830519,1,47
DB00959,1.83333333333333,-1.14835422754083,0.125411180656277,1,47
DB01013,1.83333333333333,-0.938285239183028,0.174048921680526,1,47
DB01222,1.83333333333333,-0.938897977688837,0.173891563812582,1,47
DB01234,1.83333333333333,-0.902340053006107,0.183438127534249,1,47
DB14538,1.83333333333333,-1.06578040994358,0.143261459264008,1,47
DB14539,1.83333333333333,-1.06363693115467,0.143746602707143,1,47
DB14540,1.83333333333333,-1.1020823534903,0.135212935193348,1,47
DB14541,1.83333333333333,-1.24952337512101,0.105736854699821,1,47
DB14542,1.83333333333333,-1.05269615487174,0.146240135756665,1,47
DB14543,1.83333333333333,-1.13768918752995,0.127625144959463,1,47
DB14544,1.83333333333333,-1.08179545983152,0.139671712231362,1,47
DB14631,1.83333333333333,-0.979136204119052,0.163756342584036,1,47
DB14649,1.83333333333333,-1.0685461625923,0.142637109423025,1,47
DB14669,1.83333333333333,-1.08516898165131,0.138923409800207,1,47
DB02059,1.59722222222222,-2.67598070611007,0.00372554672077194,2,156.5
DB03893,1.55555555555556,-2.18331398744224,0.0145063475917758,1,168
DB07347,1.55555555555556,-2.03333225104149,0.0210094834749406,1,168
DB09092,1.81111111111111,-2.03027207589167,0.0211644455025107,5,84.8
DB02570,1.91666666666667,-0.735841091505594,0.230913705385855,1,39
DB06094,1.80555555555556,-1.1885454336193,0.117309295571313,1,111
DB00390,1.86111111111111,-1.0604187619527,0.144477065177497,1,65
DB00511,1.86111111111111,-1.04620454645049,0.147733302142342,1,65
DB00774,1.86111111111111,-0.853675212992814,0.196642485879324,1,65
DB00903,1.98611111111111,-0.882498953642116,0.188753522678467,2,41
DB01021,1.86111111111111,-0.937793495143437,0.174175272317453,1,65
DB01078,1.86111111111111,-0.910729531487848,0.181218950019299,1,65
DB01092,1.86111111111111,-0.965689588243951,0.167099765485736,1,65
DB01119,1.86111111111111,-0.944086606156193,0.172562696586947,1,65
DB01158,1.86111111111111,-1.04825935814846,0.147259564536416,1,65
DB01188,1.86111111111111,-0.793291272678599,0.213804070185512,1,65
DB01244,1.86111111111111,-0.894502304082316,0.18552659877013,1,65
DB01345,1.86111111111111,-0.786909793916132,0.215667336916731,1,65
DB01378,1.86111111111111,-0.784000315443758,0.216519962606708,1,65
DB01396,1.86111111111111,-0.8889899657189,0.187004236289193,1,65
DB01430,1.86111111111111,-0.993362271276974,0.160266720468158,1,65
DB06157,1.88888888888889,-1.11655721436424,0.132091847064606,2,43.5
DB13996,1.86111111111111,-0.912180630756596,0.18083681922859,1,65
DB14498,1.86111111111111,-0.851633899555661,0.197208659196054,1,65
DB14499,1.86111111111111,-0.853272835119885,0.196754010361693,1,65
DB14500,1.86111111111111,-0.877168767487601,0.190197488761018,1,65
DB14514,1.86111111111111,-1.00492625277319,0.157466181035603,1,65
DB14515,1.86111111111111,-1.07506397969695,0.141173042400602,1,65
DB00536,2.11111111111111,-0.0968998886562514,0.461402948615845,1,26
DB00822,2.11111111111111,-0.0917885277533251,0.463433029554182,1,26
DB02115,2.11111111111111,-0.0273844664780458,0.489076543779095,1,26
DB04381,2.11111111111111,0.0314263534971979,0.512535237761995,1,26
DB02621,1.86111111111111,-0.980998766411039,0.163296674938653,1,60
DB04216,1.76041666666667,-3.39780652059497,0.000339642214655761,8,128.75
DB07384,1.69444444444444,-2.74664289122959,0.00301043260875929,3,124.333333333333
DB07394,1.69444444444444,-3.01854412779325,0.0012699620433214,3,124.333333333333
DB08399,1.69444444444444,-2.77865075879801,0.00272925885412143,3,124.333333333333
DB08629,1.69444444444444,-2.25912588261772,0.0119377777774298,3,124.333333333333
DB11093,2.13888888888889,0.22801306003536,0.590181956253053,8,32.5
DB11348,2.13888888888889,0.118400066416803,0.547124663421728,8,32.5
DB14481,2.13888888888889,0.263103388995741,0.603764554046983,8,32.5
DB02007,1.95833333333333,-0.777924933881261,0.218306634036232,2,41
DB02076,1.91666666666667,-0.984165876880625,0.162516980287351,2,49
DB02093,1.88888888888889,-0.714564750327496,0.237439016282575,1,61
DB02548,1.88888888888889,-0.778442322441488,0.218154148348269,1,61
DB03042,1.88888888888889,-0.959176579906293,0.168734898369549,1,61
DB03581,1.88888888888889,-0.767103072459381,0.221510117661464,1,61
DB03937,1.88888888888889,-0.868695997590412,0.192506715589797,1,61
DB04493,1.95833333333333,-0.788684649409617,0.215148171023492,2,39.5
DB03381,1.91666666666667,-0.614198184995961,0.269542186301385,1,34
DB02401,1.83333333333333,-0.97181766558021,0.165570632913749,1,85
DB03310,2.06944444444444,-0.267292687989052,0.394621908083916,4,23
DB03615,1.83333333333333,-0.993794817809704,0.160161384786876,1,87
DB00071,2.02777777777778,-0.567822912099602,0.285077610186286,2,19
DB02216,2,-0.433539547482506,0.332311420925974,1,23
DB03028,2,-0.347069854610461,0.364269420016192,1,23
DB03096,2,-0.425219535322086,0.335338322263669,1,23
DB07542,2,-0.418271484975973,0.337874317783431,1,23
DB08740,2,-0.480825293620155,0.315320335931899,1,23
DB04276,1.91666666666667,-0.622805168057892,0.266706280885986,1,39
DB04653,1.91666666666667,-0.714929468222627,0.237326313522222,1,39
DB07627,1.91666666666667,-0.796029069050844,0.213007569818428,1,39
DB00361,1.5,-2.68906809180986,0.00358259010037956,1,221
DB00541,1.5,-2.60007941333735,0.00466010946615311,1,221
DB00570,1.5,-2.08895254978261,0.0183559973645376,1,221
DB01179,1.5,-2.37519920491409,0.00876974073633568,1,221
DB01394,1.5,-2.21900263077558,0.013243272778244,1,221
DB01873,1.625,-2.93578874100563,0.00166350409071715,2,157.5
DB03010,1.625,-2.54595886160563,0.00544890152325669,2,157.5
DB05147,1.68518518518519,-2.71550594757342,0.00330872938944992,3,138.333333333333
DB05284,1.5,-2.22277002006455,0.0131156558151915,1,221
DB06042,1.5,-2.82343478992351,0.00237560450491361,1,221
DB06137,1.5,-2.53625762056998,0.00560221373140138,1,221
DB11641,1.5,-2.1335061354975,0.0164416144415695,1,221
DB11731,1.5,-1.89994588197994,0.028720110996551,1,221
DB12334,1.5,-2.64202298254918,0.00412062317127231,1,221
DB15534,1.5,-2.89435573796005,0.00189968724822944,1,221
DB07908,1.88888888888889,-0.767704603325122,0.221331350357174,1,47
DB00173,2,-0.392899352028023,0.34719691008949,1,16
DB01632,2,-0.432719909241363,0.33260913211042,1,16
DB03506,2,-0.420618343993686,0.337016898208531,1,16
DB00142,2.14814814814815,0.19645915136411,0.577874598954612,3,51.3333333333333
DB00172,2.3125,1.33472351554106,0.909016572907697,4,62.25
DB02510,1.77777777777778,-1.35340188011833,0.0879636385733714,1,131
DB02684,1.77777777777778,-1.24868454089195,0.105890238647459,1,131
DB03376,1.77777777777778,-1.29773512656068,0.0971891843764864,1,131
DB02108,2,-0.360928131306398,0.359076586664176,1,22
DB02148,2,-0.505784473086165,0.306503979851683,1,22
DB02685,2,-0.418000228919128,0.337973474927035,1,22
DB02855,2,-0.457318783700066,0.323720965246384,1,22
DB03329,2,-0.399266302181917,0.344848497016596,1,22
DB03588,2,-0.438150662518651,0.33063853543809,1,22
DB04126,2.06944444444444,-0.286776513454975,0.387141723741019,2,15.5
DB04579,2,-0.40830223903136,0.341525897841585,1,22
DB07160,2,-0.413209069996751,0.339726721741648,1,22
DB07219,2,-0.406610728931579,0.3421469579892,1,22
DB07223,2,-0.470258185588917,0.319085283948338,1,22
DB07224,2,-0.308159571399337,0.378980456902335,1,22
DB07225,2,-0.308517574189816,0.378844264868234,1,22
DB07231,2,-0.455618655664615,0.324332112764745,1,22
DB00615,1.73611111111111,-2.05709036194449,0.0198387673194062,2,154.5
DB00716,1.63888888888889,-1.59375685318081,0.0554952524471585,1,227
DB02359,1.63888888888889,-1.76535305969281,0.0387522235922817,1,227
DB02424,1.69444444444444,-2.60473268241093,0.00459729827039934,3,169.666666666667
DB02550,1.63888888888889,-1.50469297133479,0.0662015154829236,1,227
DB02754,1.625,-2.85654704406392,0.00214138266141476,2,213.5
DB02840,1.63888888888889,-1.87571139643509,0.0303474600794368,1,227
DB03093,1.63888888888889,-2.09329683137981,0.0181613326692458,1,227
DB03137,1.63888888888889,-1.96263836532272,0.0248441047487806,1,227
DB03504,1.63888888888889,-1.91812769015393,0.027547411083486,1,227
DB03749,1.63888888888889,-1.72707981048998,0.0420766654861251,1,227
DB03809,1.63888888888889,-1.87855089624034,0.030152920655738,1,227
DB03899,1.63888888888889,-1.8447684732643,0.0325356126894208,1,227
DB04054,1.63888888888889,-1.76231428949542,0.0390081054476424,1,227
DB04254,1.63888888888889,-1.84249004339852,0.0327017507933681,1,227
DB04505,1.63888888888889,-1.47596194235658,0.0699770546038622,1,227
DB04588,1.63888888888889,-1.84683344808782,0.0323856412886256,1,227
DB05134,1.625,-2.44220626161675,0.00729890182339076,2,213.5
DB06070,1.625,-2.84283109791115,0.00223573799211541,2,213.5
DB06956,1.63888888888889,-1.94820909644878,0.0256949744140128,1,227
DB06957,1.63888888888889,-1.70603603496213,0.0440006852972504,1,227
DB06958,1.63888888888889,-1.36913574738484,0.0854784229797406,1,227
DB06961,1.63888888888889,-1.72917294941628,0.0418890730843001,1,227
DB06964,1.63888888888889,-1.66497756705326,0.047958615723186,1,227
DB06969,1.63888888888889,-1.97675796398817,0.0240344976674804,1,227
DB07100,1.63888888888889,-1.73619103701498,0.0412650307752777,1,227
DB07317,1.63888888888889,-1.68488995332954,0.0460049026415988,1,227
DB07319,1.63888888888889,-1.62574950394427,0.0520014771777035,1,227
DB07324,1.63888888888889,-2.09837588843399,0.0179359767549692,1,227
DB07325,1.63888888888889,-1.74083344682204,0.0408563886635005,1,227
DB07495,1.63888888888889,-1.68170682195221,0.046312852265569,1,227
DB07502,1.63888888888889,-1.65041795106734,0.0494287410348931,1,227
