,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB11638,1.824143693,-5.759902225,4.21E-09,63,108.7777778
DB09130,1.848047538,-5.559474341,1.35E-08,62,89.90322581
DB00157,2.036377709,-0.893182788,0.185879647,34,44.91176471
DB12695,1.765107212,-5.579457199,1.21E-08,27,131.1111111
DB01593,1.900717703,-3.044825107,0.001164078,22,73.81818182
DB14487,1.900717703,-2.776266641,0.002749355,22,73.81818182
DB14533,1.890581717,-2.953306213,0.00157195,19,78.84210526
DB14548,1.890581717,-2.913454533,0.001787269,19,78.84210526
DB03461,2.140350877,0.7750381,0.780841427,15,22.6
DB00143,2.015789474,-0.87880262,0.189754153,10,23.4
DB04315,1.973684211,-1.205768029,0.113953473,10,69.4
DB04216,1.792397661,-3.102938218,0.000958048,9,126.4444444
DB03147,1.934210526,-1.436267941,0.075463056,8,53.875
DB02659,2.105263158,0.245149607,0.596829703,8,29.5
DB11093,2.082236842,-0.090261925,0.464039538,8,34
DB11348,2.082236842,-0.124453271,0.450478199,8,34
DB14481,2.082236842,0.153737386,0.561091597,8,34
DB08235,1.820175439,-2.569778112,0.005088184,6,60.66666667
DB08236,1.820175439,-2.883796481,0.001964563,6,60.66666667
DB04464,1.973684211,-0.987638692,0.161664815,6,38
DB09061,1.995614035,-1.034340443,0.150488518,6,67.33333333
DB14009,2,-0.960973817,0.168282666,6,68.16666667
DB14011,2,-0.9925118,0.160473963,6,68.16666667
DB01373,1.934210526,-1.422566141,0.077430983,6,40.16666667
DB04141,1.877192982,-2.123391601,0.016860525,6,67
DB02494,1.789473684,-2.716574187,0.003298071,6,132.3333333
DB07374,1.789473684,-3.015510981,0.001282733,6,132.3333333
DB08437,1.789473684,-2.755754216,0.002927849,6,132.3333333
DB09092,1.842105263,-2.146180176,0.015929303,5,93.4
DB04799,1.921052632,-1.203858905,0.114322059,5,60.4
DB07401,1.921052632,-1.341000019,0.089960223,5,60.4
DB07763,1.921052632,-1.340813106,0.08999057,5,60.4
DB07778,1.921052632,-1.435137473,0.075623964,5,60.4
DB08330,1.921052632,-1.302591369,0.096357153,5,60.4
DB08453,1.921052632,-1.46782928,0.071075301,5,60.4
DB08690,1.921052632,-1.392470426,0.081889996,5,60.4
DB04272,1.953947368,-1.025231853,0.152626901,4,33
DB04447,1.940789474,-1.231935781,0.108986537,4,50.25
DB00128,1.967105263,-0.980065687,0.163526848,4,35.25
DB00142,1.894736842,-1.513495661,0.065076901,4,52
DB00591,1.921052632,-1.221645741,0.110920812,4,30.5
DB03310,1.986842105,-0.863771187,0.193856799,4,25
DB00172,2.269736842,1.451457974,0.926673812,4,65
DB00025,1.736842105,-2.399077269,0.008218223,4,119.5
DB13998,1.736842105,-2.831658664,0.002315363,4,119.5
DB13999,1.736842105,-2.710694986,0.003357118,4,119.5
DB02709,2.190789474,0.779596475,0.782185784,4,35
DB02383,2.219298246,0.687583724,0.75414252,3,21.33333333
DB06246,2.219298246,0.977228356,0.835771944,3,18.66666667
DB01992,1.947368421,-0.991547006,0.160709276,3,33
DB01727,1.98245614,-0.540849602,0.294305626,3,34
DB00155,2,-0.690093566,0.245067675,3,24.66666667
DB00114,1.973684211,-0.700350148,0.24185433,3,33.66666667
DB00151,1.98245614,-0.630409182,0.264213453,3,21.66666667
DB01915,1.973684211,-0.724120547,0.234495865,3,24
DB03366,2.01754386,-0.453060249,0.325252679,3,19.66666667
DB06245,1.675438596,-2.97318306,0.001473643,3,172
DB07384,1.736842105,-2.27622996,0.011416125,3,136
DB07394,1.736842105,-2.472401869,0.006710428,3,136
DB08399,1.736842105,-2.256890435,0.012007461,3,136
DB08629,1.736842105,-2.487995856,0.006423262,3,136
DB02007,1.973684211,-0.810549718,0.208812151,3,37
DB05147,1.719298246,-2.434022953,0.007466024,3,155
DB02424,1.622807018,-3.20141271,0.000683778,3,186.6666667
DB07636,1.956140351,-0.819959326,0.206119647,3,58
DB03814,1.938596491,-1.071274347,0.142023045,3,39
DB00116,1.99122807,-0.622942056,0.2666613,3,47.66666667
DB04395,1.763157895,-2.031634201,0.021095351,3,117
DB01375,1.859649123,-1.483102822,0.069023547,3,78.66666667
DB09568,1.885964912,-1.35165654,0.088242607,3,64.66666667
DB04444,2.175438596,0.596113474,0.724450288,3,10.33333333
DB03909,1.921052632,-0.808914895,0.20928205,2,43
DB00605,2.315789474,1.49442127,0.932467227,2,18
DB02021,2.315789474,1.134184365,0.87164139,2,18
DB08772,2.315789474,1.660973838,0.951640649,2,18
DB02701,1.894736842,-0.951917573,0.170569393,2,107
DB03940,1.881578947,-1.192043524,0.11662209,2,87
DB09118,1.881578947,-1.121968283,0.130937963,2,87
DB03382,1.802631579,-1.598529318,0.054962613,2,107
DB01592,2.105263158,0.067469315,0.526895955,2,10.5
DB12965,2.315789474,1.599964,0.945196715,2,6
DB14488,2.105263158,0.002586164,0.501031729,2,10.5
DB14489,2.105263158,-0.047317347,0.481130151,2,10.5
DB14490,2.105263158,0.140270471,0.555776853,2,10.5
