,mean_proximity,z-score,p-value,No.of.Targets,Mean_degrees
DB09130,1.91147058823529,-10.8294719130998,1.24795284599315e-27,68,200.617647058824
DB03247,2.02666666666667,-1.61596319481758,0.0530511354837011,2,64
DB07837,1.94666666666667,-1.80848635822034,0.0352654190502717,1,107
DB08191,1.94666666666667,-1.52858154503499,0.0631841069807564,1,107
DB04472,2.18666666666667,-0.577821199166278,0.281692420644022,1,58
DB00514,1.91,-2.30742413208547,0.0105155936034421,2,207
DB00540,2.06666666666667,-1.13482261393767,0.128224824585329,1,41
DB01104,2.06666666666667,-1.10466073060117,0.134653312608816,1,41
DB11638,1.874375,-12.7389588300888,1.79577909604401e-37,64,230.234375
DB04216,1.84666666666667,-6.03379477429667,8.00767182563366e-10,11,279.818181818182
DB01064,1.82666666666667,-4.3983046041884,5.45498936801377e-06,5,292
DB05210,1.844,-3.92695832088289,4.30134407332617e-05,5,255.6
DB00157,2.14093567251462,-5.715102647035,5.48189116508023e-09,57,68.0350877192982
DB00186,3.10666666666667,3.09563595911776,0.999018043429294,2,11.5
DB00189,3.10666666666667,3.20158543270948,0.999316632299899,2,11.5
DB00228,2.89555555555556,3.1330119024939,0.999134887871615,3,11
DB00231,3.10666666666667,3.05459981487007,0.998873194953716,2,11.5
DB00237,3.10666666666667,3.65649652624241,0.999872157062724,2,11.5
DB00241,3.10666666666667,3.05756935494305,0.998884300008584,2,11.5
DB00252,3.10666666666667,3.32490839000448,0.999557762039902,2,11.5
DB00292,3.10666666666667,2.66779110084093,0.996182414273651,2,11.5
DB00306,3.10666666666667,3.81500871774624,0.999931910937022,2,11.5
DB00312,3.10666666666667,3.08671829217267,0.998988103547164,2,11.5
DB00349,3.10666666666667,2.94568602608525,0.99838880343554,2,11.5
DB00371,3.10666666666667,3.80135823311845,0.999928047466388,2,11.5
DB00402,3.10666666666667,3.41143786142838,0.999676893858193,2,11.5
DB00404,3.10666666666667,3.72854343308667,0.999903705140526,2,11.5
DB00463,3.10666666666667,3.22042659949503,0.999360000169487,2,11.5
DB00475,3.10666666666667,3.34669537394888,0.999591094865429,2,11.5
DB00543,3.10666666666667,3.38788403069525,0.999647829809365,2,11.5
DB00546,3.10666666666667,3.00316361600708,0.998664056287707,2,11.5
DB00555,3.10666666666667,3.99358055971856,0.999967458523945,2,11.5
DB00603,3.10666666666667,3.15430145144385,0.999195585955268,2,11.5
DB00628,3.10666666666667,3.32587022490455,0.999559285215928,2,11.5
DB00659,3.10666666666667,3.93725534308631,0.999958790553656,2,11.5
DB00683,3.10666666666667,3.10869373095376,0.999060417987731,2,11.5
DB00690,3.10666666666667,3.28540853869707,0.999490827010183,2,11.5
DB00753,2.64833333333333,2.2026613631272,0.986190687300035,4,51.5
DB00794,3.10666666666667,4.20047819642913,0.999986682409061,2,11.5
DB00801,3.10666666666667,3.16799508420289,0.999232529420734,2,11.5
DB00818,3.10666666666667,4.50359402852989,0.999996659310728,2,11.5
DB00829,3.10666666666667,4.33110455286884,0.999992581839575,2,11.5
DB00842,3.10666666666667,3.41270694699882,0.99967839465329,2,11.5
DB00897,3.10666666666667,4.11163405300367,0.999980356567055,2,11.5
DB00898,3.10666666666667,3.78028881724778,0.999921676730165,2,11.5
DB01028,2.89555555555556,3.0735561089059,0.998942380465661,3,11
DB01043,3.10666666666667,4.33655382860615,0.999992763300258,2,11.5
DB01068,3.10666666666667,3.49439856563487,0.999762434440023,2,11.5
DB01107,3.10666666666667,3.65776686304086,0.999872788847506,2,11.5
DB01159,2.75111111111111,2.28119728116431,0.988731612212297,3,18
DB01189,2.60888888888889,1.84881057933912,0.967757415399614,6,22.8333333333333
DB01205,3.10666666666667,4.28072723770681,0.999990685821751,2,11.5
DB01215,3.10666666666667,3.09458223143356,0.999014548542307,2,11.5
DB01236,2.89555555555556,3.19153646757561,0.99929240877573,3,11
DB01437,3.10666666666667,3.7252411212508,0.999902435692273,2,11.5
