Gene	Cluster
LNPEP	1
USP25	1
ERP44	1
TBK1	1
EFR3A	1
SOS1	1
AIDA	1
CAST	1
CDC73	1
JAK2	1
NMI	1
EXOC6	1
C1GALT1	1
PCGF5	1
MTM1	1
ANKIB1	1
CD164	1
DCK	1
NCOA7	1
PARP4	1
CAPZA2	1
KAT2B	1
CD47	1
IQGAP2	1
DEK	1
SP1//	1
BLZF1	1
LGALS8	1
SNX6	1
TMX1	1
DMXL1	1
EIF4E3	1
BMPR2	1
ITM2B	1
IRF2	1
PSMA4	1
NCOA1	1
QSER1	1
ARL5A	1
ARL6IP6	1
PHACTR2	1
GCLC	1
TMEM123	1
TAF1B	1
CTSO	1
PDK3	1
SPTLC2	1
GNA13	1
AFF1	1
TRIP4	1
STK3	1
ARHGAP25	1
PLEKHA2	1
NEDD1	1
TMEM19	1
LYST	1
IL1RAP	1
SGCB	1
FAM129A	1
LPAR6	1
UBP1	1
PYHIN1	1
UBE2E1	1
RNF19A	1
CAMK2D	1
DPY19L1	1
BARD1	1
ARHGEF3	1
KPNB1	1
SELL	1
KIF13B	1
ANTXR2	1
TMEM5/A	1
SLC25A24	1
KARS	1
CAPN2	1
PTPRA	1
TMEM126B	1
PSMA3	1
FAM69A	1
GRK5	1
NBN	1
GPR171	1
LIPA	1
PRKX	1
RNF149	1
RPS6KC1	1
ANXA1	1
TMEM6/	1
CCDC1/9B	1
BLVRA	1
STK24	1
RAB8B	1
TMEM62	1
MPP1	1
PTPLAD2	1
PPA1	1
TOR1AIP1	1
SGMS1	1
CHML	1
ISOC1	1
FAM6/A	1
RASSF3	1
ENDOD1	1
TNFSF8	1
RANBP2	2
USP15	2
FMR1	2
XRN1	2
GCC2	2
YME1L1	2
PPM1K	2
MYCBP2	2
MORC3	2
RSBN1L	2
ASCC3	2
VCPIP1	2
SMARCA5	2
RICTOR	2
FOXN2	2
ZUFSP	2
SCAPER	2
CYLD	2
MIER1	2
UBA6	2
PKN2	2
BBX	2
USP33	2
TIA1	2
WHSC1L1	2
MIER3	2
CCNL1	2
FAM111A	2
BAZ1A	2
RAB3GAP1	2
CUL4B	2
KBTBD2	2
DCP2	2
TOPORS	2
SMCHD1	2
FEM1C	2
MIA3	2
VPS54	2
MGAT4A	2
DCLRE1C	2
PARP11	2
AZI2	2
GPBP1	2
NHLRC3	2
XIAP	2
FNDC3A	2
SETX	2
ARHGAP15	2
SSB	2
ELF1	2
UVRAG	2
RABGAP1L	2
PARP8	2
RIPK1	2
UBXN2A	2
SETDB2	2
CASP3	2
PNPT1	2
STX17	2
C1GALT1C1	2
SYNJ1	2
FYTTD1	2
XRN2	2
LRBA	2
TXNDC16	2
DENND1B	2
USPL1	2
APPL1	2
MBNL1	2
PCMTD1	2
MCL1	2
