Nafa-CH-M-N-BM-t1	Nafa-YA-M-N-021CsH-t1	Nafa-CH-F-N-HK-t1	Nafa-CH-M-N-LT-t1	Nafa-YA-M-N-MB-t1	Nafa-OA-M-N-PT-t1	Nafa-OA-F-N-RB-t1	Nafa-OA-M-N-RG-t1	Nafa-YA-F-N-SLW-t1	V2-CH-M-N-376AC-t1	V2-CH-M-B-376AC-t1	V2-YA-M-N-7AC-t1	V2-CH-F-N-AC-t1	V2-CH-F-N-AC-t2	V2-CH-F-N-AM-t1	V2-CH-F-B-AM-t1	V2-YA-M-N-BC-t2	V2-CH-M-N-BM-t1	V2-YA-M-N-021CsH-t1	V2-CH-F-N-ED-t1	V2-CH-F-N-HK-t1	V2-CH-M-N-HL-t1	V2-CH-F-N-IB-t1	V2-CH-F-B-IB-t1	V2-CH-M-N-JA-t1	V2-OA-M-N-JW-t2	V2-OA-M-N-JW-t1	V2-CH-M-N-LT-t1	V2-YA-M-N-MB-t1	V2-YA-M-N-NiA-t1	V2-OA-M-N-NiT-t1	V2-OA-M-N-NiT-t2	V2-CH-M-N-NT-t1	V2-CH-M-N-NT-t2	V2-CH-M-B-NT-t1	V2-OA-F-N-RB-t1	V2-OA-M-N-RG-t1	V2-YA-M-N-SB-t1	V2-YA-F-N-SLW-t1	V2-CH-M-B-TJ-t1	V2-CH-M-N-TJ-t1	V2-OA-M-N-WB-t1	V2-OA-M-N-WB-t2	V6-OA-M-N-PT-t1	V6-CH-M-N-BM-t1	V6-CH-F-N-HK-t1	V6-CH-M-N-HL-t1	V6-OA-M-N-RG-t1	V6-YA-F-N-SLW-t1	V6-YA-M-N-021CsH-t1	V6-YA-M-N-MB-t1	V6-OA-F-N-AT-t1
GU280_gp01	5.38472335841498	6.12699776020712	3.39652079872528	4.46971380040082	-0.443745304146203	1.82593317699567	6.67362733295068	2.27201935419891	-0.274292281567979	14.080485937669	14.0609256680632	15.7512567872806	15.5694544575008	15.9503214899941	12.4558723125666	14.1307817570178	12.7448166417677	14.4323825529812	10.3982934889743	11.9840431257013	11.9752604759281	13.1533869418948	15.1201838342779	14.6202184337922	11.7937351512802	11.0190578368179	10.0268804944475	12.5937008728787	11.4141303374907	15.679144430123	11.588762637972	11.4829365795775	14.0413892763978	14.096221081399	13.7735349809931	13.0222015406474	12.4502232942184	13.5143514153178	8.58788892783879	9.30572103717572	12.4351960725402	12.3437162750547	12.9744909015989	6.4395901118779	10.8869611564543	11.8535941640196	9.83497145053348	4.47560922942962	6.04703559763832	8.69359200946374	10.0362393043411	7.26518610657978
GU280_gp02	4.72539164787745	6.59990794355726	3.51354752962782	6.36534841924183	0.839590224658579	2.51362666763377	4.95644814566006	3.89807407199229	0.570718127419005	14.4436124313466	13.4273234691048	15.1023244187907	14.7681585785137	15.0515930952085	13.2838574611574	13.7079239943444	12.6434899879706	14.4072761032627	9.64211832649337	11.8057984962019	12.4610972273381	12.934115007954	14.5465998805657	13.7700354653134	11.5778343644748	11.8156840362172	9.50347846022928	12.3645056179585	10.4892435540621	15.0963238372688	11.3944169059805	10.8419950350733	13.4397225071074	13.5277288386396	12.8440416186773	13.5675815412585	12.5844264341457	12.7808967908393	10.1351797209486	8.71439216931582	11.8752440669461	11.7454321539254	12.0749146108873	7.22334595743868	11.1290018259758	12.6918755024126	10.9043014526035	5.12524709746956	7.30703774948248	8.42660787516991	9.92285661548208	6.72481318008807
GU280_gp03	5.18448402669222	5.53387829546961	4.42601429491109	6.68013189658602	0.5390915026446	1.7633017980848	5.212489559102	3.28965347629621	0.0257463709395468	13.5708802080259	12.3243756981948	13.7936755875768	13.0078053883007	13.2588921765366	12.41835345361	12.8510278279202	11.3150070381211	13.700055237364	8.93787105819961	11.5987757111422	12.3892302964007	12.6203624896448	13.5429826673352	12.7204786037939	11.5724769749303	11.0379019858953	7.82487373492902	11.5078003257124	10.3210905727863	13.799197090026	9.52171920067086	9.40685591398188	11.8279093075957	11.9334345599771	11.42931834941	12.7893769415606	11.3087878353198	11.6896407454979	9.95996506021178	7.49031338505021	10.3659159854279	10.9974065558797	11.383283549048	6.4395901118779	11.7719569330388	12.6119258888701	11.5651742850576	4.63540843074483	7.02933880012995	7.82654846192225	9.55750688948473	5.93449314875313
GU280_gp04	4.32219424695033	4.10591910747986	3.46308424205857	5.63242508845296	-0.735452457884441	0.596439490379068	4.5473105759123	1.93892365793613	-0.753342393416474	12.2909130048372	10.7636622023933	12.4615760501105	12.2634918545124	12.4489272721803	11.3518747138029	11.3431689240789	9.87721893616647	13.1778904322431	7.60973903113321	10.7444944440795	11.5251793210454	11.9290457093125	12.0675369553697	11.3085848943553	10.7785170974981	10.1546154034686	7.04906077471279	10.4582068009647	9.54229079235517	12.429701045743	8.72827600929173	8.17838270660855	11.0389173885053	11.1126592207923	10.1791461041765	11.737912299725	9.83533187004838	10.1242556972913	8.91350098563836	6.09900218909735	9.52705535013938	9.65418933497083	10.5310150005337	5.12089371468058	11.0033766114486	11.6561650358472	10.6789717829004	3.78621365369235	5.92615917414448	6.5652325396976	8.53474198910037	4.51221238978988
GU280_gp05	7.42146249134704	5.68038130792565	6.52275386917634	7.96588718642024	1.16233114086627	2.93186351252479	7.98152897759395	3.76350603995986	0.851076713159956	14.1716852561468	12.7286302066132	14.3062750448789	14.500636418049	14.6449134215138	13.1718921725489	13.3483661703714	11.5580948126976	15.1896076274759	9.4915175959608	13.1361364336931	13.5612466491616	14.0777621148859	13.9260333881888	13.2830261673455	12.9099180859007	11.9722138764471	9.87799060942295	12.7725260969266	11.9054772138707	14.2542327576056	11.1658009629762	9.93674690151749	13.2917726217868	13.3604010482938	12.1099935522463	13.4277116096901	11.1699241743785	12.1273520810138	10.8081569175839	8.05965656887587	12.2351704390329	11.5991646554412	13.2679382323037	7.31381839732391	13.2494964830592	13.5298926102532	12.7408930002502	5.48346486949907	7.97542254907962	9.00289614284747	11.3213830108874	6.59069040746591
GU280_gp06	5.93727697006498	3.72435908052998	5.13468654533954	6.10306316428044	-0.847453070698948	0.781640200594615	6.88041231459986	1.9836401056039	-0.805941547885253	12.1036466115598	9.97432906724804	12.4109457586147	13.1178117183883	13.24379442031	11.5146991108841	10.6099026041768	9.15080538169361	14.701171940554	8.18577991138682	12.417778343303	12.7612516797478	13.4771536927822	11.3943473146899	10.3641085711488	12.2813400503601	10.4883891833538	8.24615242560654	12.2302650766917	11.2230369034663	12.1337276212837	9.72875387293938	8.07369010205064	11.5529732534559	11.6787369939799	9.63093137762433	11.9453916518096	9.70337379311262	9.30455464145865	9.41978271672057	5.31823720271207	10.5259550605392	9.25896190077154	11.2350209959785	5.66811885350344	12.037224192587	12.2377478897218	11.5028483195212	4.36325608547806	6.49517002948691	7.66071752350913	10.1155525662188	5.09672700830392
GU280_gp07	8.85700386185992	5.75710609015059	7.57628425101607	8.41490712932018	1.62789415965091	3.29774682359361	9.74854171154443	3.98861462495343	1.64185137009881	14.2972845803784	12.4489595617627	14.1969874223467	13.6584466486022	13.8233794743333	13.152643416924	13.3311744388325	11.0912772132357	16.1750235858899	10.7517941776501	14.6823770336759	14.6602430601306	15.4335901847031	13.8240395146257	12.7763801479425	14.3041471161664	12.006763250568	8.80780832856168	14.6272494750168	13.7178254760261	14.167365754294	10.0224027430421	9.80726289763882	12.5318890981598	12.6372107171365	11.1943137098709	13.869235097661	11.5443404967996	11.8909093975647	11.6411446948381	7.61587688611623	11.4088642462617	11.8355068660887	13.1209598972857	8.09958505386036	14.5652739631675	14.3726311038538	13.7113580204253	6.17735230118949	8.77727496635575	10.1977103630117	12.8147369265881	7.65123453282872
GU280_gp08	6.34268626811616	3.68562588463947	5.37381201812896	6.39363566002447	-0.534581632863887	1.04122981029928	7.75600136118992	1.82066489816831	-0.515764407170992	12.7086111933451	9.95337447738684	12.8487438363339	12.4445760433561	12.5619046597414	11.5391372608281	11.0171208428239	8.94844635822998	15.4545595771164	8.64375601888511	12.8842849473542	13.1316022308636	14.0179275169117	11.7580745143075	10.2452234507066	12.7100952442897	10.8752845371396	7.14067275879779	12.7539932966938	12.1445868470622	12.3314409896292	8.3679180845475	8.31093992074584	10.9204340933769	11.1061114554309	9.28196704597601	12.5144645975839	9.3624066658946	9.28167216831389	10.0698988492773	5.01432531085207	9.57428657560844	9.97408189087317	11.3712446954746	5.69656885999982	12.8616561791339	12.9035462034638	12.0394325707114	4.79154137107999	6.9015714373807	8.0448489569824	10.4328491696334	5.62377030290594
GU280_gp09	9.58549010597124	6.7827326236219	8.45989862839074	8.86287890174544	2.5648868277396	4.1912906479132	11.1978442479225	4.67584823903342	2.19728249143197	14.5202270281267	12.1365379933537	14.413998634782	14.1131314449344	14.2555320747367	13.7580210768305	13.2195094268806	11.3128653141735	16.9432392292852	11.3980794743848	15.0142470207284	15.1271313502417	15.8266699671665	13.8501925429533	12.0670133413111	14.6772856032214	12.6237049366634	8.85402985277496	15.0288023274173	14.4907997677203	14.4460259537802	10.0413241717398	10.0893967130008	12.7483649247738	12.8797496933373	10.4454559501967	14.1289200273011	12.0557317723145	11.9056497406462	11.9995418761684	6.94881758944306	11.4882216910967	11.608633619077	12.8566791983654	8.73965389135579	14.7429971283183	14.5955275585321	13.8269258771889	6.57382544032381	9.58031747312695	11.2192072227222	13.5380697497455	8.75640642670171
GU280_gp10	13.6496844506385	10.3512887088739	11.9652763181381	12.0549118095342	5.57820711522422	8.56485651054602	15.7879416816383	8.23377752255805	6.19813113025693	17.5860788773846	15.8376293221241	17.1989011885798	17.2522504592561	17.3191077492395	16.2550622676097	16.8265936085837	14.0665831682998	19.1898700612955	16.8653578462592	17.7715391295623	17.6786997234518	18.2003583580817	17.0945878291182	16.4706169646257	17.3630540280212	15.4375929334381	12.5282286822234	18.3378066404569	18.5498057095135	17.2070047910059	13.3183517207727	12.8074791626979	16.2443870018136	16.2636812836145	14.9541713667564	16.7655457457655	17.091943365405	15.3059736647204	14.88396639659	10.9278855214169	15.2528831176618	15.4222814564249	17.4848692829707	12.2620055889501	17.9359820422009	17.3821753817917	16.6584389511944	9.08216745205565	12.8789367332387	15.8340897492151	17.3848350942114	14.6483352638573
