M-CH-M-N-376AC-t1	M-CH-M-B-376AC-t1	M-YA-M-N-7AC-t1	M-CH-F-N-AC-t1	M-CH-F-B-AM-t1	M-YA-M-N-BC-t2	M-CH-M-N-BM-t1	M-YA-M-N-021CsH-t1	M-CH-F-N-ED-t1	M-CH-M-N-HL-t1	M-CH-F-N-IB-t1	M-CH-F-B-IB-t1	M-CH-M-N-JA-t1	M-OA-M-N-JW-t2	M-OA-M-N-JW-t1	M-CH-M-N-LT-t1	M-YA-M-N-MB-t1	M-YA-M-N-NiA-t1	M-OA-M-N-NiT-t1	M-OA-M-N-NiT-t2	M-CH-M-B-NT-t1	M-CH-M-N-NT-t1	M-OA-M-N-PT-t1	M-OA-F-N-RB-t1	M-OA-M-N-RG-t1	M-YA-M-N-SB-t1	M-YA-F-N-SLW-t1	M-CH-M-B-TJ-t1	M-CH-M-N-TJ-t1	M-OA-M-N-WB-t1	Nafa-CH-M-N-BM-t1	Nafa-YA-M-N-021CsH-t1	Nafa-CH-F-N-HK-t1	Nafa-CH-M-N-LT-t1	Nafa-YA-M-N-MB-t1	Nafa-OA-M-N-PT-t1	Nafa-OA-F-N-RB-t1	Nafa-OA-M-N-RG-t1	Nafa-YA-F-N-SLW-t1	V2-CH-M-N-376AC-t1	V2-CH-M-B-376AC-t1	V2-YA-M-N-7AC-t1	V2-CH-F-N-AC-t1	V2-CH-F-N-AC-t2	V2-CH-F-N-AM-t1	V2-CH-F-B-AM-t1	V2-YA-M-N-BC-t2	V2-CH-M-N-BM-t1	V2-CH-F-N-ED-t1	V2-CH-F-N-HK-t1	V2-CH-M-N-HL-t1	V2-CH-F-N-IB-t1	V2-CH-F-B-IB-t1	V2-CH-M-N-JA-t1	V2-OA-M-N-JW-t2	V2-OA-M-N-JW-t1	V2-CH-M-N-LT-t1	V2-YA-M-N-MB-t1	V2-YA-M-N-NiA-t1	V2-OA-M-N-NiT-t1	V2-OA-M-N-NiT-t2	V2-CH-M-N-NT-t1	V2-CH-M-N-NT-t2	V2-CH-M-B-NT-t1	V2-OA-F-N-RB-t1	V2-YA-M-N-SB-t1	V2-YA-F-N-SLW-t1	V2-CH-M-B-TJ-t1	V2-CH-M-N-TJ-t1	V2-OA-M-N-WB-t1	V2-OA-M-N-WB-t2	V6-OA-M-N-PT-t1	V6-CH-M-N-BM-t1	V6-CH-F-N-HK-t1	V6-CH-M-N-HL-t1	V6-OA-M-N-RG-t1	V6-YA-F-N-SLW-t1	V6-YA-M-N-021CsH-t1	V6-YA-M-N-MB-t1	V6-OA-F-N-AT-t1
GU280_gp01	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.85612429296826	-3.55598237433052	-2.04817889350011	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-1.9644197179321	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-1.63078756013564	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.47088786451307	-4.01070842478693	0.219443515845564	-3.14851772820679	-2.77261122109924	5.64313672296096	5.14053078177933	3.09191086579587	4.98437399348927	0.222569095019273	2.62563911362636	6.35791996147903	2.20263251216112	0.440346834258762	15.0002994064748	13.9621769994934	16.1559153387445	15.6722942163022	16.36785774078	11.7093881004777	15.9264080058285	13.4457411095292	13.0437854131935	11.4718485367253	11.4427889071993	12.2427844917395	15.9516554470391	14.0422721529963	11.2706155382703	10.2217494726165	11.0516174004783	11.8598312262483	11.1468041759624	16.098756177509	12.7943547022068	10.9801098933953	15.3245550869325	15.2016433831398	12.190267519586	13.7461232644343	14.0948502843518	9.21170162942551	8.49658874268956	13.6431239292804	14.219205415307	11.4471197075806	5.72653517219833	12.2829438715258	13.2106150350127	10.8552165905239	4.75836575415997	5.28854680480258	7.96403369335321	9.43109586497686	7.45394702054391
GU280_gp02	-2.62619994833423	-3.51119068313585	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.04817889350011	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.37725817180217	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.47088786451307	-4.01070842478693	0.178702389907297	-3.51614100282518	-2.30371961879676	4.99363758075402	5.71246269335311	3.23294542324456	6.83559952502936	1.50427122234007	3.27513551604293	4.67996165310172	3.84614912536169	1.2345024284992	15.3084930141377	13.3256501794238	15.4814888747887	14.8819576609231	15.4447857527188	12.5554995017837	15.4042868765226	13.2896018353239	13.103319937148	11.3619278019172	11.9880760632575	12.1028393922534	15.3408509882302	13.2402656803826	11.1331177607775	11.0773505943054	10.4839205343167	11.7375330246002	10.2774569104896	15.4879532175566	12.5185952594261	10.3929575109034	14.6694192792079	14.585109494404	11.3331231415706	14.2524294587405	13.3149416256743	10.739653066444	7.93957466854351	13.0430980455541	13.5585199999201	10.6032676459129	6.57574687900752	12.4541649594237	13.9678172980863	11.8613440763644	5.40848441731145	6.60431068049582	7.74341074188141	9.36569117919449	6.91403299587263
GU280_gp03	-2.62619994833423	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.55598237433052	-2.28041285521921	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.40498960111028	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.37725817180217	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-1.37247539161697	-4.01070842478693	-2.77261122109924	5.45941017113071	4.91141257068946	4.22367725693784	7.04706321623691	1.06469989692703	2.38995350463102	5.04446489409029	3.2889678385711	0.542542978670833	14.2762185334305	12.2452048004601	14.1123464480973	13.147916246518	13.5937792038294	11.8104413187801	14.2337394456946	11.8303417684847	12.6799368374739	11.3194107333561	12.0796564896635	12.0117740005541	14.2138565317012	12.341470587575	11.3164074781058	10.487593582277	8.65029883926512	11.1264270121657	10.230734837232	14.1243662053539	10.4208104036804	9.10651451385295	12.865745262536	12.8254910672934	10.2063431421328	13.3654868415569	12.1129613329442	10.4879184319052	6.86780137764485	11.3670818582431	12.5391543315029	10.1700662069379	5.97768543944597	12.864382307714	13.649797126994	12.3389371126343	4.90796210557735	6.50635957105781	7.30203339035242	9.14795718986332	6.1254114366305
GU280_gp04	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.40498960111028	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.3829733011363	-4.01070842478693	-4.01070842478693	4.56187456105718	3.36693978758583	3.24631926325823	6.07399930588684	-0.13624247352353	1.25548129897114	4.33121630833006	1.9162888842242	-0.178213656437146	13.0537362861498	10.714522858283	12.8187270841399	12.3873405126635	12.8200954709799	10.7840644995502	12.8076453740851	10.4746404612467	12.1023035586389	10.3640057709043	11.1453835550047	11.2307813599335	12.7640467833537	10.8886136676881	10.4063194191534	9.55718148741009	7.89771532208701	9.9084134994246	9.35896742163784	12.7970629336864	9.72245481245449	7.81512314431908	12.1008227851554	12.0325100760816	8.94826896954813	12.3590436141578	10.6172165904039	9.44400243119308	5.48642897504174	10.5263477724899	11.1826522460191	9.34363791444092	4.58751942784563	12.1462784311955	12.7766290596996	11.519127354557	4.04733696331825	5.36144589114717	6.01342964835075	8.08210278135742	4.70015477805067
GU280_gp05	-4.01070842478693	-4.01070842478693	-3.1563000046968	-2.61294092470909	-4.01070842478693	-2.28041285521921	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.08410533900165	-4.01070842478693	-1.9644197179321	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.44973078097028	-2.15146390803525	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.07896231229915	-4.01070842478693	-0.784030494717003	-4.01070842478693	-3.47171604955877	7.6131100228826	4.97998698616166	6.35891149238516	8.43873307788416	1.73334058040992	3.55231171043068	7.78404913568255	3.74990436328881	1.44706525995244	14.8874255935713	12.7484424797629	14.6728368548049	14.6211544797658	15.0238090689287	12.7759665069455	14.669311186459	12.1740867847367	14.274159938769	12.735757532216	13.211129344549	13.4297614955724	14.5554193962657	12.9293588048735	12.5147046911543	11.4639415568296	10.628095445729	12.1648038126767	11.6778031059378	14.631769951943	12.116467430074	9.60220257618089	14.2235340636718	14.1796410732277	11.1204435195001	14.0263046101386	12.636276247248	11.2752869210503	7.59852923147906	13.084219019838	12.866368135989	12.3510169095888	6.82821592422676	14.2692754871322	14.5749437335341	13.5275883547183	5.71742121890282	7.50094579873756	8.54712489894049	10.9286254553994	6.78267145913385
GU280_gp06	-3.39064447629292	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.45523658908364	-4.01070842478693	-4.01070842478693	-3.47425998989931	-3.5444465660883	-4.01070842478693	-4.01070842478693	-3.57881197163915	-3.61592924501818	-4.01070842478693	-4.01070842478693	-3.44973078097028	-2.37725817180217	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.47088786451307	-4.01070842478693	-3.40420110454667	-4.01070842478693	-3.47171604955877	5.93033490685173	2.48749742217937	4.95420478452457	6.95263483713964	-0.0569854564022252	1.53348081597009	6.47430987050852	1.87777076680185	0.0471297845639012	13.0528847786903	10.1905422023764	12.9663676833845	13.1590016100209	13.7998099532064	11.4443865597751	12.2022025762931	10.1684631398017	13.6515131902174	11.5248702740403	12.1036907003533	12.4463880323955	12.0912211357201	9.87006474863993	11.3204749573968	9.82892804236564	9.02793972066131	10.7828978873232	10.5221787532271	12.7181897286417	11.092955571	7.46564491472286	12.4948025904702	12.549065671943	8.79567610400203	12.7382743709401	10.1544302778588	9.84865323564713	5.02462272691673	11.2467912693697	10.256139167392	10.6547231401475	4.88312806460354	13.1971590304515	13.6121899880491	12.5600299842385	4.519842263907	5.8944025628137	7.15252533873503	9.56719812261909	5.29005596838456
GU280_gp07	-2.95837140676036	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-1.84819646893328	-3.49589043796121	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.44578427574092	-3.47425998989931	-3.5444465660883	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.97419069010902	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.47088786451307	-4.01070842478693	-1.14858948536906	-4.01070842478693	-4.01070842478693	8.8730547153915	4.96797818252741	7.51896249497704	9.08068982739174	2.22856126997115	3.851741391114	9.52254529744065	3.96421468365657	2.29071445594	14.9863432525007	12.6859820366945	14.6468119802171	13.7453732406611	14.2779566063236	13.2440119470521	14.4249625518731	11.8811443880221	15.568787820672	14.0751568980174	14.2739628484712	14.7699412660246	14.3275443528456	12.5226528445445	13.6709657903682	11.6453574232542	9.35028506297143	13.6136611826627	13.2354628352712	14.635861986131	11.0137752133648	9.44541722022507	13.1795771817756	13.251152725447	10.7887924247644	14.4823538975873	12.5478605616703	11.9556084102442	7.54402193700489	11.8836754128014	12.4363628653099	12.9126581546139	7.61963274129143	15.3595111016687	15.3601429944336	14.469469538063	6.32534142611912	8.46058878654932	9.93604244982082	12.5028512395604	7.8468066885004
GU280_gp08	-2.95837140676036	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.45523658908364	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.5444465660883	-4.01070842478693	-4.01070842478693	-3.57881197163915	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-2.65022835350854	-4.01070842478693	-4.01070842478693	6.36954161346102	2.57876694867286	5.20880995350263	7.16530205616849	0.190446948505487	1.7574759039425	7.40131266862872	1.72702728275684	0.241984172683466	13.5946268755072	10.1407323936405	13.3636598698026	12.5029179565557	13.0796834850154	11.4338725729476	12.51604121389	9.87960351807435	14.4710618110998	12.098042549923	12.5500611881161	13.0847899811341	12.4246909221298	9.7977255642426	11.8717062808127	10.2699184174445	7.8931315797772	11.4830787725964	11.5405480803059	12.8715020881194	9.62905030990669	7.77086961878152	11.8308234004542	11.9423822899798	8.46603505159204	13.2584611876572	10.0581873118848	10.493186512767	4.71751076012152	10.2903372306362	10.9736384670105	10.7756005695358	4.99020468386525	13.9623676963457	14.1867752025811	13.0236002843386	4.96059015438685	6.34944693352177	7.56981284182616	9.93299308965011	5.81759435438271
GU280_gp09	-2.35637681691673	-4.01070842478693	-4.01070842478693	-3.14877876669065	-4.01070842478693	-2.28041285521921	-2.81760435467505	-4.01070842478693	-3.45523658908364	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.5444465660883	-4.01070842478693	-4.01070842478693	-3.57881197163915	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478692	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-4.01070842478693	-0.144118284665084	-4.01070842478693	-4.01070842478693	9.56737834317469	5.76615394450088	8.35642417164694	9.64416170639165	3.27366249083125	4.84120967501275	10.8801060437675	4.6083350370881	2.96926912733139	15.3330573647484	12.39194389261	14.9264288306065	14.1732663736505	14.7696857902307	13.8343815991981	14.5272928968206	12.2370617231975	16.1607517237521	14.2400701350938	14.6033863748558	14.9813777387363	14.4317422308677	11.70887105936	13.8525114919151	12.1358174684053	9.48632825165911	13.7496459575717	13.8680570071739	14.9832166853773	11.2204618970423	9.60344009872055	13.5025890591534	13.5921237238959	9.90652537895189	14.8318893634897	12.6764730111932	12.3499113945622	6.81992376314178	12.0341583903751	12.3157401609421	12.5595889549861	8.11093069635372	15.6864650000912	15.7647556794841	14.7275801544162	6.71550254518884	9.14536222042814	10.8623764541458	13.1211464934275	8.95141552057355
GU280_gp10	-0.920328133220751	-3.51119068313585	-2.86534019058054	-1.09619347278344	-2.02368584989083	1.17312969216231	-3.49589043796121	-4.01070842478693	-3.45523658908364	-4.01070842478693	-2.46610487553637	-1.67340313461398	-3.5444465660883	0.539864835141041	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.03799149096218	-4.01070842478693	-0.553818118812671	0.343214956259525	-2.76753176772808	-4.01070842478693	-4.01070842478693	-4.01070842478693	-3.47088786451307	-4.01070842478693	2.26159531154163	-2.61258083031463	-1.80167343451902	13.5378038474023	9.6748372192277	12.0414983555611	12.7969432262613	6.11056004556282	8.98254606744925	15.6125115976188	8.23586235801833	6.81050182207422	18.1488257790836	16.2528839612549	17.6710168584744	17.3314570574734	17.7917373519696	16.7928929434251	17.5407557647942	14.9000603632299	19.0050724814347	17.1184194074394	17.3741005487294	17.6732651053477	17.4213105632184	16.3924189648316	16.6766552614699	15.3117912634675	12.8116155393227	17.1827536080711	17.9569026828905	17.6996003589449	14.1904558756025	12.5241933017837	16.5507892284616	16.6132306132108	15.1793907430576	17.317161174632	16.0004521535756	15.0327248169681	11.2503064034846	15.3354113754457	15.3415998319858	17.9812797277792	11.9105591917761	18.4056907179718	18.1678804472022	17.2729924332924	9.15877015534106	12.8008643496348	15.8242110238676	17.2320007672043	14.8475245234369
