md5sum.zipped	data.md5sum	filebase	sampleid	laneid	readcounts	treatment	individualid	technicalrepid	agegroup
4fa58418e453ddaf9e0e44d764e66617	7dcac22400f977e879015ffcbb3d0715	12-AC-HNE-Mock_S12_L001_R1	12-AC-HNE-Mock_S12	L001	8102250	Mock	AC	t1	Young
889612a18d2d715ae4f4c82008aa0275	2de406c10651230705cce12adfa47ddc	12-AC-HNE-Mock_S12_L002_R1	12-AC-HNE-Mock_S12	L002	8088867	Mock	AC	t1	Young
f9e261979ca33ab8f8a0a92e17f167a4	0c003d0966f20076b614dd6c694fb099	12-AC-HNE-Mock_S12_L003_R1	12-AC-HNE-Mock_S12	L003	8026177	Mock	AC	t1	Young
0dc246708743be6abf5874cb0ad5c0d1	75fc07d2df6d62901fd8a00d2b355dd0	12-AC-HNE-Mock_S12_L004_R1	12-AC-HNE-Mock_S12	L004	8039321	Mock	AC	t1	Young
a7ea8c22f0e6979f4f429d73c44cb10c	84530be8c1261bb0bf1c4fda47217c6f	13-AC-HNE-Virus_S13_L001_R1	13-AC-HNE-Virus_S13	L001	7947923	Virus	AC	t1	Young
513b23d7fa113ec74a2182fb8cefc779	ff17dd6c6a65704f4897bea935900709	13-AC-HNE-Virus_S13_L002_R1	13-AC-HNE-Virus_S13	L002	7918427	Virus	AC	t1	Young
fa0ec962a247d567207c877865b508bb	f4ce4615342c26975a007d45be77158b	13-AC-HNE-Virus_S13_L003_R1	13-AC-HNE-Virus_S13	L003	7874201	Virus	AC	t1	Young
21a0a09210138bef4b525f2a7d5e8f1e	6010d1da37426db3e50b66ce951ffd5c	13-AC-HNE-Virus_S13_L004_R1	13-AC-HNE-Virus_S13	L004	7873562	Virus	AC	t1	Young
497b424601e129bf663e4f81d4a33a65	4240eae29ffa2423f659e75f8652b27d	14-AC-HNE-Virus_S14_L001_R1	14-AC-HNE-Virus_S14	L001	8637082	Virus	AC	t2	Young
1968022ccb8749da764e8b295fb0c016	a8141f53e53043b6022e3a514a82c912	14-AC-HNE-Virus_S14_L002_R1	14-AC-HNE-Virus_S14	L002	8611949	Virus	AC	t2	Young
229488d4d3680a95564a07d2ba0f3311	b599b61aa3f9e93d4f73f34e8afaf257	14-AC-HNE-Virus_S14_L003_R1	14-AC-HNE-Virus_S14	L003	8548487	Virus	AC	t2	Young
3999ac1899199cdad0f61160952317b9	bdcf9b61784151d75cc092f8771a1df0	14-AC-HNE-Virus_S14_L004_R1	14-AC-HNE-Virus_S14	L004	8554978	Virus	AC	t2	Young
c31c898408e0178719995691a2205808	7d47a5a6f12c3068946d57580433b1c2	5-BC-HNE-Mock_S5_L001_R1	5-BC-HNE-Mock_S5	L001	7124057	Mock	BC	t1	Old
1449671ee81a5a66ee8d0721db39c6c6	42c30c2f4a16f84595cea040bc4e679b	5-BC-HNE-Mock_S5_L002_R1	5-BC-HNE-Mock_S5	L002	7083848	Mock	BC	t1	Old
8fddae80b68836f7fce203e86500247a	2b1ba190e800d0f92e47102075fb0d1f	5-BC-HNE-Mock_S5_L003_R1	5-BC-HNE-Mock_S5	L003	7050378	Mock	BC	t1	Old
6c13bea684fe55f852ac4d65104399f1	4c9eb042636ba09bd5382fba5ae0299b	5-BC-HNE-Mock_S5_L004_R1	5-BC-HNE-Mock_S5	L004	7046153	Mock	BC	t1	Old
b6adf6349d5e5138c0112aa044201dd4	dbf5bbc3390802a95768175d72c65281	6-BC-HNE-Virus_S6_L001_R1	6-BC-HNE-Virus_S6	L001	6783196	Virus	BC	t1	Old
85ef9bb9eb05c1c552d59054a7c20346	78e231b09cec8d90fbfda3d2acc179c8	6-BC-HNE-Virus_S6_L002_R1	6-BC-HNE-Virus_S6	L002	6762383	Virus	BC	t1	Old
09723de444d46fc36ffd27fb8145fb0a	9371614b75557180757a669559831e65	6-BC-HNE-Virus_S6_L003_R1	6-BC-HNE-Virus_S6	L003	6718800	Virus	BC	t1	Old
f02b198a066a2e05b76a9abc43743236	8b1227809eeae4a9aa4d85bf689d95b9	6-BC-HNE-Virus_S6_L004_R1	6-BC-HNE-Virus_S6	L004	6710972	Virus	BC	t1	Old
f2268599aa264c0d3ddc66b1e1fce96b	27f702555419b6489ef04686e7502f69	3-JW-HNE-Mock_S3_L001_R1	3-JW-HNE-Mock_S3	L001	7650227	Mock	JW	t1	Old
5be8c4fd2a02369483d17f311fb70b0f	61268eef673cd1a81aa03463605af5af	3-JW-HNE-Mock_S3_L002_R1	3-JW-HNE-Mock_S3	L002	7611358	Mock	JW	t1	Old
f4c0c008b5ec0121ef3315bc6fa9ce60	c7697d2da77a07713e130f9a7483ee40	3-JW-HNE-Mock_S3_L003_R1	3-JW-HNE-Mock_S3	L003	7580107	Mock	JW	t1	Old
056641ec8058bcd75bc59d65c6101698	78adddd967c5ec2ac93b1216624221cb	3-JW-HNE-Mock_S3_L004_R1	3-JW-HNE-Mock_S3	L004	7567574	Mock	JW	t1	Old
e040f5f4afb79e95d251378d6093324e	51d41774603ccd43241a08ac169919ad	4-JW-HNE-Virus_S4_L001_R1	4-JW-HNE-Virus_S4	L001	7873704	Virus	JW	t1	Old
2bf3609fa2064e4b548ace87bc38491b	1ca47a3fccb072b38b79f8d086e857d1	4-JW-HNE-Virus_S4_L002_R1	4-JW-HNE-Virus_S4	L002	7842308	Virus	JW	t1	Old
ed5216a0b6dd48becde2da5af4f9ffb8	93187d97fc4315c687a2bc5062dd5af9	4-JW-HNE-Virus_S4_L003_R1	4-JW-HNE-Virus_S4	L003	7794406	Virus	JW	t1	Old
a05f6ecad743acc35f5df9a9eb056cf9	456898cd6907ee73fea4328d040d95ed	4-JW-HNE-Virus_S4_L004_R1	4-JW-HNE-Virus_S4	L004	7802607	Virus	JW	t1	Old
19590550c1d4b604fb9e8b3f38c037ec	0456eaf9e33e1bee18ae274b8dc0519d	1-NiT-HNE-Mock_S1_L001_R1	1-NiT-HNE-Mock_S1	L001	8768814	Mock	NiT	t1	Old
cf28ff2297a501f2c61c504b3f94faad	b1d6224e8f2fda8eff62896ca1ed808a	1-NiT-HNE-Mock_S1_L002_R1	1-NiT-HNE-Mock_S1	L002	8705353	Mock	NiT	t1	Old
4ffae34daf69d09da139233cb7976a38	32fb04957a67879ac12aded0d2d010d7	1-NiT-HNE-Mock_S1_L003_R1	1-NiT-HNE-Mock_S1	L003	8683302	Mock	NiT	t1	Old
b0c5b8bfc776c48deea3029da682b4f4	30884fa5c3812d575c7d0e286c905c71	1-NiT-HNE-Mock_S1_L004_R1	1-NiT-HNE-Mock_S1	L004	8666042	Mock	NiT	t1	Old
61050334f2ee447fd40090e14dc159bb	c018d4025345b289ffbcb192c5f288a0	2-NiT-HNE-Virus_S2_L001_R1	2-NiT-HNE-Virus_S2	L001	7236143	Virus	NiT	t1	Old
d7c72ba9c30210236d0015e6c22deb04	fac3acd16e6a58548486267ce3fe78bf	2-NiT-HNE-Virus_S2_L002_R1	2-NiT-HNE-Virus_S2	L002	7216237	Virus	NiT	t1	Old
1eb8711a112906fde0a39f24387af769	4ab05e090b4652d951b31f42090d6176	2-NiT-HNE-Virus_S2_L003_R1	2-NiT-HNE-Virus_S2	L003	7165477	Virus	NiT	t1	Old
fa0d99a7dd01f885e44cbbeac713be35	65398130ac7bdfd692c6fd63ef0a6c44	2-NiT-HNE-Virus_S2_L004_R1	2-NiT-HNE-Virus_S2	L004	7172966	Virus	NiT	t1	Old
24f648247053098d3370a51e876e2380	3362b0abc203131d7e570d76a9a7ba64	9-NT-HNE-Mock_S9_L001_R1	9-NT-HNE-Mock_S9	L001	8846282	Mock	NT	t1	Young
61263527c2124c7e95fe7262ea9ea8c2	66801b364e67d9343117d3eeac7a1030	9-NT-HNE-Mock_S9_L002_R1	9-NT-HNE-Mock_S9	L002	8802321	Mock	NT	t1	Young
1a7779203e3fbb4396ecc911f2b42348	cbb0edf63434e66d87d2df16358b2f7f	9-NT-HNE-Mock_S9_L003_R1	9-NT-HNE-Mock_S9	L003	8751968	Mock	NT	t1	Young
a101d472c273105f7b1146e4ac25684e	357aeb79319ccae970295c37641e865f	9-NT-HNE-Mock_S9_L004_R1	9-NT-HNE-Mock_S9	L004	8749919	Mock	NT	t1	Young
cdb9980bf87c80b77a3f9c6721b7d1f8	24af20ab784e946fef90651ad7c5d348	10-NT-HNE-Virus_S10_L001_R1	10-NT-HNE-Virus_S10	L001	8387588	Virus	NT	t1	Young
2792d5bcdb46e8aabfa9a919d7ea2cdf	93a30707cc207f5aa8773f483577e62e	10-NT-HNE-Virus_S10_L002_R1	10-NT-HNE-Virus_S10	L002	8350649	Virus	NT	t1	Young
39efa117e120a96e2f2c1ceb04e4f383	0385330f4e691746bfcfe15d8d26f195	10-NT-HNE-Virus_S10_L003_R1	10-NT-HNE-Virus_S10	L003	8300983	Virus	NT	t1	Young
0f2f26b558423ff43d7e39b56b8a67bc	ad42161cd42f3d55e0b97ecc76452f81	10-NT-HNE-Virus_S10_L004_R1	10-NT-HNE-Virus_S10	L004	8299957	Virus	NT	t1	Young
a9f39556967ec5b3374e0a0e98e193a2	5c41262ea846ede6898453b867bc7baa	11-NT-HNE-Virus_S11_L001_R1	11-NT-HNE-Virus_S11	L001	8033741	Virus	NT	t2	Young
4fe6c1f54b7a21ca39940d3e6e1b92a9	4b3c90f60aa0c1619ff7e6b3ed970a13	11-NT-HNE-Virus_S11_L002_R1	11-NT-HNE-Virus_S11	L002	8003876	Virus	NT	t2	Young
dc0e54019214ec107241be890f10eb04	6720a700ebb2100d54f4fa3af77914a5	11-NT-HNE-Virus_S11_L003_R1	11-NT-HNE-Virus_S11	L003	7958901	Virus	NT	t2	Young
c5fbc614e1152873b8a1b49bc1b9d481	b9564dc6cbfa1bc59783c9d7aad931f8	11-NT-HNE-Virus_S11_L004_R1	11-NT-HNE-Virus_S11	L004	7947713	Virus	NT	t2	Young
16702dd8adc65d625796843ba1e49be7	5dd44f1d7e812d0a7637840a94261d59	7-TJ-HNE-Mock_S7_L001_R1	7-TJ-HNE-Mock_S7	L001	7772961	Mock	TJ	t1	Young
6a4336f411286a2f4ac38b7bea07d5cf	a4e285dfe024b137134c40fa2189e4e2	7-TJ-HNE-Mock_S7_L002_R1	7-TJ-HNE-Mock_S7	L002	7730306	Mock	TJ	t1	Young
6735ac4aa22a853396f04e0563efabc7	e9f1716b26d4dc739c75879957d5c048	7-TJ-HNE-Mock_S7_L003_R1	7-TJ-HNE-Mock_S7	L003	7693523	Mock	TJ	t1	Young
f0e4e11b6c63060339559de7b8a944b7	0f98a6cf4fc9efcc7e33e384597ccac1	7-TJ-HNE-Mock_S7_L004_R1	7-TJ-HNE-Mock_S7	L004	7689488	Mock	TJ	t1	Young
5bac0ad2d62fe04ec5c5ad800e7682b6	78aef2a24f607f80f3edb5c43ddc6b92	8-TJ-HNE-Virus_S8_L001_R1	8-TJ-HNE-Virus_S8	L001	7903553	Virus	TJ	t1	Young
7c5f76d31123cb95a1264a64246f88fc	7a9e5c753318bb73cb41fc15264430fb	8-TJ-HNE-Virus_S8_L002_R1	8-TJ-HNE-Virus_S8	L002	7872150	Virus	TJ	t1	Young
5fb7f16c4f809e4450c1c39a203a396e	6bf38befd1d4a296c5c052860665c218	8-TJ-HNE-Virus_S8_L003_R1	8-TJ-HNE-Virus_S8	L003	7824541	Virus	TJ	t1	Young
c4b4b2567deb0868532764553014b6b5	ce4dac859fb69f1aff638e98b4778508	8-TJ-HNE-Virus_S8_L004_R1	8-TJ-HNE-Virus_S8	L004	7825769	Virus	TJ	t1	Young
